gene_name,gene_type,funct_category,VFAKOQUE,VFZOPTEN,
rlmB,Protein,Translation - rRNA processing,Absent,Absent,
rluA,Protein,Translation - rRNA processing,Functional,Functional,
rmpJ,Protein,translation - ribosomal protein,Absent,Functional,
tsf,Protein,Translation,Absent,Absent,
rpmB,Protein,translation - ribosomal protein,Absent,Absent,
rlmE,Protein,Translation - rRNA processing,Functional,Functional,
grpE,Protein,protein folding and degradation,Functional,Functional,
erpA,Protein,Metabolism - iron-sulfur cluster biosynthesis,Absent,Absent,
rplC,Protein,translation - ribosomal protein,Functional,Functional,
hisS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,
rpsS,Protein,translation - ribosomal protein,Functional,Functional,
hisE,Protein,Biosynthesis-Histidine,Functional,Functional,
gltX,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,
rplF,Protein,translation - ribosomal protein,Functional,Functional,
rplA,Protein,translation - ribosomal protein,Functional,Functional,
xxxH,Protein,not_yet_classified,Absent,Absent,
rpsU,Protein,translation - ribosomal protein,Absent,Absent,
rpsQ,Protein,translation - ribosomal protein,Absent,Absent,
rpoC,Protein,Transcription,Functional,Functional,
nuoE,Protein,not_yet_classified,Absent,Absent,
metY,Protein,Biosynthesis-Methionine,Functional,Functional,
gyrB,Protein,DNA replication,Absent,Absent,
rpsP,Protein,translation - ribosomal protein,Functional,Functional,
fmt,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,
xxxPYRLAN02,Protein,not_yet_classified,Absent,Absent,
ndk,Protein,NDP biosynthesis,Absent,Absent,
dapF,Protein,Biosynthesis-Lysine,Functional,Functional,
aroK,Protein,Biosynthesis-Phenylalanine,Functional,Functional,
prfB,Protein,Translation - termination,Absent,Functional,
era,Protein,Translation - ribosome biogenesis,Absent,Absent,
rpsR3,Protein,translation - ribosomal protein,Absent,Absent,
rpiA,Protein,Metabolism,Functional,Functional,
xxxY,Protein,not_yet_classified,Absent,Absent,
ileS,Protein,Translation - aminoacyl-tRNA synthetase,Functional,Functional,
groEL,Protein,Protein folding and degradation,Functional,Functional,
rpsE,Protein,translation - ribosomal protein,Functional,Functional,
dnaN2,Protein,DNA replication,Functional,Functional,
rluD,Protein,Translation - rRNA processing,Absent,Absent,
rpsL,Protein,translation - ribosomal protein,Functional,Functional,
fabF,Protein,Metabolism - fatty acid biosynthesis,Absent,Absent,
rplM,Protein,translation - ribosomal protein,Functional,Functional,
rpoA,Protein,Transcription,Functional,Functional,
obg,Protein,Translation - ribosome biogenesis,Absent,Absent,
etfB,Protein,electron transfer,Absent,Absent,
hisG,Protein,Biosynthesis-Histidine,Functional,Functional,
aroA,Protein,Biosynthesis-Phenylalanine,Functional,Functional,
groES,Protein,Protein folding and degradation,Functional,Functional,
rplL,Protein,translation - ribosomal protein,Functional,Functional,
smpB,Protein,trans-translation,Functional,Absent,
rplN,Protein,translation - ribosomal protein,Functional,Functional,
ribP,Protein,,Functional,Functional,
trpB,Protein,Biosynthesis-Tryptophan,Absent,Functional,
dnaQ,Protein,DNA replication,Functional,Functional,
etfA,Protein,electron transfer,Absent,Absent,
leuS,Protein,Translation - aminoacyl-tRNA synthetase,Functional,Functional,
glyS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,
rpsB,Protein,translation - ribosomal protein,Absent,Absent,
dnaJ,Protein,protein folding and degradation,Functional,Functional,
cysH,Protein,Sulfur metabolism/hydrogen sulfide biosynthesis,Absent,Absent,
ctaB,Protein,heme O biosynthesis,Absent,Absent,
metC,Protein,Biosynthesis-Methionine,Functional,Functional,
cspA,Protein,not_yet_classified,Absent,Absent,
xxxD,Protein,Metabolism - electron transport,Absent,Absent,
rplU,Protein,translation - ribosomal protein,Absent,Functional,
frr,Protein,Translation,Absent,Absent,
asd,Protein,Biosynthesis-Lysine,Functional,Functional,
rplP,Protein,translation - ribosomal protein,Functional,Functional,
cysI,Protein,Oxidoreductase,Absent,Absent,
rplQ,Protein,translation - ribosomal protein,Functional,Absent,
rpmE,Protein,translation - ribosomal protein,Absent,Absent,
lysS,Protein,Biosynthesis-Lysine,Functional,Absent,
rpsI,Protein,translation - ribosomal protein,Functional,Functional,
secY,Protein,intracellular protein transmembrane transport,Absent,Absent,
cyoD,Protein,Electron transport,Absent,Absent,
truA,Protein,Transcription - tRNA processing,Absent,Absent,
iscU,Protein,Metabolism - iron-sulfur cluster biosynthesis,Absent,Absent,
pheS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,
sucB,Protein,Metabolism - TCA,Absent,Absent,
ribD,Protein,riboflavin biosynthesis,Absent,Absent,
dapB,Protein,Biosynthesis-Lysine,Functional,Functional,
rpoS,Protein,Transcription,Absent,Absent,
nuoC,Protein,not_yet_classified,Absent,Absent,
nuoK,Protein,not_yet_classified,Absent,Absent,
holB,Protein,DNA replication,Functional,Absent,
recJ,Protein,DNA recombination and repair,Absent,Absent,
carA,Protein,Biosynthesis-Arginine,Functional,Functional,
dnaK,Protein,protein folding and degradation,Functional,Functional,
