isolate	family
VFAKOQUE	Achilidae
VFCIXPIL	Achilidae
VFBEB	Achilixiidae
VFBRUOCU	Caliscelidae
VFBRUSP1	Caliscelidae
VFCALBON1	Caliscelidae
VFOMMDIS	Caliscelidae
VFOMMLON	Caliscelidae
VFBRI	Cixiidae
VFCIXIUS	Cixiidae
VFCIXNER	Cixiidae
VFHYALUT	Cixiidae
VFOLIH	Cixiidae
VFPENROR	Cixiidae
VFPINALT	Cixiidae
VFASICLA	Delphacidae
VFKELRIB	Delphacidae
VFKELVIT	Delphacidae
VFSACSP1	Delphacidae
VFSTELAU	Delphacidae
VFSTEMIN	Delphacidae
VFUGYLON	Delphacidae
VFUGYOPS	Delphacidae
VFVIZSP	Delphacidae
VFDER3	Derbidae
VFMALBOS	Derbidae
VFCALKRU	Dictyopharidae
VFDESRAP	Dictyopharidae
VFDICEUR	Dictyopharidae
VFDICMUL	Dictyopharidae
VFDICPAN5	Dictyopharidae
VFPARPLA	Dictyopharidae
VFRANEDI	Dictyopharidae
VFRANSCY	Dictyopharidae
VFRR05105	Dictyopharidae
VFLYNSP	Fulgoridae
VFPENVAR	Fulgoridae
VFPYRCLA	Fulgoridae
VFPYRLAN	Fulgoridae
VFPYRVIR	Fulgoridae
VFAGAHAV	Issidae
VFISSCOL1	Issidae
VFISSKAZ	Issidae
VFLIBAN	Issidae
VFMYCCUN	Issidae
VFSCODIS	Issidae
VFZOPTEN	Issidae
VFOECSP1	Kinnaridae
VFLACSP	Lophopidae
VFLOPSAC	Lophopidae
VFPARIOC	Lophopidae
VFPITSP	Lophopidae
VFMEEALB	Meenoplidae
VFMEEMAD	Meenoplidae
VFMEESKO	Meenoplidae
VFMEETHA	Meenoplidae
VFMELPLA	Meenoplidae
VFBLASP1	Nogodinidae
VFBLASP2	Nogodinidae
VFCOTACU	Nogodinidae
VFTETHEX	Tettigometridae
VFTETIMP	Tettigometridae
VFTETMAC	Tettigometridae
VFTETSUL	Tettigometridae
VFIDISP1	Tropiduchidae
VFIND2	Tropiduchidae
VFTRYOCC	Tropiduchidae
