gene_name	gene_type	funct_category	VFBLASP1	VFBEB	VFBLASP2	
lysA	Protein	Biosynthesis-Lysine	Functional	Functional	Functional	
fmt	Protein	Translation - aminoacyl-tRNA synthetase	Absent	Absent	Absent	
xxxVFZOPTEN02	Protein	not_yet_classified	Absent	Absent	Absent	
xxxOLIH02	Protein	not_yet_classified	Absent	Absent	Absent	
aroA	Protein	Biosynthesis-Phenylalanine	Functional	Functional	Functional	
trpG	Protein	Biosynthesis-Tryptophan	Functional	Functional	Functional	
rpsS	Protein	translation - ribosomal protein	Functional	Functional	Functional	
xxxVFQUISP03	Protein	not_yet_classified	Absent	Absent	Absent	
xxxVFUGYOPS05	Protein	not_yet_classified	Absent	Absent	Absent	
dnaX	Protein	DNA replication	Functional	Absent	Functional	
fusA	Protein	Translation	Functional	Functional	Functional	
tyrS	Protein	Translation - aminoacyl-tRNA synthetase	Functional	Functional	Functional	
aroF	Protein	Biosynthesis-Phenylalanine	Functional	Functional	Functional	
rluD	Protein	Translation - rRNA processing	Functional	Absent	Functional	
xxxVFAGAHAV03	Protein	not_yet_classified	Absent	Absent	Absent	
hisG	Protein	Biosynthesis-Histidine	Functional	Functional	Functional	
xxxVFVIZSP02	Protein		Absent	Absent	Absent	
xxxY	Protein	not_yet_classified	Absent	Absent	Absent	
rplX	Protein	translation - ribosomal protein	Absent	Absent	Absent	
xxxVFTETHEX05	Protein	not_yet_classified	Absent	Absent	Absent	
clpX	Protein	protein folding and degradation	Functional	Functional	Functional	
rpoD	Protein	Transcription	Functional	Functional	Functional	
trxA	Protein	not_yet_classified	Functional	Absent	Functional	
xxxVFCIXIUS01	Protein	not_yet_classified	Absent	Absent	Absent	
pheS	Protein	Translation - aminoacyl-tRNA synthetase	Absent	Absent	Absent	
xxxBS	Protein	not_yet_classified	Absent	Absent	Absent	
infA	Protein	Translation	Functional	Functional	Functional	
rplN	Protein	translation - ribosomal protein	Functional	Functional	Functional	
hisC	Protein	Biosynthesis-Histidine	Functional	Functional	Functional	
rpsL	Protein	translation - ribosomal protein	Functional	Functional	Functional	
trpD	Protein	Biosynthesis-Tryptophan	Functional	Functional	Functional	
xxxVFUGYLON01	Protein		Absent	Absent	Absent	
xxxVFUGYLON07	Protein		Absent	Absent	Absent	
groES	Protein	Protein folding and degradation	Functional	Absent	Absent	
rplJ	Protein	translation - ribosomal protein	Functional	Functional	Functional	
dapB	Protein	Biosynthesis-Lysine	Functional	Functional	Functional	
xxxVFUGYLON08	Protein		Absent	Absent	Absent	
dapD2	Protein	Biosynthesis-Lysine	Absent	Absent	Absent	
rplV	Protein	translation - ribosomal protein	Functional	Absent	Functional	
hisH	Protein	Biosynthesis-Histidine	Functional	Functional	Functional	
rpsD	Protein	translation - ribosomal protein	Functional	Functional	Functional	
carA	Protein	Biosynthesis-Arginine	Pseudogene	Functional	Functional	
xxxVFVIZSP03	Protein		Absent	Absent	Absent	
dnaE	Protein	DNA replication	Functional	Functional	Functional	
xxxVFUGYLON010	Protein		Absent	Absent	Absent	
xxxVFVIZSP04	Protein		Absent	Absent	Absent	
rpoS	Protein	Transcription	Absent	Putative	Absent	
rplE	Protein	translation - ribosomal protein	Functional	Functional	Functional	
rpmH	Protein	translation - ribosomal protein	Absent	Absent	Absent	
serB	Protein	Metabolism	Functional	Functional	Functional	
ileS	Protein	Translation - aminoacyl-tRNA synthetase	Functional	Absent	Functional	
rplU	Protein	translation - ribosomal protein	Functional	Functional	Functional	
rplL	Protein	translation - ribosomal protein	Functional	Functional	Functional	
rplC	Protein	translation - ribosomal protein	Functional	Functional	Functional	
xxxVFTETHEX04	Protein	not_yet_classified	Absent	Absent	Absent	
trpS	Protein	Translation - aminoacyl-tRNA synthetase	Absent	Absent	Absent	
xxxCIXPIL02	Protein		Absent	Absent	Absent	
sucA	Protein	Metabolism - TCA	Absent	Absent	Absent	
xxxPYRLAN03	Protein	not_yet_classified	Absent	Absent	Absent	
xxxBZ	Protein	not_yet_classified	Absent	Absent	Absent	
rpsO	Protein	translation - ribosomal protein	Absent	Absent	Absent	
xxxVFVIZSP07	Protein		Absent	Absent	Absent	
prfA	Protein	Translation - termination	Functional	Pseudogene	Functional	
lysC	Protein	Biosynthesis-Lysine	Absent	Absent	Absent	
xxxVFCIXIUS04	Protein	not_yet_classified	Absent	Absent	Absent	
rplA	Protein	translation - ribosomal protein	Functional	Functional	Functional	
