gene_name,gene_type,funct_category,VFOLIH,VFUGYOPS,VFAKOQUE,VFPENVAR,VFDER3,VFCIXNER,VFRANEDI,VFDICPAN5,VFKELVIT,VFZOPTEN,VFSCODIS,VFTETSUL,VFMEEALB,VFPARIOC,VFMALBOS,VFCIXIUS,VFLIBAN,VFASICLA,VFCALBON1,VFDICEUR,VFPYRCLA,VFDICMUL,VFOMMDIS,VFISSKAZ,VFTRYOCC,VFAGAHAV,VFSTEMIN,VFPYRVIR,VFRR05105,VFMYCCUN,VFKELRIB,VFISSCOL1,VFCIXPIL,VFTETMAC,VFTETIMP,VFRANSCY,VFCALKRU,VFPARPLA,VFPYRLAN,VFOMMLON,VFHYALUT,VFTETHEX,VFPENROR,
rlmB,Protein,Translation - rRNA processing,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rluA,Protein,Translation - rRNA processing,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rmpJ,Protein,translation - ribosomal protein,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
tsf,Protein,Translation,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpmB,Protein,translation - ribosomal protein,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,
rlmE,Protein,Translation - rRNA processing,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
grpE,Protein,protein folding and degradation,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Pseudogene,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
erpA,Protein,Metabolism - iron-sulfur cluster biosynthesis,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,
rplC,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
hisS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpsS,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
hisE,Protein,Biosynthesis-Histidine,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
gltX,Protein,Translation - aminoacyl-tRNA synthetase,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,
rplF,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rplA,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxH,Protein,not_yet_classified,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,
rpsU,Protein,translation - ribosomal protein,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpsQ,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpoC,Protein,Transcription,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpsP,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
