#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFCALKRU	1268	1663	+	HDKOKI_00010	14.6	10.1	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
VFCALKRU	1630	2226	+	HDKOKI_00015	22.8	10.4		
VFCALKRU	2223	2675	+	HDKOKI_00020	17.0	10.3		
VFCALKRU	2672	3016	+	HDKOKI_00025	12.9	9.5	PF00542.22|Ribosomal_L12, PF16320.8|Ribosomal_L12_N	PFAM:PF00542.22, PFAM:PF16320.8
VFCALKRU	3019	6723	+	HDKOKI_00030	142.3	10.1	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFCALKRU	6720	10481	+	HDKOKI_00035	143.6	10.1	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFCALKRU	10478	10864	+	HDKOKI_00040	14.7	10.9		
VFCALKRU	10839	11312	+	HDKOKI_00045	18.5	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFCALKRU	13333	13638	+	HDKOKI_00055	11.7	10.5	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFCALKRU	14132	14503	+	HDKOKI_00065	14.6	10.0		
VFCALKRU	14405	15163	-	HDKOKI_00070	29.9	9.0	PF00398.23|RrnaAD	PFAM:PF00398.23
VFCALKRU	15154	16239	-	HDKOKI_00075	41.8	9.7		
VFCALKRU	16240	16632	-	HDKOKI_00080	15.1	10.1		
VFCALKRU	16619	16948	-	HDKOKI_00085	12.5	10.0		
VFCALKRU	16905	17729	-	HDKOKI_00090	31.6	9.5	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFCALKRU	18261	18710	+	HDKOKI_00095	17.2	10.1		
VFCALKRU	18763	19620	+	HDKOKI_00100	32.7	10.0	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFCALKRU	19601	20101	+	HDKOKI_00105	19.8	10.1		
VFCALKRU	20087	20632	-	HDKOKI_00110	20.5	9.3		
VFCALKRU	21002	22123	+	HDKOKI_00115	42.7	10.0	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFCALKRU	22095	23369	-	HDKOKI_00120	49.3	8.8	PF00152.23|tRNA-synt_2, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01409.23
VFCALKRU	23369	24055	-	HDKOKI_00125	25.6	10.0	PF03462.21|PCRF	PFAM:PF03462.21
VFCALKRU	24042	24947	-	HDKOKI_00130	35.0	7.8	PF00701.25|DHDPS	PFAM:PF00701.25
VFCALKRU	24951	25895	+	HDKOKI_00135	37.1	10.3		
VFCALKRU	27317	29512	-	HDKOKI_00145	86.1	9.3	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFCALKRU	29509	29658	-	HDKOKI_00150	5.8	10.5		
VFCALKRU	29830	32004	+	HDKOKI_00155	84.5	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFCALKRU	32232	32972	+	HDKOKI_00160	28.8	10.2		
VFCALKRU	32963	34096	+	HDKOKI_00165	43.3	9.9	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
