#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFIDISP1	1651	2211	+	DOAGBK_00015	22.4	10.0		
VFIDISP1	2216	2662	+	DOAGBK_00020	18.4	10.1		
VFIDISP1	2640	2981	+	DOAGBK_00025	13.0	9.5	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFIDISP1	2972	6346	+	DOAGBK_00030	131.2	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFIDISP1	6339	10103	+	DOAGBK_00035	146.4	10.1	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFIDISP1	10072	10440	+	DOAGBK_00040	13.8	10.5		
VFIDISP1	12978	13256	+	DOAGBK_00055	11.0	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFIDISP1	13246	13452	-	DOAGBK_00060	7.7	8.0	PF00313.25|CSD, PF08206.14|OB_RNB	PFAM:PF00313.25, PFAM:PF08206.14
VFIDISP1	13456	13887	+	DOAGBK_00065	17.4	9.9	PF01327.24|Pep_deformylase	PFAM:PF01327.24
VFIDISP1	14077	14547	-	DOAGBK_00075	18.6	10.5	PF00398.23|RrnaAD	PFAM:PF00398.23
VFIDISP1	14534	15523	-	DOAGBK_00080	39.7	10.2		
VFIDISP1	15520	15903	-	DOAGBK_00085	15.0	10.6		
VFIDISP1	15890	16171	-	DOAGBK_00090	11.1	10.5		
VFIDISP1	16161	16943	-	DOAGBK_00095	30.6	10.1	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFIDISP1	16933	17529	-	DOAGBK_00100	23.8	10.1		
VFIDISP1	18528	19016	+	DOAGBK_00110	19.5	9.9	PF01386.22|Ribosomal_L25p	PFAM:PF01386.22
VFIDISP1	19770	20897	+	DOAGBK_00120	43.1	9.9	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF01212.24|Beta_elim_lyase	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF01212.24
VFIDISP1	20894	21646	-	DOAGBK_00125	29.4	10.1	PF03462.21|PCRF	PFAM:PF03462.21
VFIDISP1	21603	22469	-	DOAGBK_00130	33.4	10.0	PF00701.25|DHDPS	PFAM:PF00701.25
VFIDISP1	26617	26760	-	DOAGBK_00145	5.9	10.2		
VFIDISP1	26837	29029	+	DOAGBK_00150	86.9	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFIDISP1	29235	29933	+	DOAGBK_00155	27.9	10.2		
VFIDISP1	31695	32420	-	DOAGBK_00170	29.1	10.2	PF00218.24|IGPS	PFAM:PF00218.24
VFIDISP1	32384	33247	-	DOAGBK_00175	34.4	10.1		
VFIDISP1	33213	33770	-	DOAGBK_00180	21.9	9.7	PF00117.31|GATase	PFAM:PF00117.31
VFIDISP1	33767	35020	-	DOAGBK_00185	49.6	10.2		
VFIDISP1	37594	38772	-	DOAGBK_00200	47.7	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFIDISP1	38769	39656	-	DOAGBK_00205	36.2	10.1		
VFIDISP1	39781	40779	+	DOAGBK_00210	40.6	10.0	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
VFIDISP1	45239	45964	+	DOAGBK_00230	29.0	10.1	PF02219.20|MTHFR	PFAM:PF02219.20
VFIDISP1	46958	47587	+	DOAGBK_00240	24.6	10.0	PF00697.25|PRAI	PFAM:PF00697.25
VFIDISP1	48700	49407	+	DOAGBK_00250	28.3	10.2	PF00290.23|Trp_syntA	PFAM:PF00290.23
VFIDISP1	49376	49588	+	DOAGBK_00255	8.1	10.4		
VFIDISP1	50455	50598	+	DOAGBK_00265	5.9	10.8		
VFIDISP1	51219	52280	+	DOAGBK_00275	41.5	9.8	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
VFIDISP1	55374	55904	+	DOAGBK_00285	21.0	10.0		
VFIDISP1	57639	58190	+	DOAGBK_00300	23.0	10.0		
VFIDISP1	59403	60017	+	DOAGBK_00320	24.4	10.2		
VFIDISP1	59971	61224	+	DOAGBK_00325	47.9	10.1		
VFIDISP1	61217	62206	+	DOAGBK_00330	39.7	10.3	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFIDISP1	62203	62760	+	DOAGBK_00335	21.5	9.8		
VFIDISP1	62757	63335	+	DOAGBK_00340	22.7	10.1	PF00117.31|GATase, PF01174.22|SNO	PFAM:PF00117.31, PFAM:PF01174.22
VFIDISP1	63332	64024	+	DOAGBK_00345	27.0	10.2		
VFIDISP1	64728	65051	+	DOAGBK_00355	13.1	9.9		
VFIDISP1	65440	66264	+	DOAGBK_00365	32.8	10.1	PF00185.27|OTCace, PF02729.24|OTCace_N	PFAM:PF00185.27, PFAM:PF02729.24
VFIDISP1	67591	68481	-	DOAGBK_00380	35.6	10.0	PF01409.23|tRNA-synt_2d	PFAM:PF01409.23
VFIDISP1	68790	68936	-	DOAGBK_00390	5.8	10.9		
VFIDISP1	68917	69381	-	DOAGBK_00395	18.3	10.1	PF00707.25|IF3_C, PF05198.19|IF3_N	PFAM:PF00707.25, PFAM:PF05198.19
VFIDISP1	70882	71178	+	DOAGBK_00420	11.8	10.3		
VFIDISP1	71146	71619	-	DOAGBK_00425	19.1	9.8		
VFIDISP1	71616	71813	-	DOAGBK_00430	8.1	10.1		
VFIDISP1	72052	72174	-	DOAGBK_00435	4.9	10.1		
VFIDISP1	72162	72635	-	DOAGBK_00440	19.1	10.3		
VFIDISP1	74470	75495	+	DOAGBK_00455	39.9	10.1	PF07687.17|M20_dimer	PFAM:PF07687.17
VFIDISP1	75487	76758	-	DOAGBK_00460	50.9	10.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
VFIDISP1	76755	77861	-	DOAGBK_00465	43.5	10.3	PF00742.22|Homoserine_dh	PFAM:PF00742.22
VFIDISP1	77858	79060	-	DOAGBK_00470	47.1	10.0	PF00772.24|DnaB, PF03796.18|DnaB_C, PF09848.12|DUF2075, PF13481.9|AAA_25	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF09848.12, PFAM:PF13481.9
VFIDISP1	79057	79506	-	DOAGBK_00475	18.3	10.1		
VFIDISP1	80955	82082	-	DOAGBK_00490	45.4	10.1	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFIDISP1	82147	83334	+	DOAGBK_00495	47.1	10.2	PF02421.21|FeoB_N	PFAM:PF02421.21
VFIDISP1	83331	85064	+	DOAGBK_00500	66.3	10.0	PF00070.30|Pyr_redox, PF07992.17|Pyr_redox_2, PF13932.9|GIDA_C	PFAM:PF00070.30, PFAM:PF07992.17, PFAM:PF13932.9
VFIDISP1	85088	85321	+	DOAGBK_00505	9.0	10.6		
VFIDISP1	86891	88156	+	DOAGBK_00515	50.1	10.4		
VFIDISP1	88140	89204	-	DOAGBK_00520	43.5	9.9		
VFIDISP1	89322	89945	+	DOAGBK_00525	24.9	10.1		
VFIDISP1	89940	90899	-	DOAGBK_00530	37.5	9.6	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFIDISP1	93741	94727	-	DOAGBK_00545	39.4	10.2	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
VFIDISP1	94696	95226	-	DOAGBK_00550	21.7	10.2		
VFIDISP1	95219	95878	-	DOAGBK_00555	26.4	10.1		
VFIDISP1	96205	97116	-	DOAGBK_00560	37.2	10.2		
VFIDISP1	97113	97685	-	DOAGBK_00565	22.4	10.1	PF05173.17|DapB_C	PFAM:PF05173.17
VFIDISP1	99947	100435	-	DOAGBK_00580	19.8	10.4		
VFIDISP1	100383	100649	-	DOAGBK_00585	10.0	11.1		
VFIDISP1	100619	100930	-	DOAGBK_00590	12.8	10.3		
VFIDISP1	100927	101412	-	DOAGBK_00595	19.8	10.0		
VFIDISP1	107371	107790	+	DOAGBK_00625	15.6	10.4		
VFIDISP1	107774	108268	+	DOAGBK_00630	19.4	11.0		
VFIDISP1	108216	108455	+	DOAGBK_00635	9.9	10.4		
VFIDISP1	109511	109807	+	DOAGBK_00650	11.7	10.7		
VFIDISP1	109800	110405	+	DOAGBK_00655	23.8	10.2	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
VFIDISP1	110826	110948	+	DOAGBK_00665	4.8	10.1		
VFIDISP1	110923	111144	+	DOAGBK_00670	9.0	10.7	PF00366.23|Ribosomal_S17	PFAM:PF00366.23
VFIDISP1	111521	111679	+	DOAGBK_00680	6.1	9.8		
VFIDISP1	111663	112259	+	DOAGBK_00685	23.1	9.7	PF00281.22|Ribosomal_L5, PF00673.24|Ribosomal_L5_C	PFAM:PF00281.22, PFAM:PF00673.24
VFIDISP1	112259	112501	+	DOAGBK_00690	9.8	11.8		
VFIDISP1	112501	112878	+	DOAGBK_00695	14.8	9.8	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
VFIDISP1	112878	113393	+	DOAGBK_00700	20.3	10.1		
VFIDISP1	113390	113641	+	DOAGBK_00705	10.2	10.6		
VFIDISP1	113638	114039	+	DOAGBK_00710	15.2	10.0		
VFIDISP1	114023	114370	+	DOAGBK_00715	13.2	10.3		
VFIDISP1	115390	115800	+	DOAGBK_00740	16.8	10.4	PF01479.28|S4	PFAM:PF01479.28
VFIDISP1	115790	116431	+	DOAGBK_00745	24.8	9.8	PF01000.29|RNA_pol_A_bac	PFAM:PF01000.29
VFIDISP1	116428	116715	+	DOAGBK_00750	11.4	10.3		
VFIDISP1	117881	118303	+	DOAGBK_00760	16.6	10.1	PF01202.25|SKI	PFAM:PF01202.25
VFIDISP1	118284	119291	+	DOAGBK_00765	39.5	10.2	PF01761.23|DHQ_synthase	PFAM:PF01761.23
