# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFASICLA	tRNA	1193	1263	+	AGJNAD_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFASICLA	cds	1357	1671	+	AGJNAD_00010		hypothetical protein	PFAM:PF00298.22
VFASICLA	cds	1664	2206	+	AGJNAD_00015		hypothetical protein	
VFASICLA	cds	2208	2654	+	AGJNAD_00020		hypothetical protein	
VFASICLA	cds	2632	2970	+	AGJNAD_00025		hypothetical protein	PFAM:PF00542.22
VFASICLA	cds	2964	6293	+	AGJNAD_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFASICLA	cds	6286	10080	+	AGJNAD_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFASICLA	cds	10034	10411	+	AGJNAD_00040		hypothetical protein	
VFASICLA	cds	10395	10865	+	AGJNAD_00045		SSU ribosomal protein S7p (S5e)	SO:0001217, UniRef:UniRef50_A0A346E0B3
VFASICLA	cds	10865	12919	+	AGJNAD_00050		Elongation factor G	SO:0001217, UniRef:UniRef50_A0A346E0B4
VFASICLA	cds	12916	13194	+	AGJNAD_00055		hypothetical protein	PFAM:PF00338.25
VFASICLA	cds	13184	13393	-	AGJNAD_00060		hypothetical protein	PFAM:PF00313.25, PFAM:PF08206.14
VFASICLA	cds	13397	13828	+	AGJNAD_00065		hypothetical protein	PFAM:PF01327.24
VFASICLA	tRNA	13852	13924	+	AGJNAD_00070	trnF	tRNA-Phe(gaa)	SO:0000267
VFASICLA	cds	14013	14486	-	AGJNAD_00075		hypothetical protein	PFAM:PF00398.23
VFASICLA	cds	14464	15459	-	AGJNAD_00080		hypothetical protein	
VFASICLA	cds	15469	15849	-	AGJNAD_00085		30S ribosomal protein S9	SO:0001217, UniRef:UniRef50_A0A2Z5T6Z9
VFASICLA	cds	15836	16120	-	AGJNAD_00090		hypothetical protein	
VFASICLA	cds	16110	16871	-	AGJNAD_00095		hypothetical protein	PFAM:PF01678.22
VFASICLA	cds	16868	17449	-	AGJNAD_00100		hypothetical protein	
VFASICLA	cds	17449	18738	-	AGJNAD_00105		hypothetical protein	PFAM:PF00009.30, PFAM:PF00071.25, PFAM:PF09439.13
VFASICLA	tRNA	18775	18847	+	AGJNAD_00110	trnQ	tRNA-Gln(ttg)	SO:0000261
VFASICLA	cds	19300	19713	+	AGJNAD_00115		hypothetical protein	PFAM:PF00156.30
VFASICLA	cds	19710	20198	+	AGJNAD_00120		hypothetical protein	
VFASICLA	cds	20195	20722	-	AGJNAD_00125		hypothetical protein	PFAM:PF05175.17, PFAM:PF13847.9
VFASICLA	cds	20946	22043	+	AGJNAD_00130		hypothetical protein	PFAM:PF00266.22
VFASICLA	cds	22032	22781	-	AGJNAD_00135		hypothetical protein	PFAM:PF03462.21
VFASICLA	cds	22757	23623	-	AGJNAD_00140		hypothetical protein	PFAM:PF00701.25
VFASICLA	cds	23626	24543	+	AGJNAD_00145		hypothetical protein	
VFASICLA	tRNA	25630	25713	+	AGJNAD_00150	trnS	tRNA-Ser(gct)	SO:0000269
VFASICLA	cds	27987	30173	+	AGJNAD_00155		5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	SO:0001217, UniRef:UniRef50_A0A346E0E2
VFASICLA	cds	30374	31078	+	AGJNAD_00160		hypothetical protein	
VFASICLA	cds	31075	32154	+	AGJNAD_00165		Cystathionine beta-lyase	SO:0001217, UniRef:UniRef50_A0A346E0E4
VFASICLA	cds	32119	32838	-	AGJNAD_00170		hypothetical protein	PFAM:PF03462.21
VFASICLA	cds	32816	33526	-	AGJNAD_00175		hypothetical protein	PFAM:PF00218.24
VFASICLA	cds	33484	34368	-	AGJNAD_00180		hypothetical protein	
VFASICLA	cds	34310	34873	-	AGJNAD_00185		Anthranilate synthase, amidotransferase component	SO:0001217, UniRef:UniRef50_A0A346E0E8
VFASICLA	cds	34870	36123	-	AGJNAD_00190		hypothetical protein	
VFASICLA	cds	36077	37495	-	AGJNAD_00195		Argininosuccinate lyase	SO:0001217, UniRef:UniRef50_A0A346E0F0
VFASICLA	cds	37526	38515	-	AGJNAD_00200		tryptophan--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A346E0F1
VFASICLA	cds	38679	39875	-	AGJNAD_00205		hypothetical protein	PFAM:PF00749.24
VFASICLA	cds	39865	40539	-	AGJNAD_00210		hypothetical protein	
VFASICLA	cds	40748	41869	+	AGJNAD_00215		hypothetical protein	PFAM:PF08275.14, PFAM:PF13362.9, PFAM:PF13662.9
VFASICLA	tRNA	42973	43178	+	AGJNAD_00220		tRNA-Xxx	
VFASICLA	cds	43180	45996	+	AGJNAD_00225		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFASICLA	tRNA	46114	46186	+	AGJNAD_00230	trnL	tRNA-Leu(tag)	SO:0000264
VFASICLA	tRNA	46187	46269	+	AGJNAD_00235	trnS	tRNA-Ser(aga)	SO:0000269
VFASICLA	cds	46999	48039	+	AGJNAD_00240		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFASICLA	cds	47999	48619	+	AGJNAD_00245		hypothetical protein	PFAM:PF00697.25
VFASICLA	cds	48606	49736	+	AGJNAD_00250		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_A0A346E0G4
VFASICLA	cds	49726	50433	+	AGJNAD_00255		hypothetical protein	PFAM:PF00290.23
VFASICLA	cds	50402	50605	+	AGJNAD_00260		hypothetical protein	
VFASICLA	tRNA	50825	50896	-	AGJNAD_00265	trnN	tRNA-Asn(gtt)	SO:0000257
VFASICLA	cds	50898	51488	+	AGJNAD_00270		hypothetical protein	
VFASICLA	cds	51488	51619	+	AGJNAD_00275		hypothetical protein	
VFASICLA	tRNA	51659	51731	-	AGJNAD_00280	trnG	(pseudo) tRNA-Gly(gcc)	SO:0000260
VFASICLA	cds	52404	53291	+	AGJNAD_00285		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFASICLA	cds	53288	56404	+	AGJNAD_00290		carbamoyl-phosphate synthase (glutamine-hydrolyzing)	SO:0001217, UniRef:UniRef50_A0A346E0H0
VFASICLA	cds	56376	56909	+	AGJNAD_00295		hypothetical protein	
