#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1258	1644	+	VFTETSUL_00010	15.0	10.5		
contig_1	1634	2278	+	VFTETSUL_00015	25.7	10.2		
contig_1	2271	2717	+	VFTETSUL_00020	18.1	10.3		
contig_1	2695	3054	+	VFTETSUL_00025	13.9	9.3	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	3033	7196	+	VFTETSUL_00030	162.9	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04561.17, PFAM:PF04565.19
contig_1	7172	11098	+	VFTETSUL_00035	152.8	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	11095	11490	+	VFTETSUL_00040	14.7	10.5		
contig_1	11459	11932	+	VFTETSUL_00045	18.5	10.1	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	13974	14270	+	VFTETSUL_00055	11.6	10.5	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14767	15102	+	VFTETSUL_00065	13.6	9.8		
contig_1	15095	15790	-	VFTETSUL_00070	28.3	10.4	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	15787	16890	-	VFTETSUL_00075	44.2	10.3		
contig_1	17276	17611	-	VFTETSUL_00085	13.1	10.5		
contig_1	17598	18401	-	VFTETSUL_00090	32.0	10.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
contig_1	18402	19043	-	VFTETSUL_00095	25.0	10.4		
contig_1	19033	20667	-	VFTETSUL_00100	64.1	10.2	PF00009.30|GTP_EFTU, PF10662.12|PduV-EutP	PFAM:PF00009.30, PFAM:PF10662.12
contig_1	21648	22151	+	VFTETSUL_00110	20.2	9.9		
contig_1	22148	22708	-	VFTETSUL_00115	21.8	10.2	PF05175.17|MTS, PF08241.15|Methyltransf_11, PF13649.9|Methyltransf_25, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
contig_1	22794	23930	+	VFTETSUL_00120	43.8	9.9	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	23922	25220	-	VFTETSUL_00125	51.9	10.2	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	25227	25925	-	VFTETSUL_00130	27.6	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	25903	26811	-	VFTETSUL_00135	35.4	10.2	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	29230	29370	-	VFTETSUL_00145	5.5	10.5		
contig_1	29352	29546	-	VFTETSUL_00150	7.6	11.2		
contig_1	29566	31785	+	VFTETSUL_00155	88.0	10.0	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	31993	32796	+	VFTETSUL_00160	32.4	10.2		
contig_1	32793	33926	+	VFTETSUL_00165	43.9	9.7	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	34755	35303	-	VFTETSUL_00175	21.1	10.2	PF00117.31|GATase	PFAM:PF00117.31
contig_1	35300	36586	-	VFTETSUL_00180	51.2	10.4		
contig_1	36798	38258	-	VFTETSUL_00185	58.9	10.1	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	38260	39171	-	VFTETSUL_00190	36.4	10.4		
contig_1	43806	43976	+	VFTETSUL_00200	6.8	11.3	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
contig_1	44051	44782	+	VFTETSUL_00205	30.1	9.8		
contig_1	44779	45819	+	VFTETSUL_00210	39.7	9.9	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
contig_1	46084	46341	+	VFTETSUL_00215	10.1	10.2		
contig_1	46322	46540	+	VFTETSUL_00220	8.8	10.1		
contig_1	47298	47921	+	VFTETSUL_00235	24.1	10.0		
contig_1	49700	50500	+	VFTETSUL_00250	32.0	9.8	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
contig_1	50472	51512	+	VFTETSUL_00255	41.4	9.9	PF00004.32|AAA, PF05496.15|RuvB_N, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
contig_1	51667	52266	+	VFTETSUL_00265	23.7	9.8		
contig_1	52263	53486	+	VFTETSUL_00270	47.5	9.9		
contig_1	53473	54438	+	VFTETSUL_00275	38.6	9.9	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	54435	55028	+	VFTETSUL_00280	23.5	9.4		
contig_1	55025	55621	+	VFTETSUL_00285	23.2	9.8	PF00117.31|GATase	PFAM:PF00117.31
contig_1	55618	56331	+	VFTETSUL_00290	27.9	10.2		
contig_1	57338	57601	+	VFTETSUL_00305	10.6	9.9		
contig_1	58082	58243	-	VFTETSUL_00315	6.6	10.9		
contig_1	58224	58682	-	VFTETSUL_00320	18.1	10.2	PF05198.19|IF3_N	PFAM:PF05198.19
contig_1	59899	60018	+	VFTETSUL_00330	5.1	10.5		
contig_1	60496	61029	-	VFTETSUL_00345	21.6	10.0		
contig_1	61026	61982	-	VFTETSUL_00350	38.9	10.4		
contig_1	62116	63075	+	VFTETSUL_00355	37.5	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	63054	63842	+	VFTETSUL_00360	30.2	9.9	PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF14602.9, PFAM:PF14805.9
contig_1	63835	64956	+	VFTETSUL_00365	43.5	9.9	PF07687.17|M20_dimer	PFAM:PF07687.17
contig_1	64953	66239	-	VFTETSUL_00370	51.0	10.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
contig_1	66236	67411	-	VFTETSUL_00375	46.0	10.3	PF00742.22|Homoserine_dh	PFAM:PF00742.22
