gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFCIXPIL	0	1185	f	0	1	Prodigal	2.6
2	VFCIXPIL	1183	1254	f	1	2	Prodigal	2.6
3	VFCIXPIL	1265	1688	f	0	1	Prodigal	2.6
4	VFCIXPIL	2308	2797	f	0	1	Prodigal	2.6
5	VFCIXPIL	2762	3116	f	0	1	Prodigal	2.6
6	VFCIXPIL	3103	6988	f	0	1	Prodigal	2.6
7	VFCIXPIL	6984	10938	f	0	1	Prodigal	2.6
8	VFCIXPIL	10925	11303	f	0	1	Prodigal	2.6
9	VFCIXPIL	11321	11792	f	0	1	Prodigal	2.6
10	VFCIXPIL	11793	13881	f	0	1	Prodigal	2.6
11	VFCIXPIL	13877	14180	f	0	1	Prodigal	2.6
12	VFCIXPIL	14203	14635	f	0	1	Prodigal	2.6
13	VFCIXPIL	14625	14698	f	1	2	Prodigal	2.6
14	VFCIXPIL	16024	17191	r	0	1	Prodigal	2.6
15	VFCIXPIL	17228	17621	r	0	1	Prodigal	2.6
16	VFCIXPIL	17617	17944	r	0	1	Prodigal	2.6
17	VFCIXPIL	18947	19727	r	0	1	Prodigal	2.6
18	VFCIXPIL	21559	22234	r	0	1	Prodigal	2.6
19	VFCIXPIL	22841	22914	f	1	2	Prodigal	2.6
20	VFCIXPIL	25055	25598	f	0	1	Prodigal	2.6
21	VFCIXPIL	25621	26182	r	0	1	Prodigal	2.6
22	VFCIXPIL	27437	28556	f	0	1	Prodigal	2.6
23	VFCIXPIL	28581	29910	r	0	1	Prodigal	2.6
24	VFCIXPIL	29958	30648	r	0	1	Prodigal	2.6
25	VFCIXPIL	30631	31534	r	0	1	Prodigal	2.6
26	VFCIXPIL	31638	32286	f	0	1	Prodigal	2.6
27	VFCIXPIL	32845	34039	f	0	1	Prodigal	2.6
28	VFCIXPIL	34037	34120	f	1	2	Prodigal	2.6
29	VFCIXPIL	34722	37221	r	0	1	Prodigal	2.6
30	VFCIXPIL	34722	37221	r	0	1	Prodigal	2.6
31	VFCIXPIL	37356	37554	r	0	1	Prodigal	2.6
32	VFCIXPIL	37775	40010	f	0	1	Prodigal	2.6
33	VFCIXPIL	40237	40981	f	0	1	Prodigal	2.6
34	VFCIXPIL	41132	42326	f	0	1	Prodigal	2.6
35	VFCIXPIL	42306	43110	r	0	1	Prodigal	2.6
36	VFCIXPIL	46024	47458	r	0	1	Prodigal	2.6
