# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFMEEMAD	cds	1	1188	+	ACBLMG_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFMEEMAD	cds	1251	1604	+	ACBLMG_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFMEEMAD	cds	1601	2014	+	ACBLMG_00015		hypothetical protein	
VFMEEMAD	cds	1995	2339	+	ACBLMG_00020		hypothetical protein	PFAM:PF00542.22
VFMEEMAD	cds	2336	6106	+	ACBLMG_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMEEMAD	cds	6103	9672	+	ACBLMG_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFMEEMAD	cds	9669	10049	+	ACBLMG_00035		30S ribosomal protein S12	SO:0001217, UniRef:UniRef50_Q83HC7
VFMEEMAD	cds	10030	10497	+	ACBLMG_00040		hypothetical protein	PFAM:PF00177.24
VFMEEMAD	cds	10497	12530	+	ACBLMG_00045		hypothetical protein	PFAM:PF00009.30, PFAM:PF00679.27, PFAM:PF03764.21, PFAM:PF14492.9
VFMEEMAD	cds	12520	12810	+	ACBLMG_00050		hypothetical protein	PFAM:PF00338.25
VFMEEMAD	cds	12813	13238	+	ACBLMG_00055		hypothetical protein	PFAM:PF01327.24
VFMEEMAD	cds	13273	13398	+	ACBLMG_00060		hypothetical protein	
VFMEEMAD	cds	13369	13857	-	ACBLMG_00065		hypothetical protein	PFAM:PF00398.23
VFMEEMAD	cds	13916	14311	-	ACBLMG_00070		hypothetical protein	
VFMEEMAD	cds	14308	14565	-	ACBLMG_00075		hypothetical protein	
VFMEEMAD	cds	14562	15299	-	ACBLMG_00080		hypothetical protein	PFAM:PF01678.22
VFMEEMAD	cds	15296	15829	-	ACBLMG_00085		hypothetical protein	
VFMEEMAD	cds	15829	16161	-	ACBLMG_00090		hypothetical protein	PFAM:PF00436.28
VFMEEMAD	cds	16176	16646	+	ACBLMG_00095		hypothetical protein	
VFMEEMAD	cds	16626	17156	-	ACBLMG_00100		hypothetical protein	PFAM:PF05175.17
VFMEEMAD	cds	17190	17837	-	ACBLMG_00105		hypothetical protein	PFAM:PF03462.21
VFMEEMAD	cds	17818	19209	-	ACBLMG_00110		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFMEEMAD	cds	19531	20421	-	ACBLMG_00115		hypothetical protein	
VFMEEMAD	cds	20436	21578	+	ACBLMG_00120		hypothetical protein	PFAM:PF13662.9
VFMEEMAD	tRNA	22754	22957	+	ACBLMG_00125		(pseudo) tRNA-Xxx	
VFMEEMAD	cds	22959	25790	+	ACBLMG_00130		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFMEEMAD	cds	25835	26878	+	ACBLMG_00135		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFMEEMAD	tRNA	27196	27267	-	ACBLMG_00140	trnN	tRNA-Asn(gtt)	SO:0000257
VFMEEMAD	cds	27436	28047	-	ACBLMG_00145		hypothetical protein	
VFMEEMAD	cds	28063	29118	+	ACBLMG_00150		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFMEEMAD	cds	29105	32188	+	ACBLMG_00155		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFMEEMAD	cds	32185	32742	+	ACBLMG_00160		ATP-dependent Clp protease proteolytic subunit	SO:0001217, UniRef:UniRef50_P80244
VFMEEMAD	cds	32739	33881	+	ACBLMG_00165	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_A0A346E0H3
VFMEEMAD	cds	33886	34308	+	ACBLMG_00170		hypothetical protein	
VFMEEMAD	cds	34295	35356	+	ACBLMG_00175		hypothetical protein	PFAM:PF00004.32, PFAM:PF07728.17, PFAM:PF13177.9
VFMEEMAD	tRNA	36222	36295	-	ACBLMG_00180	trnN	(pseudo) tRNA-Asn(gtt)	SO:0000257
VFMEEMAD	cds	36619	37056	-	ACBLMG_00185		hypothetical protein	
VFMEEMAD	cds	37058	38119	-	ACBLMG_00190		Chorismate synthase	SO:0001217, UniRef:UniRef50_Q82TK9
VFMEEMAD	tRNA	38202	38273	-	ACBLMG_00195	trnfM	tRNA-fMet(cat)	SO:0000266
VFMEEMAD	tRNA	38293	38364	+	ACBLMG_00200	trnP	tRNA-Pro(tgg)	SO:0000268
VFMEEMAD	cds	38807	39211	-	ACBLMG_00205		hypothetical protein	
VFMEEMAD	cds	39208	39717	-	ACBLMG_00210		hypothetical protein	
VFMEEMAD	cds	39725	41551	+	ACBLMG_00215		hypothetical protein	PFAM:PF00132.27, PFAM:PF00155.24, PFAM:PF14602.9, PFAM:PF14805.9
VFMEEMAD	cds	41548	42603	+	ACBLMG_00220		hypothetical protein	
VFMEEMAD	cds	42571	42747	-	ACBLMG_00225		hypothetical protein	
VFMEEMAD	cds	42777	43994	-	ACBLMG_00230		hypothetical protein	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16, PFAM:PF13481.9
VFMEEMAD	cds	43987	44418	-	ACBLMG_00235		hypothetical protein	PFAM:PF01250.20
VFMEEMAD	tRNA	44428	44498	-	ACBLMG_00240	trnD	tRNA-Asp(gtc)	SO:0000256
VFMEEMAD	cds	45999	47264	+	ACBLMG_00245		hypothetical protein	
VFMEEMAD	cds	47240	48340	+	ACBLMG_00250		hypothetical protein	PFAM:PF00575.26
VFMEEMAD	cds	48341	49384	-	ACBLMG_00255		hypothetical protein	
VFMEEMAD	cds	49475	49750	+	ACBLMG_00260		hypothetical protein	
VFMEEMAD	cds	49727	50680	-	ACBLMG_00265		hypothetical protein	PFAM:PF00226.34, PFAM:PF01556.21
VFMEEMAD	cds	50680	52479	-	ACBLMG_00270	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A6T226
VFMEEMAD	cds	52476	52973	-	ACBLMG_00275		hypothetical protein	
VFMEEMAD	cds	52977	53987	+	ACBLMG_00280		hypothetical protein	PFAM:PF00793.23
VFMEEMAD	cds	53951	54454	-	ACBLMG_00285		hypothetical protein	
VFMEEMAD	cds	54466	55068	-	ACBLMG_00290		hypothetical protein	PFAM:PF01113.23, PFAM:PF05173.17
VFMEEMAD	cds	55127	55840	-	ACBLMG_00295		hypothetical protein	PFAM:PF08501.14
VFMEEMAD	cds	55860	56303	+	ACBLMG_00300		hypothetical protein	PFAM:PF01220.22
VFMEEMAD	cds	56212	56514	-	ACBLMG_00305		50S ribosomal protein L27	SO:0001217, UniRef:UniRef50_Q3Z6W2
VFMEEMAD	cds	56484	56825	-	ACBLMG_00310		hypothetical protein	
VFMEEMAD	cds	56944	58167	+	ACBLMG_00315		hypothetical protein	
VFMEEMAD	rRNA	58281	61005	-	ACBLMG_00320	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
VFMEEMAD	tRNA	61010	61080	-	ACBLMG_00325	trnI	tRNA-Ile(aat)	SO:0000263
VFMEEMAD	rRNA	61078	62527	-	ACBLMG_00330	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
VFMEEMAD	cds	62599	63204	+	ACBLMG_00335		hypothetical protein	
VFMEEMAD	cds	63201	63737	+	ACBLMG_00340		hypothetical protein	
VFMEEMAD	cds	63727	63951	+	ACBLMG_00345		hypothetical protein	
VFMEEMAD	cds	63929	64726	+	ACBLMG_00350		50S ribosomal protein L2	SO:0001217, UniRef:UniRef50_Q32B34
VFMEEMAD	cds	64726	65004	+	ACBLMG_00355		hypothetical protein	PFAM:PF00203.24
VFMEEMAD	cds	64970	65308	+	ACBLMG_00360		hypothetical protein	PFAM:PF00237.22
VFMEEMAD	cds	65292	65909	+	ACBLMG_00365		hypothetical protein	PFAM:PF00189.23, PFAM:PF07650.20
VFMEEMAD	cds	65896	66297	+	ACBLMG_00370		50S ribosomal protein L16	SO:0001217, UniRef:UniRef50_Q7M8E1
VFMEEMAD	cds	66278	66520	+	ACBLMG_00375		hypothetical protein	PFAM:PF00366.23
VFMEEMAD	cds	66495	66860	+	ACBLMG_00380		50S ribosomal protein L14	SO:0001217, UniRef:UniRef50_E0TJ38
VFMEEMAD	cds	66857	67384	+	ACBLMG_00385		hypothetical protein	PFAM:PF00281.22, PFAM:PF00673.24
VFMEEMAD	cds	67377	67676	+	ACBLMG_00390		30S ribosomal protein S14	SO:0001217, UniRef:UniRef50_B2J6L1
VFMEEMAD	cds	67676	68029	+	ACBLMG_00395		hypothetical protein	
VFMEEMAD	cds	68005	68535	+	ACBLMG_00400		hypothetical protein	
VFMEEMAD	cds	68522	68806	+	ACBLMG_00405		hypothetical protein	
VFMEEMAD	cds	68775	69179	+	ACBLMG_00410		hypothetical protein	PFAM:PF00333.23
VFMEEMAD	cds	69176	69424	+	ACBLMG_00415		hypothetical protein	
VFMEEMAD	cds	69417	69629	+	ACBLMG_00420		Translation initiation factor IF-1	SO:0001217, UniRef:UniRef50_D5V3V7
VFMEEMAD	cds	69626	69739	+	ACBLMG_00425		hypothetical protein	PFAM:PF00444.21
VFMEEMAD	cds	69696	70082	+	ACBLMG_00430		hypothetical protein	
VFMEEMAD	cds	70079	70423	+	ACBLMG_00435		30S ribosomal protein S11	SO:0001217, UniRef:UniRef50_A6LPT8
VFMEEMAD	cds	70420	70926	+	ACBLMG_00440		hypothetical protein	PFAM:PF01479.28
VFMEEMAD	cds	70923	71558	+	ACBLMG_00445		hypothetical protein	
VFMEEMAD	cds	71524	71775	+	ACBLMG_00450		hypothetical protein	
VFMEEMAD	cds	71758	72876	-	ACBLMG_00455		hypothetical protein	PFAM:PF00278.25, PFAM:PF02784.19
VFMEEMAD	cds	72935	73336	+	ACBLMG_00460		hypothetical protein	
