#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1274	1684	+	VFPYRLAN_00010	15.3	9.9	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
contig_1	1677	2309	+	VFPYRLAN_00015	25.1	9.9		
contig_1	2302	2757	+	VFPYRLAN_00020	18.6	10.4		
contig_1	2744	3094	+	VFPYRLAN_00025	13.4	9.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	3096	6872	+	VFPYRLAN_00030	147.1	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6869	10714	+	VFPYRLAN_00035	148.4	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
contig_1	10656	11048	+	VFPYRLAN_00040	14.9	11.0		
contig_1	13561	13869	+	VFPYRLAN_00055	12.3	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14373	14777	+	VFPYRLAN_00065	16.0	9.8		
contig_1	14774	15670	+	VFPYRLAN_00070	36.8	10.2		
contig_1	15667	16347	-	VFPYRLAN_00075	27.1	10.1	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	16316	17431	-	VFPYRLAN_00080	44.7	10.4	PF01479.28|S4	PFAM:PF01479.28
contig_1	17817	18110	-	VFPYRLAN_00090	11.7	10.2		
contig_1	18107	18910	-	VFPYRLAN_00095	31.7	10.2		
contig_1	18918	19475	-	VFPYRLAN_00100	22.3	10.2		
contig_1	19479	20813	-	VFPYRLAN_00105	52.1	10.0	PF00009.30|GTP_EFTU	PFAM:PF00009.30
contig_1	20917	21768	+	VFPYRLAN_00115	33.2	9.9	PF13793.9|Pribosyltran_N, PF14572.9|Pribosyl_synth	PFAM:PF13793.9, PFAM:PF14572.9
contig_1	21761	22273	+	VFPYRLAN_00120	20.9	10.3		
contig_1	22275	22823	-	VFPYRLAN_00125	21.5	10.0	PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF13847.9
contig_1	23125	24243	+	VFPYRLAN_00130	42.9	9.6	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5	PFAM:PF00155.24, PFAM:PF00266.22
contig_1	24244	25545	-	VFPYRLAN_00135	51.2	9.8	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	25499	26215	-	VFPYRLAN_00140	27.9	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	26220	27074	-	VFPYRLAN_00145	33.0	10.3	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	27166	28002	+	VFPYRLAN_00150	33.0	10.6		
contig_1	27983	28723	+	VFPYRLAN_00155	28.2	9.8		
contig_1	28720	29109	+	VFPYRLAN_00160	16.0	10.3		
contig_1	29399	31750	-	VFPYRLAN_00170	94.6	10.2	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	31722	31898	-	VFPYRLAN_00175	7.3	10.3		
contig_1	32033	34204	+	VFPYRLAN_00180	86.0	10.2	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	34301	34498	+	VFPYRLAN_00185	8.1	10.5		
contig_1	34594	35139	+	VFPYRLAN_00190	22.4	10.3		
contig_1	35136	36272	+	VFPYRLAN_00195	44.2	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	36264	37121	-	VFPYRLAN_00200	33.6	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	37060	37824	-	VFPYRLAN_00205	30.6	10.2	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	37818	38807	-	VFPYRLAN_00210	38.3	10.3		
contig_1	39363	40577	-	VFPYRLAN_00220	48.3	10.3		
contig_1	41955	42920	-	VFPYRLAN_00230	38.1	10.5		
contig_1	43194	44588	-	VFPYRLAN_00235	56.2	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	44566	45537	-	VFPYRLAN_00240	39.1	10.2		
contig_1	50460	51206	+	VFPYRLAN_00265	29.7	10.3	PF02219.20|MTHFR	PFAM:PF02219.20
contig_1	51178	52209	+	VFPYRLAN_00270	40.1	10.2	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	52196	52834	+	VFPYRLAN_00275	24.9	10.2	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	53954	54646	+	VFPYRLAN_00285	27.6	10.3	PF00290.23|Trp_syntA	PFAM:PF00290.23
contig_1	54612	54875	+	VFPYRLAN_00290	10.3	10.6		
