gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFSTEMIN	0	1188	f	0	1	Prodigal	002006
2	VFSTEMIN	1195	1585	f	0	1	Prodigal	002006
3	VFSTEMIN	1581	2139	f	0	1	Prodigal	002006
4	VFSTEMIN	2131	2572	f	0	1	Prodigal	002006
5	VFSTEMIN	2549	2909	f	0	1	Prodigal	002006
6	VFSTEMIN	2908	6265	f	0	1	Prodigal	002006
7	VFSTEMIN	6257	10031	f	0	1	Prodigal	002006
8	VFSTEMIN	10008	10374	f	0	1	Prodigal	002006
9	VFSTEMIN	10370	10835	f	0	1	Prodigal	002006
10	VFSTEMIN	10841	12908	f	0	1	Prodigal	002006
11	VFSTEMIN	12904	13204	f	0	1	Prodigal	002006
12	VFSTEMIN	13502	13838	f	0	1	Prodigal	002006
13	VFSTEMIN	13875	13989	f	0	1	Prodigal	002006
14	VFSTEMIN	13931	14387	r	0	1	Prodigal	002006
15	VFSTEMIN	14392	14689	r	0	1	Prodigal	002006
16	VFSTEMIN	14756	15074	r	0	1	Prodigal	002006
17	VFSTEMIN	15030	15861	r	0	1	Prodigal	002006
18	VFSTEMIN	15812	16427	r	0	1	Prodigal	002006
19	VFSTEMIN	16430	17762	r	0	1	Prodigal	002006
20	VFSTEMIN	17803	18652	f	0	1	Prodigal	002006
21	VFSTEMIN	18635	19082	f	0	1	Prodigal	002006
22	VFSTEMIN	19065	19575	r	0	1	Prodigal	002006
23	VFSTEMIN	19571	20303	r	0	1	Prodigal	002006
24	VFSTEMIN	20278	21106	r	0	1	Prodigal	002006
25	VFSTEMIN	21143	22064	f	0	1	Prodigal	002006
26	VFSTEMIN	22050	23169	f	0	1	Prodigal	002006
27	VFSTEMIN	23208	25227	r	0	1	Prodigal	002006
28	VFSTEMIN	25223	25421	r	0	1	Prodigal	002006
29	VFSTEMIN	25540	27736	f	0	1	Prodigal	002006
30	VFSTEMIN	27477	27961	r	1	2	Aragorn	001002
31	VFSTEMIN	27742	28660	f	0	1	Prodigal	002006
32	VFSTEMIN	28656	29754	f	0	1	Prodigal	002006
33	VFSTEMIN	29727	30426	r	0	1	Prodigal	002006
34	VFSTEMIN	30484	31864	r	0	1	Prodigal	002006
35	VFSTEMIN	31942	32821	r	0	1	Prodigal	002006
36	VFSTEMIN	32840	34001	f	0	1	Prodigal	002006
37	VFSTEMIN	34174	36964	f	0	1	Prodigal	002006
38	VFSTEMIN	36941	37085	f	0	1	Prodigal	002006
39	VFSTEMIN	37091	37805	f	0	1	Prodigal	002006
40	VFSTEMIN	37801	38797	f	0	1	Prodigal	002006
41	VFSTEMIN	38798	39149	f	0	1	Prodigal	002006
42	VFSTEMIN	39423	39987	f	0	1	Prodigal	002006
43	VFSTEMIN	39994	40294	r	0	1	Prodigal	002006
44	VFSTEMIN	40361	41585	f	0	1	Prodigal	002006
45	VFSTEMIN	41544	44688	f	0	1	Prodigal	002006
46	VFSTEMIN	44644	45163	f	0	1	Prodigal	002006
47	VFSTEMIN	45134	45653	f	0	1	Prodigal	002006
48	VFSTEMIN	45649	46786	f	0	1	Prodigal	002006
49	VFSTEMIN	46815	47298	f	0	1	Prodigal	002006
50	VFSTEMIN	47281	48226	f	0	1	Prodigal	002006
51	VFSTEMIN	48260	48881	f	0	1	Prodigal	002006
52	VFSTEMIN	48853	50059	f	0	1	Prodigal	002006
53	VFSTEMIN	50112	51015	f	0	1	Prodigal	002006
54	VFSTEMIN	50995	51547	f	0	1	Prodigal	002006
55	VFSTEMIN	51546	52131	f	0	1	Prodigal	002006
56	VFSTEMIN	52118	52817	f	0	1	Prodigal	002006
