#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1630	2217	+	VFDICMUL_00015	22.3	10.6		SO:0001217, UniParc:UPI001AF71992, UniRef:UniRef100_UPI001AF71992, UniRef:UniRef50_UPI001AF2C96E, UniRef:UniRef90_UPI001AF71992
contig_1	3006	6710	+	VFDICMUL_00030	142.4	10.1	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	EC:2.7.7.6, KEGG:K03043, PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19, SO:0001217, UniParc:UPI001AF071F9, UniRef:UniRef100_UPI001AF071F9, UniRef:UniRef50_UPI001AFBE6C7, UniRef:UniRef90_UPI001AF071F9
contig_1	6707	10474	+	VFDICMUL_00035	144.4	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	EC:2.7.7.6, KEGG:K03046, PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20, SO:0001217, UniParc:UPI001AF801A6, UniRef:UniRef100_UPI001AF801A6, UniRef:UniRef50_UPI001AF801A6, UniRef:UniRef90_UPI001AF801A6
contig_1	14127	14450	+	VFDICMUL_00065	12.5	10.1		SO:0001217, UniParc:UPI001AFBCCE7, UniRef:UniRef100_UPI001AFBCCE7, UniRef:UniRef50_UPI001AFBCCE7, UniRef:UniRef90_UPI001AFBCCE7
contig_1	14434	15144	-	VFDICMUL_00070	27.9	9.0	PF00398.23|RrnaAD	PFAM:PF00398.23, SO:0001217, UniParc:UPI001AF48C1C, UniRef:UniRef100_UPI001AF48C1C, UniRef:UniRef50_UPI001AF67FA6, UniRef:UniRef90_UPI001AF48C1C
contig_1	16887	17711	-	VFDICMUL_00090	31.9	9.3		EC:5.1.1.7, KEGG:K01778, SO:0001217, UniRef:UniRef50_UPI001AF8AD7C, UniRef:UniRef90_UPI001AF33057
contig_1	17711	18262	-	VFDICMUL_00095	21.1	9.4		SO:0001217, UniParc:UPI001AF04057, UniRef:UniRef100_UPI001AF04057, UniRef:UniRef50_UPI001AF04057, UniRef:UniRef90_UPI001AF04057
contig_1	19652	20152	+	VFDICMUL_00105	19.8	10.4		SO:0001217, UniParc:UPI001AF0AB03, UniRef:UniRef100_UPI001AF0AB03, UniRef:UniRef50_UPI001AF0AB03, UniRef:UniRef90_UPI001AF0AB03
contig_1	22122	23396	-	VFDICMUL_00120	49.0	9.2	PF00152.23|tRNA-synt_2	PFAM:PF00152.23, SO:0001217, UniParc:UPI001AF6C1F0, UniRef:UniRef100_UPI001AF6C1F0, UniRef:UniRef50_UPI001AFB850A, UniRef:UniRef90_UPI001AF6C1F0
contig_1	29539	29688	-	VFDICMUL_00150	5.8	10.0		
contig_1	34723	35463	-	VFDICMUL_00175	29.1	9.4	PF00218.24|IGPS	PFAM:PF00218.24, SO:0001217, UniParc:UPI001AF5832D, UniRef:UniRef100_UPI001AF5832D, UniRef:UniRef50_UPI001AF63F2E, UniRef:UniRef90_UPI001AF5832D
contig_1	40830	42131	-	VFDICMUL_00205	51.1	9.3		SO:0001217, UniRef:UniRef50_UPI001AF30165, UniRef:UniRef90_UPI001AF30165
contig_1	52570	52833	+	VFDICMUL_00265	10.0	10.6		SO:0001217, UniParc:UPI001AF2ECBC, UniRef:UniRef100_UPI001AF2ECBC, UniRef:UniRef50_UPI001AF3C993, UniRef:UniRef90_UPI001AF2ECBC
contig_1	52814	53041	+	VFDICMUL_00270	8.8	10.7		SO:0001217, UniParc:UPI001AFBD268, UniRef:UniRef100_UPI001AFBD268, UniRef:UniRef50_UPI001AFBD268, UniRef:UniRef90_UPI001AFBD268
contig_1	53133	53393	+	VFDICMUL_00280	10.2	10.2		SO:0001217, UniParc:UPI001AFA7412, UniRef:UniRef100_UPI001AFA7412, UniRef:UniRef50_UPI001AFA7412, UniRef:UniRef90_UPI001AFA7412
contig_1	53416	53622	+	VFDICMUL_00285	7.9	10.1		SO:0001217, UniParc:UPI001AF25B51, UniRef:UniRef100_UPI001AF25B51, UniRef:UniRef50_UPI001AF25B51, UniRef:UniRef90_UPI001AF25B51
contig_1	60880	61473	+	VFDICMUL_00325	22.9	10.0		SO:0001217, UniParc:UPI001AFAC633, UniRef:UniRef100_UPI001AFAC633, UniRef:UniRef50_UPI001AFAC633, UniRef:UniRef90_UPI001AFAC633
contig_1	70029	70460	-	VFDICMUL_00410	16.5	10.3		SO:0001217, UniParc:UPI001AF27049, UniRef:UniRef100_UPI001AF27049, UniRef:UniRef50_UPI001AF26182, UniRef:UniRef90_UPI001AF27049
contig_1	72063	72455	+	VFDICMUL_00435	15.4	10.9		SO:0001217, UniParc:UPI001AF506EC, UniRef:UniRef100_UPI001AF506EC, UniRef:UniRef50_UPI001AF506EC, UniRef:UniRef90_UPI001AF506EC
contig_1	72390	72908	-	VFDICMUL_00440	20.1	9.8		SO:0001217, UniParc:UPI001AFAF962, UniRef:UniRef100_UPI001AFAF962, UniRef:UniRef50_UPI001AFAF962, UniRef:UniRef90_UPI001AFAF962
contig_1	72908	73768	-	VFDICMUL_00445	34.4	10.0		SO:0001217, UniRef:UniRef50_UPI001AF90583, UniRef:UniRef90_UPI001AF2CFF9
contig_1	76922	78307	-	VFDICMUL_00465	53.7	9.4	PF14821.9|Thr_synth_N	PFAM:PF14821.9, SO:0001217, UniParc:UPI001AF56F41, UniRef:UniRef100_UPI001AF56F41, UniRef:UniRef50_UPI001AF56F41, UniRef:UniRef90_UPI001AF56F41
contig_1	78304	79497	-	VFDICMUL_00470	45.5	9.4	PF00742.22|Homoserine_dh	PFAM:PF00742.22, SO:0001217, UniParc:UPI001AF44823, UniRef:UniRef100_UPI001AF44823, UniRef:UniRef50_UPI001AF8981A, UniRef:UniRef90_UPI001AF44823
contig_1	81680	82888	-	VFDICMUL_00495	46.2	9.5	PF00749.24|tRNA-synt_1c, PF00749.24|tRNA-synt_1c	PFAM:PF00749.24, PFAM:PF00749.24, SO:0001217, UniParc:UPI001AF2D1F5, UniRef:UniRef100_UPI001AF2D1F5, UniRef:UniRef50_UPI001AF406BB, UniRef:UniRef90_UPI001AF2D1F5
contig_1	86081	86347	+	VFDICMUL_00510	10.5	10.1	PF00166.24|Cpn10	PFAM:PF00166.24, SO:0001217, UniParc:UPI001AFCC96E, UniRef:UniRef100_UPI001AFCC96E, UniRef:UniRef50_UPI001AF8B9A3, UniRef:UniRef90_UPI001AFCC96E
contig_1	89230	90273	+	VFDICMUL_00525	40.4	10.4		SO:0001217, UniParc:UPI001AF9B875, UniRef:UniRef100_UPI001AF9B875, UniRef:UniRef50_UPI001AFC6E9A, UniRef:UniRef90_UPI001AF9B875
contig_1	90265	91248	-	VFDICMUL_00530	37.9	7.9		SO:0001217, UniRef:UniRef50_UPI001AF86150, UniRef:UniRef90_UPI001AF07710
contig_1	96319	97314	-	VFDICMUL_00560	38.3	9.2	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19, SO:0001217, UniParc:UPI001AF24B29, UniRef:UniRef100_UPI001AF24B29, UniRef:UniRef50_UPI001AF0F79E, UniRef:UniRef90_UPI001AF24B29
contig_1	99462	100097	-	VFDICMUL_00570	24.1	9.8	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17, SO:0001217, UniParc:UPI001AF19DC7, UniRef:UniRef100_UPI001AF19DC7, UniRef:UniRef50_UPI001AF19DC7, UniRef:UniRef90_UPI001AF19DC7
contig_1	100090	101304	-	VFDICMUL_00575	43.8	8.6	PF00390.22|malic, PF03949.18|Malic_M	PFAM:PF00390.22, PFAM:PF03949.18, SO:0001217, UniParc:UPI001AFC496B, UniRef:UniRef100_UPI001AFC496B, UniRef:UniRef50_A0A4Q3UPH9, UniRef:UniRef90_UPI001AFC496B
contig_1	101276	101920	-	VFDICMUL_00580	24.4	8.7		SO:0001217, UniRef:UniRef50_UPI001AF7BFB8, UniRef:UniRef90_UPI001AF7BFB8
contig_1	102652	102960	-	VFDICMUL_00595	11.9	10.3		SO:0001217, UniParc:UPI001AF8B65F, UniRef:UniRef100_UPI001AF8B65F, UniRef:UniRef50_UPI001AF8B65F, UniRef:UniRef90_UPI001AF8B65F
contig_1	102951	103745	-	VFDICMUL_00600	30.4	8.9		SO:0001217, UniParc:UPI001AF379E6, UniRef:UniRef100_UPI001AF379E6, UniRef:UniRef50_UPI001AF379E6, UniRef:UniRef90_UPI001AF379E6
contig_1	110812	111060	+	VFDICMUL_00640	9.5	10.7		SO:0001217, UniParc:UPI001AF59572, UniRef:UniRef100_UPI001AF59572, UniRef:UniRef50_UPI001AF59572, UniRef:UniRef90_UPI001AF59572
contig_1	112068	112370	+	VFDICMUL_00655	11.9	10.4	PF00237.22|Ribosomal_L22	PFAM:PF00237.22, SO:0001217, UniParc:UPI001AF10387, UniRef:UniRef100_UPI001AF10387, UniRef:UniRef50_UPI001AF10387, UniRef:UniRef90_UPI001AF10387
contig_1	112374	112964	+	VFDICMUL_00660	22.6	10.2	PF00189.23|Ribosomal_S3_C	PFAM:PF00189.23, SO:0001217, UniParc:UPI001AF8A731, UniRef:UniRef100_UPI001AF8A731, UniRef:UniRef50_UPI001AF8A731, UniRef:UniRef90_UPI001AF8A731
contig_1	115102	115629	+	VFDICMUL_00695	20.2	10.7		SO:0001217, UniParc:UPI001AFB1156, UniRef:UniRef100_UPI001AFB1156, UniRef:UniRef50_UPI001AFB1156, UniRef:UniRef90_UPI001AFB1156
contig_1	115921	116337	+	VFDICMUL_00705	16.0	10.5	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18, SO:0001217, UniParc:UPI001AF4378F, UniRef:UniRef100_UPI001AF4378F, UniRef:UniRef50_UPI001AF63178, UniRef:UniRef90_UPI001AF4378F
contig_1	118209	119072	+	VFDICMUL_00740	33.2	10.2		SO:0001217, UniParc:UPI001AF7D663, UniRef:UniRef100_UPI001AF7D663, UniRef:UniRef50_UPI001AF7D663, UniRef:UniRef90_UPI001AF7D663
contig_1	119069	119305	+	VFDICMUL_00745	9.4	10.9		SO:0001217, UniParc:UPI001AF6C6D6, UniRef:UniRef100_UPI001AF6C6D6, UniRef:UniRef50_UPI001AF6C6D6, UniRef:UniRef90_UPI001AF6C6D6
contig_1	119302	120336	-	VFDICMUL_00750	38.6	9.1	PF00278.25|Orn_DAP_Arg_deC, PF02784.19|Orn_Arg_deC_N	PFAM:PF00278.25, PFAM:PF02784.19, SO:0001217, UniRef:UniRef50_UPI001AFC78DC, UniRef:UniRef90_UPI001AFC78DC
contig_1	120407	120814	+	VFDICMUL_00755	15.7	9.5	PF01202.25|SKI	PFAM:PF01202.25, SO:0001217, UniParc:UPI001AF79061, UniRef:UniRef100_UPI001AF79061, UniRef:UniRef50_UPI001AF79061, UniRef:UniRef90_UPI001AF79061
