gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFPYRLAN	0	1188	f	0	1	Prodigal	2.6
2	VFPYRLAN	1186	1257	f	1	2	Prodigal	2.6
3	VFPYRLAN	1273	1684	f	0	1	Prodigal	2.6
4	VFPYRLAN	1676	2309	f	0	1	Prodigal	2.6
5	VFPYRLAN	2301	2757	f	0	1	Prodigal	2.6
6	VFPYRLAN	2743	3094	f	0	1	Prodigal	2.6
7	VFPYRLAN	3095	6872	f	0	1	Prodigal	2.6
8	VFPYRLAN	6868	10714	f	0	1	Prodigal	2.6
9	VFPYRLAN	10655	11051	f	0	1	Prodigal	2.6
10	VFPYRLAN	11022	11493	f	0	1	Prodigal	2.6
11	VFPYRLAN	11494	13564	f	0	1	Prodigal	2.6
12	VFPYRLAN	13560	13869	f	0	1	Prodigal	2.6
13	VFPYRLAN	13865	14300	f	0	1	Prodigal	2.6
14	VFPYRLAN	14290	14363	f	1	2	Prodigal	2.6
15	VFPYRLAN	14372	14777	f	0	1	Prodigal	2.6
16	VFPYRLAN	14773	15670	f	0	1	Prodigal	2.6
17	VFPYRLAN	15666	16347	r	0	1	Prodigal	2.6
18	VFPYRLAN	16315	17431	r	0	1	Prodigal	2.6
19	VFPYRLAN	17427	17820	r	0	1	Prodigal	2.6
20	VFPYRLAN	17813	18110	r	0	1	Prodigal	2.6
21	VFPYRLAN	18103	18910	r	0	1	Prodigal	2.6
22	VFPYRLAN	18914	19475	r	0	1	Prodigal	2.6
23	VFPYRLAN	19478	20813	r	0	1	Prodigal	2.6
24	VFPYRLAN	20837	20909	f	0	2	Prodigal	2.6
25	VFPYRLAN	20916	21768	f	0	1	Prodigal	2.6
26	VFPYRLAN	21760	22273	f	0	1	Prodigal	2.6
27	VFPYRLAN	22274	22823	r	0	1	Prodigal	2.6
28	VFPYRLAN	23124	24243	f	0	1	Prodigal	2.6
29	VFPYRLAN	24243	25545	r	0	1	Prodigal	2.6
30	VFPYRLAN	25498	26215	r	0	1	Prodigal	2.6
31	VFPYRLAN	26219	27074	r	0	1	Prodigal	2.6
32	VFPYRLAN	27165	28002	f	0	1	Prodigal	2.6
33	VFPYRLAN	27982	28726	f	0	1	Prodigal	2.6
34	VFPYRLAN	28719	29109	f	0	1	Prodigal	2.6
35	VFPYRLAN	29125	29208	f	1	2	Prodigal	2.6
36	VFPYRLAN	29398	31750	r	0	1	Prodigal	2.6
37	VFPYRLAN	29398	31660	r	0	1	Prodigal	2.6
38	VFPYRLAN	31721	31898	r	0	1	Prodigal	2.6
39	VFPYRLAN	32050	34204	f	0	1	Prodigal	2.6
40	VFPYRLAN	34593	35139	f	0	1	Prodigal	2.6
41	VFPYRLAN	35135	36272	f	0	1	Prodigal	2.6
42	VFPYRLAN	36263	37121	r	0	1	Prodigal	2.6
43	VFPYRLAN	37059	37821	r	0	1	Prodigal	2.6
44	VFPYRLAN	37817	38807	r	0	1	Prodigal	2.6
45	VFPYRLAN	38745	39366	r	0	1	Prodigal	2.6
46	VFPYRLAN	39362	40577	r	0	1	Prodigal	2.6
47	VFPYRLAN	40573	41953	r	0	1	Prodigal	2.6
48	VFPYRLAN	41954	42920	r	0	1	Prodigal	2.6
49	VFPYRLAN	43193	44588	r	0	1	Prodigal	2.6
50	VFPYRLAN	44565	45537	r	0	1	Prodigal	2.6
51	VFPYRLAN	45548	46820	f	0	1	Prodigal	2.6
52	VFPYRLAN	47004	50007	f	0	1	Prodigal	2.6
53	VFPYRLAN	49996	50164	f	0	1	Prodigal	2.6
54	VFPYRLAN	50151	50233	f	1	2	Prodigal	2.6
