gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFISSKAZ	1175	1246	f	1	2	Aragorn	001002
2	VFISSKAZ	1248	1659	f	0	1	Prodigal	002006
3	VFISSKAZ	1639	2227	f	0	1	Prodigal	002006
4	VFISSKAZ	2223	2643	f	0	1	Prodigal	002006
5	VFISSKAZ	2620	2962	f	0	1	Prodigal	002006
6	VFISSKAZ	2954	6671	f	0	1	Prodigal	002006
7	VFISSKAZ	6667	10537	f	0	1	Prodigal	002006
8	VFISSKAZ	10538	10916	f	0	1	Prodigal	002006
9	VFISSKAZ	10881	11370	f	0	1	Prodigal	002006
10	VFISSKAZ	11369	13397	f	0	1	Prodigal	002006
11	VFISSKAZ	13389	13683	f	0	1	Prodigal	002006
12	VFISSKAZ	14069	14142	f	1	2	Aragorn	001002
13	VFISSKAZ	14150	14558	f	0	1	Prodigal	002006
14	VFISSKAZ	14506	15205	r	0	1	Prodigal	002006
15	VFISSKAZ	15185	16292	r	0	1	Prodigal	002006
16	VFISSKAZ	16288	16678	r	0	1	Prodigal	002006
17	VFISSKAZ	16674	16977	r	0	1	Prodigal	002006
18	VFISSKAZ	16973	17735	r	0	1	Prodigal	002006
19	VFISSKAZ	17731	18376	r	0	1	Prodigal	002006
20	VFISSKAZ	18389	18463	f	1	2	Aragorn	001002
21	VFISSKAZ	18473	19310	f	0	1	Prodigal	002006
22	VFISSKAZ	19306	19540	f	0	1	Prodigal	002006
23	VFISSKAZ	19536	20079	r	0	1	Prodigal	002006
24	VFISSKAZ	20338	21451	f	0	1	Prodigal	002006
25	VFISSKAZ	21438	22107	r	0	1	Prodigal	002006
26	VFISSKAZ	22103	22964	r	0	1	Prodigal	002006
27	VFISSKAZ	25012	25098	f	1	2	Aragorn	001002
28	VFISSKAZ	25235	26294	r	0	1	Prodigal	002006
29	VFISSKAZ	26635	27493	r	0	1	Prodigal	002006
30	VFISSKAZ	27631	29821	f	0	1	Prodigal	002006
31	VFISSKAZ	30025	30715	f	0	1	Prodigal	002006
32	VFISSKAZ	30711	31872	f	0	1	Prodigal	002006
33	VFISSKAZ	31866	32706	r	0	1	Prodigal	002006
34	VFISSKAZ	32671	33415	r	0	1	Prodigal	002006
35	VFISSKAZ	33386	34292	r	0	1	Prodigal	002006
36	VFISSKAZ	34266	34851	r	0	1	Prodigal	002006
37	VFISSKAZ	34847	36080	r	0	1	Prodigal	002006
38	VFISSKAZ	36061	37438	r	0	1	Prodigal	002006
39	VFISSKAZ	37639	38905	r	0	1	Prodigal	002006
40	VFISSKAZ	38870	39830	r	0	1	Prodigal	002006
41	VFISSKAZ	39870	41085	f	0	1	Prodigal	002006
