gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	tufA	Elongation factor Tu	0
2	Prokka:Prodigal	rplK	50S ribosomal protein L11	0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal	rplL	50S ribosomal protein L7/L12	0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal	rpsJ	30S ribosomal protein S10	0
12	Prokka:Prodigal	def	Peptide deformylase	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
15	Prokka:Prodigal			0
16	Prokka:Prodigal	dapF	Diaminopimelate epimerase	0
17	Prokka:Prodigal	rpiA	Ribose-5-phosphate isomerase A	0
18	Prokka:Prodigal	prs	Ribose-phosphate pyrophosphokinase	0
19	Prokka:Prodigal			0
20	Prokka:Prodigal	rsmD	Ribosomal RNA small subunit methyltransferase D	0
21	Prokka:Prodigal	iscS	Cysteine desulfurase IscS	0
22	Prokka:Prodigal	lysS	Lysine--tRNA ligase	0
23	Prokka:Prodigal	prfB	Peptide chain release factor RF2	0
24	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
25	Prokka:Prodigal	tilS	tRNA(Ile)-lysidine synthase	0
26	Prokka:Prodigal	lysC	Aspartate kinase Ask_LysC	0
27	Prokka:Prodigal			0
28	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
29	Prokka:Prodigal			0
30	Prokka:Prodigal	metC	Cystathionine beta-lyase	0
31	Prokka:Prodigal	prfA	Peptide chain release factor 1	0
32	Prokka:Prodigal	argH	Argininosuccinate lyase	0
33	Prokka:Prodigal	thrB	Homoserine kinase	0
34	Prokka:Prodigal			0
35	Prokka:Aragorn		tRNA-Met(cat)	0
36	Prokka:Prodigal			0
37	Prokka:Prodigal			0
38	Prokka:Prodigal	asd	Aspartate-semialdehyde dehydrogenase	0
39	Prokka:Prodigal			0
40	Prokka:Aragorn		tRNA-Asn(gtt)	0
41	Prokka:Aragorn		tRNA-Cys(gca)	0
42	Prokka:Prodigal	dnaQ	DNA polymerase III subunit epsilon	0
43	Prokka:Prodigal	carA	Carbamoyl-phosphate synthase small chain	0
44	Prokka:Prodigal	carB	Carbamoyl-phosphate synthase large chain	0
45	Prokka:Prodigal	clpP	ATP-dependent Clp protease proteolytic subunit	0
46	Prokka:Prodigal	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	0
47	Prokka:Prodigal	hisG	ATP phosphoribosyltransferase	0
48	Prokka:Prodigal	hisD	Histidinol dehydrogenase	0
49	Prokka:Prodigal	hisC2	Histidinol-phosphate aminotransferase 2	0
50	Prokka:Prodigal	hisB	Imidazoleglycerol-phosphate dehydratase	0
51	Prokka:Prodigal	hisH	Imidazole glycerol phosphate synthase subunit HisH	0
52	Prokka:Prodigal	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	0
53	Prokka:Prodigal	hisF	Imidazole glycerol phosphate synthase subunit HisF	0
54	Prokka:Prodigal	hisI	Phosphoribosyl-AMP cyclohydrolase	0
55	Prokka:Prodigal	hisE	Phosphoribosyl-ATP pyrophosphatase	0
56	Prokka:Aragorn		tRNA-His(gtg)	0
57	Prokka:Aragorn		tRNA-Lys(ttt)	0
58	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
59	Prokka:Prodigal	aroC	Chorismate synthase	0
60	Prokka:Aragorn		tRNA-Arg(tct)	0
61	Prokka:Aragorn		tRNA-Met(cat)	0
62	Prokka:Aragorn		tRNA-Pro(tgg)	0
63	Prokka:Prodigal			0
64	Prokka:Prodigal			0
65	Prokka:Prodigal			0
66	Prokka:Prodigal	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0
67	Prokka:Prodigal	dapE	Succinyl-diaminopimelate desuccinylase	0
68	Prokka:Prodigal	thrC	Threonine synthase	0
69	Prokka:Prodigal			0
70	Prokka:Prodigal	radA	DNA repair protein RadA	0
71	Prokka:Prodigal	rpsR	30S ribosomal protein S18	0
72	Prokka:Prodigal			0
73	Prokka:Aragorn		tRNA-Asp(gtc)	0
74	Prokka:Aragorn		tRNA-Glu(ttc)	0
75	Prokka:Prodigal	mnmE	tRNA modification GTPase MnmE	0
76	Prokka:Prodigal	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	0
77	Prokka:Prodigal			0
78	Prokka:Prodigal	groL	60 kDa chaperonin	0
79	Prokka:Prodigal	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	0
80	Prokka:Prodigal			0
81	Prokka:Prodigal			0
82	Prokka:Prodigal	rpmH	50S ribosomal protein L34	0
83	Prokka:Prodigal			0
84	Prokka:Prodigal	dnaJ	Chaperone protein DnaJ	0
85	Prokka:Prodigal	dnaK	Chaperone protein DnaK	0
86	Prokka:Prodigal	grpE	Protein GrpE	0
87	Prokka:Prodigal	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	0
88	Prokka:Prodigal	mnmA	tRNA-specific 2-thiouridylase MnmA	0
89	Prokka:Prodigal	dapB	4-hydroxy-tetrahydrodipicolinate reductase	0
90	Prokka:Prodigal	aroE	Shikimate dehydrogenase (NADP(+))	0
91	Prokka:Prodigal	aroQ1	3-dehydroquinate dehydratase 1	0
92	Prokka:Prodigal	rpmA	50S ribosomal protein L27	0
93	Prokka:Prodigal			0
94	Prokka:Aragorn		tRNA-Ala(tgc)	0
95	Prokka:Prodigal	argG	Argininosuccinate synthase	0
96	Prokka:Prodigal			0
97	Prokka:barrnap		23S ribosomal RNA	0
98	Prokka:Aragorn		tRNA-Ile(gat)	0
99	Prokka:barrnap		16S ribosomal RNA	0
100	Prokka:Prodigal			0
101	Prokka:Prodigal	rplD	50S ribosomal protein L4	0
102	Prokka:Prodigal			0
103	Prokka:Prodigal	rplB	50S ribosomal protein L2	0
104	Prokka:Prodigal	rpsS	30S ribosomal protein S19	0
105	Prokka:Prodigal			0
106	Prokka:Prodigal	rpsC	30S ribosomal protein S3	0
107	Prokka:Prodigal	rplP	50S ribosomal protein L16	0
108	Prokka:Prodigal			0
109	Prokka:Prodigal			0
110	Prokka:Prodigal	rplN	50S ribosomal protein L14	0
111	Prokka:Prodigal	rplE	50S ribosomal protein L5	0
112	Prokka:Prodigal	rpsN	30S ribosomal protein S14	0
113	Prokka:Prodigal			0
114	Prokka:Prodigal			0
115	Prokka:Prodigal			0
116	Prokka:Prodigal	rpsE	30S ribosomal protein S5	0
117	Prokka:Prodigal			0
118	Prokka:Prodigal	infA	Translation initiation factor IF-1	0
119	Prokka:Prodigal	rpmJ	50S ribosomal protein L36	0
120	Prokka:Prodigal	rpsM	30S ribosomal protein S13	0
121	Prokka:Prodigal	rpsK	30S ribosomal protein S11	0
122	Prokka:Prodigal	rpsD	30S ribosomal protein S4	0
123	Prokka:Prodigal	rpoA	DNA-directed RNA polymerase subunit alpha	0
124	Prokka:Prodigal			0
125	Prokka:Prodigal	lysA	Diaminopimelate decarboxylase	0
126	Prokka:Prodigal	aroK	Shikimate kinase	0
127	Prokka:Aragorn		tRNA-Met(cat)	0
128	Prokka:Aragorn		tRNA-Ile(tat)	0
