#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1251	1619	+	VFISSCOL2_00010	13.8	10.3	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
contig_1	1613	2227	+	VFISSCOL2_00015	24.2	9.8		
contig_1	2227	2667	+	VFISSCOL2_00020	17.9	10.1		
contig_1	2645	2986	+	VFISSCOL2_00025	13.1	9.5	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2983	6852	+	VFISSCOL2_00030	152.2	9.8	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
contig_1	6825	10679	+	VFISSCOL2_00035	149.8	9.9	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	13506	13805	+	VFISSCOL2_00055	12.2	10.0	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	13889	14332	+	VFISSCOL2_00065	18.3	9.8		
contig_1	14319	14888	+	VFISSCOL2_00070	22.4	10.0	PF02091.18|tRNA-synt_2e	PFAM:PF02091.18
contig_1	15228	16964	+	VFISSCOL2_00075	71.9	10.2		
contig_1	16917	17624	-	VFISSCOL2_00080	29.1	9.9	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	17602	18759	-	VFISSCOL2_00085	46.1	10.2	PF01479.28|S4	PFAM:PF01479.28
contig_1	18756	19145	-	VFISSCOL2_00090	15.1	10.3		
contig_1	19142	19450	-	VFISSCOL2_00095	12.0	10.6		
contig_1	19443	20228	-	VFISSCOL2_00100	31.7	10.0	PF01678.22|DAP_epimerase	PFAM:PF01678.22
contig_1	20225	20881	-	VFISSCOL2_00105	25.2	10.0		
contig_1	20874	22400	-	VFISSCOL2_00110	60.0	9.9	PF00009.30|GTP_EFTU, PF11987.11|IF-2	PFAM:PF00009.30, PFAM:PF11987.11
contig_1	23350	23862	+	VFISSCOL2_00120	20.7	9.8		
contig_1	23857	24408	-	VFISSCOL2_00125	21.4	10.3	PF05175.17|MTS	PFAM:PF05175.17
contig_1	24681	25814	+	VFISSCOL2_00135	43.9	10.2	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5	PFAM:PF00155.24, PFAM:PF00266.22
contig_1	25811	27157	-	VFISSCOL2_00140	53.8	9.7	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
contig_1	27154	27870	-	VFISSCOL2_00145	27.8	10.1	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	27827	28687	-	VFISSCOL2_00150	33.6	10.1	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	31113	33410	-	VFISSCOL2_00160	93.2	10.0	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	33407	33544	-	VFISSCOL2_00165	5.5	10.3		
contig_1	33526	33720	-	VFISSCOL2_00170	7.7	11.0		
contig_1	34110	34778	+	VFISSCOL2_00175	27.6	10.3		
