#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1249	1659	+	VFISSKAZ_00010	16.0	10.4	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
contig_1	1640	2227	+	VFISSKAZ_00015	23.6	10.0		
contig_1	2224	2643	+	VFISSKAZ_00020	17.4	10.0		
contig_1	2621	2962	+	VFISSKAZ_00025	13.1	9.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2955	6671	+	VFISSKAZ_00030	146.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6668	10537	+	VFISSKAZ_00035	151.7	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
contig_1	10539	10916	+	VFISSKAZ_00040	14.2	10.4		
contig_1	10882	11370	+	VFISSKAZ_00045	19.6	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	13390	13683	+	VFISSKAZ_00055	11.7	10.4	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14151	14558	+	VFISSKAZ_00065	17.1	10.3		
contig_1	14507	15205	-	VFISSKAZ_00070	28.7	10.4	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	15186	16292	-	VFISSKAZ_00075	44.4	10.3		
contig_1	16675	16977	-	VFISSKAZ_00085	12.1	10.6		
contig_1	16974	17735	-	VFISSKAZ_00090	30.4	10.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
contig_1	17732	18376	-	VFISSKAZ_00095	25.9	10.2		
contig_1	18474	19310	+	VFISSKAZ_00105	33.8	10.4	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
contig_1	19307	19540	+	VFISSKAZ_00110	9.6	9.8		
contig_1	19537	20079	-	VFISSKAZ_00115	20.9	10.0	PF01564.20|Spermine_synth, PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF13847.9
contig_1	20339	21451	+	VFISSKAZ_00120	43.9	10.3	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF00282.22|Pyridoxal_deC, PF01212.24|Beta_elim_lyase	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF00282.22, PFAM:PF01212.24
contig_1	21439	22107	-	VFISSKAZ_00125	26.4	10.5	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	22104	22964	-	VFISSKAZ_00130	33.1	10.3	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	25236	26294	-	VFISSKAZ_00140	43.2	9.9	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	26636	27493	-	VFISSKAZ_00145	34.8	10.4		
contig_1	27632	29821	+	VFISSKAZ_00150	88.0	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	30026	30715	+	VFISSKAZ_00155	28.0	10.3		
contig_1	30712	31872	+	VFISSKAZ_00160	45.5	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	31867	32706	-	VFISSKAZ_00165	33.6	10.2	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	32672	33415	-	VFISSKAZ_00170	30.3	10.1	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	33387	34292	-	VFISSKAZ_00175	35.9	10.1		
contig_1	34267	34851	-	VFISSKAZ_00180	23.2	10.2	PF00117.31|GATase	PFAM:PF00117.31
contig_1	34848	36080	-	VFISSKAZ_00185	49.6	10.3		
contig_1	37640	38905	-	VFISSKAZ_00195	51.8	10.3	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	38871	39830	-	VFISSKAZ_00200	39.3	10.2		
