gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFASICLA	1191	1264	f	1	2	Aragorn	001002
2	VFASICLA	1356	1671	f	0	1	Prodigal	002006
3	VFASICLA	1663	2206	f	0	1	Prodigal	002006
4	VFASICLA	2207	2654	f	0	1	Prodigal	002006
5	VFASICLA	2631	2970	f	0	1	Prodigal	002006
6	VFASICLA	2963	6293	f	0	1	Prodigal	002006
7	VFASICLA	6285	10080	f	0	1	Prodigal	002006
8	VFASICLA	10033	10411	f	0	1	Prodigal	002006
9	VFASICLA	10394	10865	f	0	1	Prodigal	002006
10	VFASICLA	10864	12919	f	0	1	Prodigal	002006
11	VFASICLA	12915	13194	f	0	1	Prodigal	002006
12	VFASICLA	13183	13393	r	0	1	Prodigal	002006
13	VFASICLA	13396	13828	f	0	1	Prodigal	002006
14	VFASICLA	13851	13924	f	1	2	Aragorn	001002
15	VFASICLA	14012	14486	r	0	1	Prodigal	002006
16	VFASICLA	14463	15459	r	0	1	Prodigal	002006
17	VFASICLA	15468	15849	r	0	1	Prodigal	002006
18	VFASICLA	15835	16120	r	0	1	Prodigal	002006
19	VFASICLA	16109	16871	r	0	1	Prodigal	002006
20	VFASICLA	16867	17449	r	0	1	Prodigal	002006
21	VFASICLA	17448	18738	r	0	1	Prodigal	002006
22	VFASICLA	18774	18847	f	1	2	Aragorn	001002
23	VFASICLA	19299	19713	f	0	1	Prodigal	002006
24	VFASICLA	19709	20198	f	0	1	Prodigal	002006
25	VFASICLA	20194	20722	r	0	1	Prodigal	002006
26	VFASICLA	20945	22043	f	0	1	Prodigal	002006
27	VFASICLA	22031	22781	r	0	1	Prodigal	002006
28	VFASICLA	22756	23623	r	0	1	Prodigal	002006
29	VFASICLA	23625	24543	f	0	1	Prodigal	002006
30	VFASICLA	25628	25714	f	1	2	Aragorn	001002
31	VFASICLA	27916	27986	r	1	2	Aragorn	001002
32	VFASICLA	27986	30173	f	0	1	Prodigal	002006
33	VFASICLA	30373	31078	f	0	1	Prodigal	002006
34	VFASICLA	31074	32154	f	0	1	Prodigal	002006
35	VFASICLA	32118	32838	r	0	1	Prodigal	002006
36	VFASICLA	32815	33526	r	0	1	Prodigal	002006
37	VFASICLA	33483	34368	r	0	1	Prodigal	002006
38	VFASICLA	34309	34873	r	0	1	Prodigal	002006
39	VFASICLA	34869	36123	r	0	1	Prodigal	002006
40	VFASICLA	36076	37495	r	0	1	Prodigal	002006
41	VFASICLA	37525	38515	r	0	1	Prodigal	002006
42	VFASICLA	38678	39875	r	0	1	Prodigal	002006
43	VFASICLA	39864	40539	r	0	1	Prodigal	002006
44	VFASICLA	40747	41869	f	0	1	Prodigal	002006
45	VFASICLA	41855	42974	f	0	1	Prodigal	002006
46	VFASICLA	43078	43231	f	0	1	Prodigal	002006
47	VFASICLA	43179	45996	f	0	1	Prodigal	002006
48	VFASICLA	46113	46186	f	1	2	Aragorn	001002
49	VFASICLA	46186	46269	f	1	2	Aragorn	001002
50	VFASICLA	46998	48039	f	0	1	Prodigal	002006
51	VFASICLA	47998	48619	f	0	1	Prodigal	002006
52	VFASICLA	48605	49736	f	0	1	Prodigal	002006
53	VFASICLA	49725	50433	f	0	1	Prodigal	002006
54	VFASICLA	50401	50605	f	0	1	Prodigal	002006
55	VFASICLA	50824	50896	r	0	2	Aragorn	001002
56	VFASICLA	50897	51488	f	0	1	Prodigal	002006
57	VFASICLA	51586	51658	r	0	2	Aragorn	001002
58	VFASICLA	51658	51731	r	1	2	Aragorn	001002
59	VFASICLA	52403	53291	f	0	1	Prodigal	002006
60	VFASICLA	53287	56404	f	0	1	Prodigal	002006
61	VFASICLA	56375	56909	f	0	1	Prodigal	002006
62	VFASICLA	56898	57435	f	0	1	Prodigal	002006
63	VFASICLA	58559	58634	f	0	2	Aragorn	001002
64	VFASICLA	60113	60189	r	1	2	Aragorn	001002
65	VFASICLA	60186	60274	r	1	2	Aragorn	001002
66	VFASICLA	60334	60407	f	1	2	Aragorn	001002
67	VFASICLA	60413	60989	f	0	1	Prodigal	002006
68	VFASICLA	60992	62237	f	0	1	Prodigal	002006
69	VFASICLA	62236	63199	f	0	1	Prodigal	002006
70	VFASICLA	63195	63753	f	0	1	Prodigal	002006
71	VFASICLA	63749	64343	f	0	1	Prodigal	002006
72	VFASICLA	64339	65026	f	0	1	Prodigal	002006
