gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFOMMLON	0	1191	f	0	1	Prodigal	2.6
2	VFOMMLON	1181	1253	f	0	2	Prodigal	2.6
3	VFOMMLON	1252	1624	f	0	1	Prodigal	2.6
4	VFOMMLON	1613	2168	f	0	1	Prodigal	2.6
5	VFOMMLON	2148	2580	f	0	1	Prodigal	2.6
6	VFOMMLON	2554	2890	f	0	1	Prodigal	2.6
7	VFOMMLON	2886	6342	f	0	1	Prodigal	2.6
8	VFOMMLON	6338	9968	f	0	1	Prodigal	2.6
9	VFOMMLON	9942	10329	f	0	1	Prodigal	2.6
10	VFOMMLON	10303	10780	f	0	1	Prodigal	2.6
11	VFOMMLON	10776	12774	f	0	1	Prodigal	2.6
12	VFOMMLON	12770	13061	f	0	1	Prodigal	2.6
13	VFOMMLON	13057	13450	f	0	1	Prodigal	2.6
14	VFOMMLON	13440	13513	f	1	2	Prodigal	2.6
15	VFOMMLON	14633	15311	r	0	1	Prodigal	2.6
16	VFOMMLON	15291	16362	r	0	1	Prodigal	2.6
17	VFOMMLON	16355	16748	r	0	1	Prodigal	2.6
18	VFOMMLON	16744	17020	r	0	1	Prodigal	2.6
19	VFOMMLON	17009	17723	r	0	1	Prodigal	2.6
20	VFOMMLON	17719	18322	r	0	1	Prodigal	2.6
21	VFOMMLON	18318	19575	r	0	1	Prodigal	2.6
22	VFOMMLON	19721	19793	f	0	2	Prodigal	2.6
23	VFOMMLON	19800	20523	f	0	1	Prodigal	2.6
24	VFOMMLON	20948	21455	r	0	1	Prodigal	2.6
25	VFOMMLON	21721	22765	f	0	1	Prodigal	2.6
26	VFOMMLON	22753	23854	r	0	1	Prodigal	2.6
27	VFOMMLON	24481	25357	r	0	1	Prodigal	2.6
28	VFOMMLON	26138	27266	f	0	1	Prodigal	2.6
29	VFOMMLON	27243	27327	f	0	2	Prodigal	2.6
30	VFOMMLON	27459	29685	r	0	1	Prodigal	2.6
31	VFOMMLON	27459	29685	r	0	1	Prodigal	2.6
32	VFOMMLON	29678	29822	r	0	1	Prodigal	2.6
33	VFOMMLON	30011	32117	f	0	1	Prodigal	2.6
34	VFOMMLON	32316	32952	f	0	1	Prodigal	2.6
35	VFOMMLON	32951	34016	f	0	1	Prodigal	2.6
36	VFOMMLON	33998	34826	r	0	1	Prodigal	2.6
37	VFOMMLON	34815	35484	r	0	1	Prodigal	2.6
38	VFOMMLON	35458	36385	r	0	1	Prodigal	2.6
39	VFOMMLON	36332	36875	r	0	1	Prodigal	2.6
40	VFOMMLON	36871	37987	r	0	1	Prodigal	2.6
41	VFOMMLON	37980	39324	r	0	1	Prodigal	2.6
42	VFOMMLON	39540	40830	r	0	1	Prodigal	2.6
43	VFOMMLON	40810	41638	r	0	1	Prodigal	2.6
44	VFOMMLON	42502	43597	f	0	1	Prodigal	2.6
