gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFDICMUL	0	1191	f	0	1	Prodigal	2.6
2	VFDICMUL	1189	1260	f	1	2	Prodigal	2.6
3	VFDICMUL	1267	1663	f	0	1	Prodigal	2.6
4	VFDICMUL	1647	2217	f	0	1	Prodigal	2.6
5	VFDICMUL	2213	2681	f	0	1	Prodigal	2.6
6	VFDICMUL	2658	3009	f	0	1	Prodigal	2.6
7	VFDICMUL	3011	6710	f	0	1	Prodigal	2.6
8	VFDICMUL	6706	10474	f	0	1	Prodigal	2.6
9	VFDICMUL	10470	10857	f	0	1	Prodigal	2.6
10	VFDICMUL	10831	11308	f	0	1	Prodigal	2.6
11	VFDICMUL	11313	13362	f	0	1	Prodigal	2.6
12	VFDICMUL	13327	13633	f	0	1	Prodigal	2.6
13	VFDICMUL	13629	14052	f	0	1	Prodigal	2.6
14	VFDICMUL	14042	14114	f	0	2	Prodigal	2.6
15	VFDICMUL	14433	14940	r	0	1	Prodigal	2.6
16	VFDICMUL	15134	16268	r	0	1	Prodigal	2.6
17	VFDICMUL	16221	16611	r	0	1	Prodigal	2.6
18	VFDICMUL	16600	16909	r	0	1	Prodigal	2.6
19	VFDICMUL	16886	17711	r	0	1	Prodigal	2.6
20	VFDICMUL	17710	18262	r	0	1	Prodigal	2.6
21	VFDICMUL	18810	19671	f	0	1	Prodigal	2.6
22	VFDICMUL	19651	20155	f	0	1	Prodigal	2.6
23	VFDICMUL	20137	20683	r	0	1	Prodigal	2.6
24	VFDICMUL	21013	22150	f	0	1	Prodigal	2.6
25	VFDICMUL	22118	23396	r	0	1	Prodigal	2.6
26	VFDICMUL	23395	24082	r	0	1	Prodigal	2.6
27	VFDICMUL	24068	24974	r	0	1	Prodigal	2.6
28	VFDICMUL	24977	25913	f	0	1	Prodigal	2.6
29	VFDICMUL	25902	27039	f	0	1	Prodigal	2.6
30	VFDICMUL	27038	27121	f	1	2	Prodigal	2.6
31	VFDICMUL	27346	29542	r	0	1	Prodigal	2.6
32	VFDICMUL	27346	29542	r	0	1	Prodigal	2.6
33	VFDICMUL	29538	29688	r	0	1	Prodigal	2.6
34	VFDICMUL	29877	32034	f	0	1	Prodigal	2.6
35	VFDICMUL	32266	32770	f	0	1	Prodigal	2.6
36	VFDICMUL	32778	33876	f	0	1	Prodigal	2.6
37	VFDICMUL	33865	34726	r	0	1	Prodigal	2.6
38	VFDICMUL	34722	35463	r	0	1	Prodigal	2.6
39	VFDICMUL	35462	36470	r	0	1	Prodigal	2.6
40	VFDICMUL	36456	37017	r	0	1	Prodigal	2.6
41	VFDICMUL	37013	38243	r	0	1	Prodigal	2.6
42	VFDICMUL	38239	39589	r	0	1	Prodigal	2.6
43	VFDICMUL	39623	40586	r	0	1	Prodigal	2.6
44	VFDICMUL	40829	42131	r	0	1	Prodigal	2.6
