gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFISSCOL1	1177	1250	f	1	2	Aragorn	001002
2	VFISSCOL1	1250	1619	f	0	1	Prodigal	002006
3	VFISSCOL1	1612	2227	f	0	1	Prodigal	002006
4	VFISSCOL1	2226	2667	f	0	1	Prodigal	002006
5	VFISSCOL1	2644	2986	f	0	1	Prodigal	002006
6	VFISSCOL1	2982	6852	f	0	1	Prodigal	002006
7	VFISSCOL1	6824	10679	f	0	1	Prodigal	002006
8	VFISSCOL1	10629	11013	f	0	1	Prodigal	002006
9	VFISSCOL1	10990	11473	f	0	1	Prodigal	002006
10	VFISSCOL1	11472	13509	f	0	1	Prodigal	002006
11	VFISSCOL1	13505	13805	f	0	1	Prodigal	002006
12	VFISSCOL1	13808	13881	f	1	2	Aragorn	001002
13	VFISSCOL1	13888	14332	f	0	1	Prodigal	002006
14	VFISSCOL1	14318	15104	f	0	1	Prodigal	002006
15	VFISSCOL1	15100	15283	f	0	1	Prodigal	002006
16	VFISSCOL1	15539	16838	f	0	1	Prodigal	002006
17	VFISSCOL1	16790	17498	r	0	1	Prodigal	002006
18	VFISSCOL1	17475	18633	r	0	1	Prodigal	002006
19	VFISSCOL1	18629	19019	r	0	1	Prodigal	002006
20	VFISSCOL1	19015	19324	r	0	1	Prodigal	002006
21	VFISSCOL1	19316	20102	r	0	1	Prodigal	002006
22	VFISSCOL1	20098	20755	r	0	1	Prodigal	002006
23	VFISSCOL1	20747	22274	r	0	1	Prodigal	002006
24	VFISSCOL1	22280	22352	f	0	2	Aragorn	001002
25	VFISSCOL1	23223	23736	f	0	1	Prodigal	002006
26	VFISSCOL1	23730	24282	r	0	1	Prodigal	002006
27	VFISSCOL1	24554	25688	f	0	1	Prodigal	002006
28	VFISSCOL1	25684	27031	r	0	1	Prodigal	002006
29	VFISSCOL1	27027	27744	r	0	1	Prodigal	002006
30	VFISSCOL1	27700	28561	r	0	1	Prodigal	002006
31	VFISSCOL1	28599	28902	f	0	1	Prodigal	002006
