gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFISSCOL1	0	1188	f	0	1	Prodigal	2.6
2	VFISSCOL1	1178	1249	f	1	2	Prodigal	2.6
3	VFISSCOL1	1250	1619	f	0	1	Prodigal	2.6
4	VFISSCOL1	1612	2230	f	0	1	Prodigal	2.6
5	VFISSCOL1	2226	2667	f	0	1	Prodigal	2.6
6	VFISSCOL1	2644	2989	f	0	1	Prodigal	2.6
7	VFISSCOL1	2982	6852	f	0	1	Prodigal	2.6
8	VFISSCOL1	6839	10679	f	0	1	Prodigal	2.6
9	VFISSCOL1	10629	11016	f	0	1	Prodigal	2.6
10	VFISSCOL1	10990	11473	f	0	1	Prodigal	2.6
11	VFISSCOL1	11472	13512	f	0	1	Prodigal	2.6
12	VFISSCOL1	13508	13805	f	0	1	Prodigal	2.6
13	VFISSCOL1	13808	13881	f	1	2	Prodigal	2.6
14	VFISSCOL1	16790	17267	r	0	1	Prodigal	2.6
15	VFISSCOL1	17475	18633	r	0	1	Prodigal	2.6
16	VFISSCOL1	18629	19019	r	0	1	Prodigal	2.6
17	VFISSCOL1	19012	19324	r	0	1	Prodigal	2.6
18	VFISSCOL1	19316	20102	r	0	1	Prodigal	2.6
19	VFISSCOL1	20098	20755	r	0	1	Prodigal	2.6
20	VFISSCOL1	20747	22274	r	0	1	Prodigal	2.6
21	VFISSCOL1	22280	22352	f	0	2	Prodigal	2.6
22	VFISSCOL1	22387	23227	f	0	1	Prodigal	2.6
23	VFISSCOL1	23730	24282	r	0	1	Prodigal	2.6
24	VFISSCOL1	24554	25691	f	0	1	Prodigal	2.6
25	VFISSCOL1	25684	27031	r	0	1	Prodigal	2.6
26	VFISSCOL1	27027	27744	r	0	1	Prodigal	2.6
27	VFISSCOL1	27700	28561	r	0	1	Prodigal	2.6
28	VFISSCOL1	29533	30733	f	0	1	Prodigal	2.6
29	VFISSCOL1	30731	30815	f	0	2	Prodigal	2.6
30	VFISSCOL1	30987	33285	r	0	1	Prodigal	2.6
31	VFISSCOL1	30987	33285	r	0	1	Prodigal	2.6
32	VFISSCOL1	33984	34653	f	0	1	Prodigal	2.6
33	VFISSCOL1	33984	34653	f	0	1	Prodigal	2.6
34	VFISSCOL1	33984	34653	f	0	1	Prodigal	2.6
35	VFISSCOL1	34649	35798	f	0	1	Prodigal	2.6
36	VFISSCOL1	35780	36656	r	0	1	Prodigal	2.6
37	VFISSCOL1	36639	37401	r	0	1	Prodigal	2.6
38	VFISSCOL1	37378	38365	r	0	1	Prodigal	2.6
39	VFISSCOL1	38336	38927	r	0	1	Prodigal	2.6
40	VFISSCOL1	38920	40180	r	0	1	Prodigal	2.6
41	VFISSCOL1	40166	41567	r	0	1	Prodigal	2.6
42	VFISSCOL1	41829	43005	r	0	1	Prodigal	2.6
43	VFISSCOL1	42997	43960	r	0	1	Prodigal	2.6
44	VFISSCOL1	43964	45302	f	0	1	Prodigal	2.6
45	VFISSCOL1	45273	46701	f	0	1	Prodigal	2.6
46	VFISSCOL1	46691	46763	f	0	2	Prodigal	2.6
47	VFISSCOL1	46770	49728	f	0	1	Prodigal	2.6
48	VFISSCOL1	49878	49951	f	1	2	Prodigal	2.6
49	VFISSCOL1	49952	50040	f	1	2	Prodigal	2.6
50	VFISSCOL1	50214	51234	f	0	1	Prodigal	2.6
51	VFISSCOL1	51211	51844	f	0	1	Prodigal	2.6
52	VFISSCOL1	51830	52967	f	0	1	Prodigal	2.6
53	VFISSCOL1	52963	53698	f	0	1	Prodigal	2.6
54	VFISSCOL1	53685	53946	f	0	1	Prodigal	2.6
55	VFISSCOL1	54134	54206	r	0	2	Prodigal	2.6
56	VFISSCOL1	54318	54389	r	1	2	Prodigal	2.6
57	VFISSCOL1	54446	54980	r	0	1	Prodigal	2.6
58	VFISSCOL1	54980	56048	f	0	1	Prodigal	2.6
59	VFISSCOL1	56037	59121	f	0	1	Prodigal	2.6
60	VFISSCOL1	59117	59660	f	0	1	Prodigal	2.6
61	VFISSCOL1	59649	60192	f	0	1	Prodigal	2.6
62	VFISSCOL1	60188	61334	f	0	1	Prodigal	2.6
63	VFISSCOL1	61324	61396	f	0	2	Prodigal	2.6
64	VFISSCOL1	62111	63173	f	0	1	Prodigal	2.6
65	VFISSCOL1	63248	63331	r	1	2	Prodigal	2.6
66	VFISSCOL1	63331	63403	f	0	2	Prodigal	2.6
67	VFISSCOL1	63417	64011	f	0	1	Prodigal	2.6
68	VFISSCOL1	64007	65252	f	0	1	Prodigal	2.6
69	VFISSCOL1	65248	66223	f	0	1	Prodigal	2.6
70	VFISSCOL1	66219	66804	f	0	1	Prodigal	2.6
71	VFISSCOL1	66800	67406	f	0	1	Prodigal	2.6
72	VFISSCOL1	67402	68101	f	0	1	Prodigal	2.6
73	VFISSCOL1	68097	68826	f	0	1	Prodigal	2.6
74	VFISSCOL1	68822	69107	f	0	1	Prodigal	2.6
75	VFISSCOL1	69100	69349	f	0	1	Prodigal	2.6
76	VFISSCOL1	69349	69420	f	1	2	Prodigal	2.6
77	VFISSCOL1	69499	70309	f	0	1	Prodigal	2.6
78	VFISSCOL1	70306	70378	r	0	2	Prodigal	2.6
79	VFISSCOL1	70368	70710	r	0	1	Prodigal	2.6
80	VFISSCOL1	70684	70864	r	0	1	Prodigal	2.6
81	VFISSCOL1	70835	71300	r	0	1	Prodigal	2.6
82	VFISSCOL1	71303	72362	r	0	1	Prodigal	2.6
83	VFISSCOL1	72370	72442	r	0	2	Prodigal	2.6
84	VFISSCOL1	72568	72641	r	1	2	Prodigal	2.6
85	VFISSCOL1	72676	72748	f	0	2	Prodigal	2.6
86	VFISSCOL1	74641	75724	f	0	1	Prodigal	2.6
87	VFISSCOL1	75704	76487	f	0	1	Prodigal	2.6
88	VFISSCOL1	76487	77579	f	0	1	Prodigal	2.6
89	VFISSCOL1	77575	78928	r	0	1	Prodigal	2.6
90	VFISSCOL1	78924	80100	r	0	1	Prodigal	2.6
91	VFISSCOL1	80096	81371	r	0	1	Prodigal	2.6
92	VFISSCOL1	81519	81774	r	0	1	Prodigal	2.6
93	VFISSCOL1	81826	82126	f	0	1	Prodigal	2.6
