locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFMEETHA_00001	tRNA	74				tRNA-Trp(cca)
VFMEETHA_00001	gene	74				
VFMEETHA_00002	CDS	348	rplK		COG0080	50S ribosomal protein L11
VFMEETHA_00002	gene	348	rplK			
VFMEETHA_00003	CDS	438				hypothetical protein
VFMEETHA_00003	gene	438				
VFMEETHA_00004	CDS	345	rplL		COG0222	50S ribosomal protein L7/L12
VFMEETHA_00004	gene	345	rplL			
VFMEETHA_00005	CDS	3777	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
VFMEETHA_00005	gene	3777	rpoB			
VFMEETHA_00006	CDS	3651	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFMEETHA_00006	gene	3651	rpoC			
VFMEETHA_00007	CDS	381	rpsL		COG0048	30S ribosomal protein S12
VFMEETHA_00007	gene	381	rpsL			
VFMEETHA_00008	CDS	471	rpsG		COG0049	30S ribosomal protein S7
VFMEETHA_00008	gene	471	rpsG			
VFMEETHA_00009	CDS	2019	fusA		COG0480	Elongation factor G
VFMEETHA_00009	gene	2019	fusA			
VFMEETHA_00010	CDS	288	rpsJ			30S ribosomal protein S10
VFMEETHA_00010	gene	288	rpsJ			
VFMEETHA_00011	tRNA	72				tRNA-Phe(gaa)
VFMEETHA_00011	gene	72				
VFMEETHA_00012	CDS	978	tyrS	6.1.1.1		Tyrosine--tRNA ligase
VFMEETHA_00012	gene	978	tyrS			
VFMEETHA_00013	CDS	387	rpsI		COG0103	30S ribosomal protein S9
VFMEETHA_00013	gene	387	rpsI			
VFMEETHA_00014	CDS	264				hypothetical protein
VFMEETHA_00014	gene	264				
VFMEETHA_00015	CDS	747	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFMEETHA_00015	gene	747	dapF			
VFMEETHA_00016	CDS	549				hypothetical protein
VFMEETHA_00016	gene	549				
VFMEETHA_00017	CDS	330	ssb		COG0629	Single-stranded DNA-binding protein
VFMEETHA_00017	gene	330	ssb			
VFMEETHA_00018	tRNA	72				tRNA-Gln(ttg)
VFMEETHA_00018	gene	72				
VFMEETHA_00019	CDS	849	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFMEETHA_00019	gene	849	prs			
VFMEETHA_00020	CDS	174				hypothetical protein
VFMEETHA_00020	gene	174				
VFMEETHA_00021	CDS	534	prfA		COG0216	Peptide chain release factor 1
VFMEETHA_00021	gene	534	prfA			
VFMEETHA_00022	CDS	747	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
VFMEETHA_00022	gene	747	trpC			
VFMEETHA_00023	CDS	903	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
VFMEETHA_00023	gene	903	trpD			
VFMEETHA_00024	CDS	576	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
VFMEETHA_00024	gene	576	trpG			
VFMEETHA_00025	CDS	1233	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
VFMEETHA_00025	gene	1233	trpE			
VFMEETHA_00026	CDS	1368	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFMEETHA_00026	gene	1368	argH			
VFMEETHA_00027	CDS	1236	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
VFMEETHA_00027	gene	1236	glnS			
VFMEETHA_00028	CDS	903	thrB	2.7.1.39	COG2334	Homoserine kinase
VFMEETHA_00028	gene	903	thrB			
VFMEETHA_00029	CDS	921	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
VFMEETHA_00029	gene	921	tsaD			
VFMEETHA_00030	CDS	1044	dnaG	2.7.7.-	COG0358	DNA primase
VFMEETHA_00030	gene	1044	dnaG			
VFMEETHA_00031	CDS	1263	sigA		COG0568	RNA polymerase sigma factor SigA
VFMEETHA_00031	gene	1263	sigA			
VFMEETHA_00032	tRNA	75				tRNA-Leu(tag)
VFMEETHA_00032	gene	75				
VFMEETHA_00033	tRNA	85				tRNA-Ser(aga)
VFMEETHA_00033	gene	85				
VFMEETHA_00034	CDS	999	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
VFMEETHA_00034	gene	999	asd			
VFMEETHA_00035	CDS	552	trpF	5.3.1.24		N-(5'-phosphoribosyl)anthranilate isomerase
VFMEETHA_00035	gene	552	trpF			
VFMEETHA_00036	CDS	1104	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
VFMEETHA_00036	gene	1104	trpB			
VFMEETHA_00037	CDS	630	trpA	4.2.1.20		Tryptophan synthase alpha chain
VFMEETHA_00037	gene	630	trpA			
VFMEETHA_00038	CDS	234	rpsP			30S ribosomal protein S16
VFMEETHA_00038	gene	234	rpsP			
VFMEETHA_00039	tRNA	74				tRNA-Asn(gtt)
VFMEETHA_00039	gene	74				
VFMEETHA_00040	tRNA	74				tRNA-Cys(gca)
VFMEETHA_00040	gene	74				
VFMEETHA_00041	tRNA	74				tRNA-Gly(gcc)
VFMEETHA_00041	gene	74				
VFMEETHA_00042	CDS	1035	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFMEETHA_00042	gene	1035	carA			
VFMEETHA_00043	CDS	3087	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFMEETHA_00043	gene	3087	carB			
VFMEETHA_00044	CDS	558	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFMEETHA_00044	gene	558	clpP			
VFMEETHA_00045	tRNA	73				tRNA-Val(tac)
VFMEETHA_00045	gene	73				
VFMEETHA_00046	tRNA	76				tRNA-Leu(caa)
VFMEETHA_00046	gene	76				
VFMEETHA_00047	tRNA	83				tRNA-Ser(tga)
VFMEETHA_00047	gene	83				
VFMEETHA_00048	CDS	564	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
VFMEETHA_00048	gene	564	hisG			
VFMEETHA_00049	CDS	1236	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
VFMEETHA_00049	gene	1236	hisD			
VFMEETHA_00050	CDS	1002	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
VFMEETHA_00050	gene	1002	hisC2			
VFMEETHA_00051	CDS	531	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
VFMEETHA_00051	gene	531	hisB			
VFMEETHA_00052	CDS	600	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
VFMEETHA_00052	gene	600	hisH			
VFMEETHA_00053	CDS	723	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
VFMEETHA_00053	gene	723	hisA			
VFMEETHA_00054	CDS	777	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
VFMEETHA_00054	gene	777	hisF			
VFMEETHA_00055	CDS	288	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
VFMEETHA_00055	gene	288	hisI			
VFMEETHA_00056	CDS	258	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
VFMEETHA_00056	gene	258	hisE			
VFMEETHA_00057	tRNA	73				tRNA-His(gtg)
VFMEETHA_00057	gene	73				
VFMEETHA_00058	tRNA	74				tRNA-Lys(ttt)
VFMEETHA_00058	gene	74				
VFMEETHA_00059	CDS	312	infC			Translation initiation factor IF-3
VFMEETHA_00059	gene	312	infC			
VFMEETHA_00060	CDS	1059	aroC	4.2.3.5	COG0082	Chorismate synthase
VFMEETHA_00060	gene	1059	aroC			
VFMEETHA_00061	tRNA	71				tRNA-Arg(tct)
VFMEETHA_00061	gene	71				
VFMEETHA_00062	tRNA	74				tRNA-Met(cat)
VFMEETHA_00062	gene	74				
VFMEETHA_00063	tRNA	72				tRNA-Pro(tgg)
VFMEETHA_00063	gene	72				
VFMEETHA_00064	CDS	303				hypothetical protein
VFMEETHA_00064	gene	303				
VFMEETHA_00065	CDS	453				hypothetical protein
VFMEETHA_00065	gene	453				
VFMEETHA_00066	CDS	441				hypothetical protein
VFMEETHA_00066	gene	441				
VFMEETHA_00067	CDS	495	rpsB		COG0052	30S ribosomal protein S2
VFMEETHA_00067	gene	495	rpsB			
VFMEETHA_00068	CDS	1059	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
VFMEETHA_00068	gene	1059	dapL			
VFMEETHA_00069	CDS	795	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
VFMEETHA_00069	gene	795	dapD			
VFMEETHA_00070	CDS	1023	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
VFMEETHA_00070	gene	1023	dapE			
VFMEETHA_00071	CDS	183				hypothetical protein
VFMEETHA_00071	gene	183				
VFMEETHA_00072	CDS	1290	thrC	4.2.3.1	COG0498	Threonine synthase
VFMEETHA_00072	gene	1290	thrC			
VFMEETHA_00073	CDS	1245	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
VFMEETHA_00073	gene	1245	dnaB			
VFMEETHA_00074	CDS	432	rpsR			30S ribosomal protein S18
VFMEETHA_00074	gene	432	rpsR			
VFMEETHA_00075	tRNA	73				tRNA-Asp(gtc)
VFMEETHA_00075	gene	73				
VFMEETHA_00076	tRNA	73				tRNA-Glu(ttc)
VFMEETHA_00076	gene	73				
VFMEETHA_00077	CDS	1275	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
VFMEETHA_00077	gene	1275	mnmE			
VFMEETHA_00078	CDS	1671	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
VFMEETHA_00078	gene	1671	mnmG			
VFMEETHA_00079	CDS	1269	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
VFMEETHA_00079	gene	1269	aroA			
VFMEETHA_00080	CDS	1128	rpsA		COG0539	30S ribosomal protein S1
VFMEETHA_00080	gene	1128	rpsA			
VFMEETHA_00081	CDS	1038				hypothetical protein
VFMEETHA_00081	gene	1038				
VFMEETHA_00082	CDS	555				hypothetical protein
VFMEETHA_00082	gene	555				
VFMEETHA_00083	CDS	966	dnaJ		COG0484	Chaperone protein DnaJ
VFMEETHA_00083	gene	966	dnaJ			
VFMEETHA_00084	CDS	1800	dnaK		COG0443	Chaperone protein DnaK
VFMEETHA_00084	gene	1800	dnaK			
VFMEETHA_00085	CDS	498	grpE			Protein GrpE
VFMEETHA_00085	gene	498	grpE			
VFMEETHA_00086	CDS	981	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
VFMEETHA_00086	gene	981	aroH			
VFMEETHA_00087	CDS	957	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
VFMEETHA_00087	gene	957	mnmA			
VFMEETHA_00088	CDS	654				hypothetical protein
VFMEETHA_00088	gene	654				
VFMEETHA_00089	CDS	1992	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
VFMEETHA_00089	gene	1992	leuS			
VFMEETHA_00090	CDS	618	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
VFMEETHA_00090	gene	618	dapB			
VFMEETHA_00091	CDS	717	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
VFMEETHA_00091	gene	717	aroE			
VFMEETHA_00092	CDS	393	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
VFMEETHA_00092	gene	393	aroQ			
VFMEETHA_00093	CDS	264	rpmA		COG0211	50S ribosomal protein L27
VFMEETHA_00093	gene	264	rpmA			
VFMEETHA_00094	CDS	318	rplU			50S ribosomal protein L21
VFMEETHA_00094	gene	318	rplU			
VFMEETHA_00095	CDS	675	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
VFMEETHA_00095	gene	675	rsmH			
VFMEETHA_00096	tRNA	72				tRNA-Ala(tgc)
VFMEETHA_00096	gene	72				
VFMEETHA_00097	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
VFMEETHA_00097	gene	1221	argG			
VFMEETHA_00098	rRNA	2716				23S ribosomal RNA
VFMEETHA_00098	gene	2716				
VFMEETHA_00099	tRNA	71				tRNA-Ile(gat)
VFMEETHA_00099	gene	71				
VFMEETHA_00100	rRNA	1463				16S ribosomal RNA
VFMEETHA_00100	gene	1463				
VFMEETHA_00101	CDS	642	rplC		COG0087	50S ribosomal protein L3
VFMEETHA_00101	gene	642	rplC			
VFMEETHA_00102	CDS	561	rplD		COG0088	50S ribosomal protein L4
VFMEETHA_00102	gene	561	rplD			
VFMEETHA_00103	CDS	213				hypothetical protein
VFMEETHA_00103	gene	213				
VFMEETHA_00104	CDS	795	rplB		COG0090	50S ribosomal protein L2
VFMEETHA_00104	gene	795	rplB			
VFMEETHA_00105	CDS	270	rpsS			30S ribosomal protein S19
VFMEETHA_00105	gene	270	rpsS			
VFMEETHA_00106	CDS	339				hypothetical protein
VFMEETHA_00106	gene	339				
VFMEETHA_00107	CDS	621	rpsC		COG0092	30S ribosomal protein S3
VFMEETHA_00107	gene	621	rpsC			
VFMEETHA_00108	CDS	405	rplP		COG0197	50S ribosomal protein L16
VFMEETHA_00108	gene	405	rplP			
VFMEETHA_00109	CDS	240				hypothetical protein
VFMEETHA_00109	gene	240				
VFMEETHA_00110	CDS	360	rplN		COG0093	50S ribosomal protein L14
VFMEETHA_00110	gene	360	rplN			
VFMEETHA_00111	CDS	552	rplE			50S ribosomal protein L5
VFMEETHA_00111	gene	552	rplE			
VFMEETHA_00112	CDS	273	rpsN2		COG0199	Alternate 30S ribosomal protein S14
VFMEETHA_00112	gene	273	rpsN2			
VFMEETHA_00113	CDS	369				hypothetical protein
VFMEETHA_00113	gene	369				
VFMEETHA_00114	CDS	528	rplF		COG0097	50S ribosomal protein L6
VFMEETHA_00114	gene	528	rplF			
VFMEETHA_00115	CDS	291				hypothetical protein
VFMEETHA_00115	gene	291				
VFMEETHA_00116	CDS	414	rpsE			30S ribosomal protein S5
VFMEETHA_00116	gene	414	rpsE			
VFMEETHA_00117	CDS	279				hypothetical protein
VFMEETHA_00117	gene	279				
VFMEETHA_00118	CDS	213	infA		COG0361	Translation initiation factor IF-1
VFMEETHA_00118	gene	213	infA			
VFMEETHA_00119	CDS	375	rpsM			30S ribosomal protein S13
VFMEETHA_00119	gene	375	rpsM			
VFMEETHA_00120	CDS	348	rpsK		COG0100	30S ribosomal protein S11
VFMEETHA_00120	gene	348	rpsK			
VFMEETHA_00121	CDS	516	rpsD		COG0522	30S ribosomal protein S4
VFMEETHA_00121	gene	516	rpsD			
VFMEETHA_00122	CDS	513				hypothetical protein
VFMEETHA_00122	gene	513				
VFMEETHA_00123	CDS	249				hypothetical protein
VFMEETHA_00123	gene	249				
VFMEETHA_00124	CDS	1128	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
VFMEETHA_00124	gene	1128	lysA			
VFMEETHA_00125	tRNA	86				tRNA-Tyr(gta)
VFMEETHA_00125	gene	86				
VFMEETHA_00126	tRNA	71				tRNA-Gly(tcc)
VFMEETHA_00126	gene	71				
VFMEETHA_00127	tRNA	73				tRNA-Thr(agt)
VFMEETHA_00127	gene	73				
