#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1614	2168	+	VFOMMLON_00010	22.3	10.1		
contig_1	2149	2577	+	VFOMMLON_00015	17.6	10.2		
contig_1	2555	2890	+	VFOMMLON_00020	13.2	9.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2887	6339	+	VFOMMLON_00025	137.1	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6336	9968	+	VFOMMLON_00030	142.3	10.1	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	9943	10326	+	VFOMMLON_00035	14.4	10.6		
contig_1	12771	13061	+	VFOMMLON_00050	11.9	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	13522	13887	+	VFOMMLON_00060	15.1	9.9		
contig_1	13871	14665	+	VFOMMLON_00065	33.4	10.4		
contig_1	14634	15311	-	VFOMMLON_00070	27.9	10.1		
contig_1	15292	16362	-	VFOMMLON_00075	43.0	10.3		
contig_1	16359	16748	-	VFOMMLON_00080	15.3	10.2		
contig_1	16745	17020	-	VFOMMLON_00085	10.8	10.7		
contig_1	17010	17723	-	VFOMMLON_00090	28.8	9.9		
contig_1	17720	18322	-	VFOMMLON_00095	23.7	9.9		
contig_1	18319	19686	-	VFOMMLON_00100	54.0	9.9	PF10662.12|PduV-EutP	PFAM:PF10662.12
contig_1	19801	20520	+	VFOMMLON_00110	29.0	10.2		
contig_1	20517	20963	+	VFOMMLON_00115	18.2	10.5		
contig_1	20949	21455	-	VFOMMLON_00120	19.7	9.9	PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF05175.17, PFAM:PF13847.9
contig_1	21719	22765	+	VFOMMLON_00125	41.0	10.3	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	22754	23857	-	VFOMMLON_00130	44.2	10.1	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	23854	24489	-	VFOMMLON_00135	25.3	10.0		
contig_1	24482	25357	-	VFOMMLON_00140	33.8	10.2	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	27460	29685	-	VFOMMLON_00150	90.7	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
contig_1	29682	29822	-	VFOMMLON_00155	5.6	10.3		
contig_1	29801	29959	-	VFOMMLON_00160	6.4	10.5		
contig_1	29991	32117	+	VFOMMLON_00165	84.9	10.2	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	32317	32952	+	VFOMMLON_00170	25.6	10.5		
contig_1	32949	34016	+	VFOMMLON_00175	41.6	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	34816	35487	-	VFOMMLON_00185	27.5	10.0	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	35459	36385	-	VFOMMLON_00190	37.1	10.2		
contig_1	36333	36875	-	VFOMMLON_00195	21.8	10.0	PF00117.31|GATase	PFAM:PF00117.31
contig_1	36872	37987	-	VFOMMLON_00200	45.0	10.2		
contig_1	37984	39324	-	VFOMMLON_00205	52.4	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	39541	40830	-	VFOMMLON_00210	52.4	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	40811	41638	-	VFOMMLON_00215	33.4	10.1		
contig_1	41623	42462	-	VFOMMLON_00220	33.2	10.1		
contig_1	42503	43597	+	VFOMMLON_00225	45.1	10.1	PF01807.23|zf-CHC2, PF13662.9|Toprim_4	PFAM:PF01807.23, PFAM:PF13662.9
contig_1	45141	47945	+	VFOMMLON_00235	111.6	10.0	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
