# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFKELRIB	cds	1	1203	+	BIMMNN_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFKELRIB	cds	1229	1621	+	BIMMNN_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFKELRIB	cds	1618	2175	+	BIMMNN_00015		hypothetical protein	
VFKELRIB	cds	2168	2608	+	BIMMNN_00020		hypothetical protein	
VFKELRIB	cds	2586	2945	+	BIMMNN_00025		hypothetical protein	PFAM:PF00542.22
VFKELRIB	cds	2942	6313	+	BIMMNN_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFKELRIB	cds	6310	10080	+	BIMMNN_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFKELRIB	cds	10058	10420	+	BIMMNN_00040		hypothetical protein	
VFKELRIB	cds	10417	10881	+	BIMMNN_00045		hypothetical protein	PFAM:PF00177.24
VFKELRIB	cds	10894	12957	+	BIMMNN_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFKELRIB	cds	12954	13253	+	BIMMNN_00055		hypothetical protein	PFAM:PF00338.25
VFKELRIB	cds	13286	13726	+	BIMMNN_00060		hypothetical protein	PFAM:PF01327.24
VFKELRIB	cds	13848	14303	-	BIMMNN_00065		hypothetical protein	
VFKELRIB	cds	14307	14684	-	BIMMNN_00070		hypothetical protein	
VFKELRIB	cds	14671	14958	-	BIMMNN_00075		hypothetical protein	
VFKELRIB	cds	14955	15740	-	BIMMNN_00080		hypothetical protein	
VFKELRIB	cds	15737	16354	-	BIMMNN_00085		hypothetical protein	
VFKELRIB	cds	16360	17694	-	BIMMNN_00090		hypothetical protein	PFAM:PF00009.30
VFKELRIB	cds	17840	17941	+	BIMMNN_00095		hypothetical protein	
VFKELRIB	cds	17916	18743	+	BIMMNN_00100		hypothetical protein	PFAM:PF13793.9
VFKELRIB	cds	18692	19210	+	BIMMNN_00105		hypothetical protein	
VFKELRIB	cds	19207	19713	-	BIMMNN_00110		hypothetical protein	
VFKELRIB	cds	19826	20557	-	BIMMNN_00115		hypothetical protein	PFAM:PF03462.21
VFKELRIB	cds	20533	21399	-	BIMMNN_00120		hypothetical protein	PFAM:PF00701.25
