locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFTRYOCC_00001	gene	1182	tufA			
VFTRYOCC_00001	CDS	1182	tufA		COG0050	Elongation factor Tu
VFTRYOCC_00002	gene	414	rplK			
VFTRYOCC_00002	CDS	414	rplK		COG0080	50S ribosomal protein L11
VFTRYOCC_00003	gene	618				
VFTRYOCC_00003	CDS	618				hypothetical protein
VFTRYOCC_00004	gene	453				
VFTRYOCC_00004	CDS	453				hypothetical protein
VFTRYOCC_00005	gene	351	rplL			
VFTRYOCC_00005	CDS	351	rplL			50S ribosomal protein L7/L12
VFTRYOCC_00006	gene	3912	rpoB			
VFTRYOCC_00006	CDS	3912	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFTRYOCC_00007	gene	4020	rpoC			
VFTRYOCC_00007	CDS	4020	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFTRYOCC_00008	gene	387	rpsL			
VFTRYOCC_00008	CDS	387	rpsL			30S ribosomal protein S12
VFTRYOCC_00009	gene	477	rpsG			
VFTRYOCC_00009	CDS	477	rpsG		COG0049	30S ribosomal protein S7
VFTRYOCC_00010	gene	2109	fusA			
VFTRYOCC_00010	CDS	2109	fusA		COG0480	Elongation factor G
VFTRYOCC_00011	gene	294	rpsJ			
VFTRYOCC_00011	CDS	294	rpsJ		COG0051	30S ribosomal protein S10
VFTRYOCC_00012	gene	396	def			
VFTRYOCC_00012	CDS	396	def	3.5.1.88		Peptide deformylase
VFTRYOCC_00013	gene	441				
VFTRYOCC_00013	CDS	441				hypothetical protein
VFTRYOCC_00014	gene	390	rpsI			
VFTRYOCC_00014	CDS	390	rpsI		COG0103	30S ribosomal protein S9
VFTRYOCC_00015	gene	309				
VFTRYOCC_00015	CDS	309				hypothetical protein
VFTRYOCC_00016	gene	843	dapF			
VFTRYOCC_00016	CDS	843	dapF	5.1.1.7		Diaminopimelate epimerase
VFTRYOCC_00017	gene	666	rpiA			
VFTRYOCC_00017	CDS	666	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
VFTRYOCC_00018	gene	834	prs			
VFTRYOCC_00018	CDS	834	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFTRYOCC_00019	gene	507				
VFTRYOCC_00019	CDS	507				hypothetical protein
VFTRYOCC_00020	gene	552	rsmD			
VFTRYOCC_00020	CDS	552	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFTRYOCC_00021	gene	1101	iscS			
VFTRYOCC_00021	CDS	1101	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFTRYOCC_00022	gene	1350	lysS			
VFTRYOCC_00022	CDS	1350	lysS	6.1.1.6		Lysine--tRNA ligase
VFTRYOCC_00023	gene	684	prfB			
VFTRYOCC_00023	CDS	684	prfB		COG1186	Peptide chain release factor RF2
VFTRYOCC_00024	gene	894	dapA			
VFTRYOCC_00024	CDS	894	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFTRYOCC_00025	gene	915	tilS			
VFTRYOCC_00025	CDS	915	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
VFTRYOCC_00026	gene	1179	lysC			
VFTRYOCC_00026	CDS	1179	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
VFTRYOCC_00027	gene	213				
VFTRYOCC_00027	CDS	213				hypothetical protein
VFTRYOCC_00028	gene	2277	metE			
VFTRYOCC_00028	CDS	2277	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFTRYOCC_00029	gene	663				
VFTRYOCC_00029	CDS	663				hypothetical protein
VFTRYOCC_00030	gene	1167	metC			
VFTRYOCC_00030	CDS	1167	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
VFTRYOCC_00031	gene	888	prfA			
VFTRYOCC_00031	CDS	888	prfA		COG0216	Peptide chain release factor 1
VFTRYOCC_00032	gene	1413	argH			
VFTRYOCC_00032	CDS	1413	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFTRYOCC_00033	gene	930	thrB			
VFTRYOCC_00033	CDS	930	thrB	2.7.1.39	COG2334	Homoserine kinase
VFTRYOCC_00034	gene	321				
VFTRYOCC_00034	CDS	321				hypothetical protein
VFTRYOCC_00035	gene	1431	rpoD			
VFTRYOCC_00035	CDS	1431	rpoD			RNA polymerase sigma factor RpoD
VFTRYOCC_00036	gene	3045	dnaE			
VFTRYOCC_00036	CDS	3045	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFTRYOCC_00037	gene	72				
VFTRYOCC_00037	tRNA	72				tRNA-Met(cat)
VFTRYOCC_00038	gene	186				
VFTRYOCC_00038	CDS	186				hypothetical protein
VFTRYOCC_00039	gene	774				
VFTRYOCC_00039	CDS	774				hypothetical protein
VFTRYOCC_00040	gene	1023	asd			
VFTRYOCC_00040	CDS	1023	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
VFTRYOCC_00041	gene	258				
VFTRYOCC_00041	CDS	258				hypothetical protein
VFTRYOCC_00042	gene	243				
VFTRYOCC_00042	CDS	243				hypothetical protein
VFTRYOCC_00043	gene	75				
VFTRYOCC_00043	tRNA	75				tRNA-Asn(gtt)
VFTRYOCC_00044	gene	555				
VFTRYOCC_00044	CDS	555				hypothetical protein
VFTRYOCC_00045	gene	171				
VFTRYOCC_00045	CDS	171				hypothetical protein
VFTRYOCC_00046	gene	72				
VFTRYOCC_00046	tRNA	72				tRNA-Cys(gca)
VFTRYOCC_00047	gene	522	dnaQ			
VFTRYOCC_00047	CDS	522	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFTRYOCC_00048	gene	984	carA			
VFTRYOCC_00048	CDS	984	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFTRYOCC_00049	gene	3117	carB			
VFTRYOCC_00049	CDS	3117	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VFTRYOCC_00050	gene	537	clpP			
VFTRYOCC_00050	CDS	537	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
VFTRYOCC_00051	gene	1164	clpX			
VFTRYOCC_00051	CDS	1164	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
VFTRYOCC_00052	gene	630	hisG			
VFTRYOCC_00052	CDS	630	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
VFTRYOCC_00053	gene	1269	hisD			
VFTRYOCC_00053	CDS	1269	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
VFTRYOCC_00054	gene	972	hisC2			
VFTRYOCC_00054	CDS	972	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
VFTRYOCC_00055	gene	567	hisB			
VFTRYOCC_00055	CDS	567	hisB	4.2.1.19		Imidazoleglycerol-phosphate dehydratase
VFTRYOCC_00056	gene	618	hisH			
VFTRYOCC_00056	CDS	618	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
VFTRYOCC_00057	gene	708	hisA			
VFTRYOCC_00057	CDS	708	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
VFTRYOCC_00058	gene	738	hisF			
VFTRYOCC_00058	CDS	738	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
VFTRYOCC_00059	gene	291	hisI			
VFTRYOCC_00059	CDS	291	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
VFTRYOCC_00060	gene	276	hisE			
VFTRYOCC_00060	CDS	276	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
VFTRYOCC_00061	gene	73				
VFTRYOCC_00061	tRNA	73				tRNA-His(gtg)
VFTRYOCC_00062	gene	840	argF			
VFTRYOCC_00062	CDS	840	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase 1, anabolic
VFTRYOCC_00063	gene	74				
VFTRYOCC_00063	tRNA	74				tRNA-Lys(ttt)
VFTRYOCC_00064	gene	351	rplT			
VFTRYOCC_00064	CDS	351	rplT		COG0292	50S ribosomal protein L20
VFTRYOCC_00065	gene	477	infC			
VFTRYOCC_00065	CDS	477	infC		COG0290	Translation initiation factor IF-3
VFTRYOCC_00066	gene	1059	aroC			
VFTRYOCC_00066	CDS	1059	aroC	4.2.3.5		Chorismate synthase
VFTRYOCC_00067	gene	72				
VFTRYOCC_00067	tRNA	72				tRNA-Arg(tct)
VFTRYOCC_00068	gene	72				
VFTRYOCC_00068	tRNA	72				tRNA-Met(cat)
VFTRYOCC_00069	gene	74				
VFTRYOCC_00069	tRNA	74				tRNA-Pro(tgg)
VFTRYOCC_00070	gene	354				
VFTRYOCC_00070	CDS	354				hypothetical protein
VFTRYOCC_00071	gene	516				
VFTRYOCC_00071	CDS	516				hypothetical protein
VFTRYOCC_00072	gene	1014				
VFTRYOCC_00072	CDS	1014				hypothetical protein
VFTRYOCC_00073	gene	804	dapD			
VFTRYOCC_00073	CDS	804	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
VFTRYOCC_00074	gene	1080	dapE			
VFTRYOCC_00074	CDS	1080	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
VFTRYOCC_00075	gene	1365	thrC			
VFTRYOCC_00075	CDS	1365	thrC	4.2.3.1	COG0498	Threonine synthase
VFTRYOCC_00076	gene	1176				
VFTRYOCC_00076	CDS	1176				hypothetical protein
VFTRYOCC_00077	gene	1266	radA			
VFTRYOCC_00077	CDS	1266	radA			DNA repair protein RadA
VFTRYOCC_00078	gene	165	rpsR			
VFTRYOCC_00078	CDS	165	rpsR		COG0238	30S ribosomal protein S18
VFTRYOCC_00079	gene	279				
VFTRYOCC_00079	CDS	279				hypothetical protein
VFTRYOCC_00080	gene	45				
VFTRYOCC_00080	misc_RNA	45				Histone3
VFTRYOCC_00081	gene	74				
VFTRYOCC_00081	tRNA	74				tRNA-Asp(gtc)
VFTRYOCC_00082	gene	73				
VFTRYOCC_00082	tRNA	73				tRNA-Glu(ttc)
VFTRYOCC_00083	gene	1236	gluQ			
VFTRYOCC_00083	CDS	1236	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
VFTRYOCC_00084	gene	1260	mnmE			
VFTRYOCC_00084	CDS	1260	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
VFTRYOCC_00085	gene	1653	mnmG			
VFTRYOCC_00085	CDS	1653	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
VFTRYOCC_00086	gene	270				
VFTRYOCC_00086	CDS	270				hypothetical protein
VFTRYOCC_00087	gene	1605	groL			
VFTRYOCC_00087	CDS	1605	groL		COG0459	60 kDa chaperonin
VFTRYOCC_00088	gene	1296	aroA			
VFTRYOCC_00088	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
VFTRYOCC_00089	gene	1119				
VFTRYOCC_00089	CDS	1119				hypothetical protein
VFTRYOCC_00090	gene	1107				
VFTRYOCC_00090	CDS	1107				hypothetical protein
