#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFIND2	1257	1634	+	JEEFOD_00010	14.5	10.0	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
VFIND2	1627	2247	+	JEEFOD_00015	24.4	9.8		
VFIND2	2231	2680	+	JEEFOD_00020	18.3	10.2		
VFIND2	2658	3005	+	JEEFOD_00025	13.2	9.6	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFIND2	3002	6868	+	JEEFOD_00030	151.4	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFIND2	6865	10755	+	JEEFOD_00035	152.5	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFIND2	10742	11113	+	JEEFOD_00040	13.7	10.7		
VFIND2	11091	11579	+	JEEFOD_00045	19.2	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFIND2	13603	13899	+	JEEFOD_00055	12.0	10.4	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFIND2	14801	15154	+	JEEFOD_00065	14.4	10.0		
VFIND2	15151	15924	+	JEEFOD_00070	31.9	10.1		
VFIND2	15886	16608	-	JEEFOD_00075	29.1	10.0	PF00398.23|RrnaAD	PFAM:PF00398.23
VFIND2	16592	17704	-	JEEFOD_00080	44.2	10.2		
VFIND2	18087	18392	-	JEEFOD_00090	12.1	10.3		
VFIND2	18389	19195	-	JEEFOD_00095	32.1	10.1	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFIND2	19192	19851	-	JEEFOD_00100	26.0	10.0		
VFIND2	19967	20794	+	JEEFOD_00110	33.4	9.9	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFIND2	20791	21039	+	JEEFOD_00115	10.3	10.5	PF01386.22|Ribosomal_L25p	PFAM:PF01386.22
VFIND2	21029	21568	-	JEEFOD_00120	21.1	10.2	PF05175.17|MTS	PFAM:PF05175.17
VFIND2	21836	22915	+	JEEFOD_00125	41.9	10.0	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF01041.20|DegT_DnrJ_EryC1	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF01041.20
VFIND2	22912	24207	-	JEEFOD_00130	50.8	10.0	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon	PFAM:PF00152.23, PFAM:PF01336.28
VFIND2	24204	24911	-	JEEFOD_00135	27.7	10.1	PF03462.21|PCRF	PFAM:PF03462.21
VFIND2	24880	25779	-	JEEFOD_00140	35.0	10.0	PF00701.25|DHDPS	PFAM:PF00701.25
VFIND2	25785	26684	+	JEEFOD_00145	36.0	10.5		
VFIND2	28066	30426	-	JEEFOD_00155	95.1	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFIND2	30419	30559	-	JEEFOD_00160	5.6	10.5		
VFIND2	30535	30723	-	JEEFOD_00165	7.7	11.9		
VFIND2	30731	32953	+	JEEFOD_00170	88.3	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFIND2	33141	33869	+	JEEFOD_00175	29.4	10.2		
VFIND2	33866	35029	+	JEEFOD_00180	45.4	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFIND2	35012	35914	-	JEEFOD_00185	35.9	10.1	PF03462.21|PCRF	PFAM:PF03462.21
VFIND2	35907	36623	-	JEEFOD_00190	28.6	10.0	PF00218.24|IGPS	PFAM:PF00218.24
VFIND2	36613	37560	-	JEEFOD_00195	37.1	10.2		
VFIND2	37557	38129	-	JEEFOD_00200	22.4	9.7	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
VFIND2	38126	39346	-	JEEFOD_00205	48.4	10.1		
VFIND2	39346	40725	-	JEEFOD_00210	53.4	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
VFIND2	40989	42365	-	JEEFOD_00215	55.4	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFIND2	42328	43317	-	JEEFOD_00220	39.7	10.2		
VFIND2	43319	44629	+	JEEFOD_00225	53.9	10.1	PF01807.23|zf-CHC2, PF13662.9|Toprim_4	PFAM:PF01807.23, PFAM:PF13662.9
VFIND2	46255	49170	+	JEEFOD_00235	115.7	10.1	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFIND2	49501	50256	+	JEEFOD_00250	30.9	9.9		
VFIND2	51233	51829	+	JEEFOD_00260	23.6	9.9	PF00697.25|PRAI	PFAM:PF00697.25
VFIND2	51822	52979	+	JEEFOD_00265	43.8	10.1		
VFIND2	52976	53710	+	JEEFOD_00270	29.2	10.1	PF00290.23|Trp_syntA	PFAM:PF00290.23
VFIND2	53698	53952	+	JEEFOD_00275	9.7	10.8		
VFIND2	53933	54151	+	JEEFOD_00280	8.6	10.4		
VFIND2	54514	55029	-	JEEFOD_00295	20.5	10.3	PF01612.23|DNA_pol_A_exo1, PF13482.9|RNase_H_2, PF16473.8|Rv2179c-like	PFAM:PF01612.23, PFAM:PF13482.9, PFAM:PF16473.8
VFIND2	55087	56091	+	JEEFOD_00300	39.1	10.0	PF00117.31|GATase, PF00988.25|CPSase_sm_chain, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
VFIND2	56084	59152	+	JEEFOD_00305	118.4	9.7	PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFIND2	59095	59643	+	JEEFOD_00310	21.7	9.9		
VFIND2	61427	62182	+	JEEFOD_00325	30.7	9.8	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
VFIND2	62175	63254	+	JEEFOD_00330	42.9	9.9	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
VFIND2	63491	64093	+	JEEFOD_00345	24.0	10.0		
VFIND2	64086	65309	+	JEEFOD_00350	46.9	10.1		
VFIND2	65309	66280	+	JEEFOD_00355	39.2	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFIND2	66800	67399	+	JEEFOD_00365	23.2	9.9	PF00117.31|GATase	PFAM:PF00117.31
VFIND2	67396	68094	+	JEEFOD_00370	27.0	10.5		
VFIND2	68828	69100	+	JEEFOD_00380	10.5	9.9		
VFIND2	69097	69363	+	JEEFOD_00385	10.9	10.2		
VFIND2	70646	70837	-	JEEFOD_00395	7.9	11.4		
VFIND2	70824	71285	-	JEEFOD_00400	18.2	10.1	PF05198.19|IF3_N	PFAM:PF05198.19
VFIND2	73121	73630	-	JEEFOD_00425	20.5	9.9		
VFIND2	73627	73773	-	JEEFOD_00430	6.0	10.1		
VFIND2	73758	74594	-	JEEFOD_00435	33.8	10.1		
VFIND2	74668	75765	+	JEEFOD_00440	43.8	10.2	PF00155.24|Aminotran_1_2, PF04864.16|Alliinase_C	PFAM:PF00155.24, PFAM:PF04864.16
VFIND2	76529	77572	+	JEEFOD_00450	39.9	10.0	PF07687.17|M20_dimer	PFAM:PF07687.17
VFIND2	77569	78897	-	JEEFOD_00455	52.1	10.0	PF14821.9|Thr_synth_N	PFAM:PF14821.9
VFIND2	78894	80066	-	JEEFOD_00460	46.9	10.3	PF00742.22|Homoserine_dh	PFAM:PF00742.22
VFIND2	80066	81337	-	JEEFOD_00465	49.7	9.8	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase, PF13481.9|AAA_25	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16, PFAM:PF13481.9
