#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFDICPAN5	1268	1660	+	GDGHOP_00010	14.4	10.3	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
VFDICPAN5	1627	2211	+	GDGHOP_00015	22.1	10.4		
VFDICPAN5	2208	2684	+	GDGHOP_00020	18.1	10.6		
VFDICPAN5	2653	3003	+	GDGHOP_00025	13.3	8.8	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFDICPAN5	3000	6680	+	GDGHOP_00030	141.8	10.1	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFDICPAN5	6677	10444	+	GDGHOP_00035	144.2	10.0	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFDICPAN5	10441	10827	+	GDGHOP_00040	14.7	10.7		
VFDICPAN5	10802	11275	+	GDGHOP_00045	18.6	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFDICPAN5	13299	13604	+	GDGHOP_00055	11.8	11.6	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFDICPAN5	14098	14439	+	GDGHOP_00065	13.3	9.9		
VFDICPAN5	14417	15127	-	GDGHOP_00070	27.9	6.2	PF00398.23|RrnaAD	PFAM:PF00398.23
VFDICPAN5	15118	16200	-	GDGHOP_00075	41.3	9.6		
VFDICPAN5	16201	16593	-	GDGHOP_00080	14.9	10.7		
VFDICPAN5	16580	16888	-	GDGHOP_00085	11.9	10.4		
VFDICPAN5	16866	17690	-	GDGHOP_00090	31.3	9.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFDICPAN5	17690	18241	-	GDGHOP_00095	20.7	9.8		
VFDICPAN5	18721	19578	+	GDGHOP_00100	33.1	10.0	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
VFDICPAN5	19559	20059	+	GDGHOP_00105	19.7	10.3		
VFDICPAN5	20045	20590	-	GDGHOP_00110	20.6	9.8		
VFDICPAN5	20926	22053	+	GDGHOP_00115	42.6	10.1	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFDICPAN5	22025	23299	-	GDGHOP_00120	49.2	9.1	PF00152.23|tRNA-synt_2, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01409.23
VFDICPAN5	23299	23985	-	GDGHOP_00125	25.9	9.9	PF03462.21|PCRF	PFAM:PF03462.21
VFDICPAN5	23972	24877	-	GDGHOP_00130	35.0	8.2	PF00701.25|DHDPS	PFAM:PF00701.25
VFDICPAN5	24881	25816	+	GDGHOP_00135	36.3	10.2		
VFDICPAN5	27251	29446	-	GDGHOP_00145	85.3	9.3	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFDICPAN5	29443	29592	-	GDGHOP_00150	5.9	10.6		
VFDICPAN5	29764	31941	+	GDGHOP_00155	84.2	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFDICPAN5	32142	32807	+	GDGHOP_00160	26.1	10.1		
VFDICPAN5	32798	33925	+	GDGHOP_00165	43.2	9.9	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFDICPAN5	33915	34778	-	GDGHOP_00170	32.8	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFDICPAN5	34775	35515	-	GDGHOP_00175	28.9	9.7	PF00218.24|IGPS	PFAM:PF00218.24
VFDICPAN5	35515	36522	-	GDGHOP_00180	38.1	9.7		
