gene_callers_id	source	accession	function	e_value
1	Prokka:Aragorn		tRNA-Trp(cca)	0
2	Prokka:Prodigal	rplK	50S ribosomal protein L11	0
3	Prokka:Prodigal			0
4	Prokka:Prodigal			0
5	Prokka:Prodigal	rplL	50S ribosomal protein L7/L12	0
6	Prokka:Prodigal	rpoB	DNA-directed RNA polymerase subunit beta	0
7	Prokka:Prodigal	rpoC	DNA-directed RNA polymerase subunit beta'	0
8	Prokka:Prodigal	rpsL	30S ribosomal protein S12	0
9	Prokka:Prodigal	rpsG	30S ribosomal protein S7	0
10	Prokka:Prodigal	fusA	Elongation factor G	0
11	Prokka:Prodigal	rpsJ	30S ribosomal protein S10	0
12	Prokka:Aragorn		tRNA-Phe(gaa)	0
13	Prokka:Prodigal			0
14	Prokka:Prodigal	rsmA	Ribosomal RNA small subunit methyltransferase A	0
15	Prokka:Prodigal			0
16	Prokka:Prodigal	rpsI	30S ribosomal protein S9	0
17	Prokka:Prodigal			0
18	Prokka:Prodigal	dapF	Diaminopimelate epimerase	0
19	Prokka:Prodigal	rpiA	Ribose-5-phosphate isomerase A	0
20	Prokka:Prodigal	infB	Translation initiation factor IF-2	0
21	Prokka:Aragorn		tRNA-Gln(ttg)	0
22	Prokka:Prodigal			0
23	Prokka:Prodigal	rsmD	Ribosomal RNA small subunit methyltransferase D	0
24	Prokka:Prodigal	iscS	Cysteine desulfurase IscS	0
25	Prokka:Prodigal	lysS	Lysine--tRNA ligase	0
26	Prokka:Prodigal	prfB	Peptide chain release factor RF2	0
27	Prokka:Prodigal	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0
28	Prokka:Aragorn		tRNA-Ser(gct)	0
29	Prokka:Prodigal			0
30	Prokka:Prodigal			0
31	Prokka:Prodigal	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0
32	Prokka:Prodigal			0
33	Prokka:Prodigal	metC	Cystathionine beta-lyase	0
34	Prokka:Prodigal	prfA	Peptide chain release factor RF1	0
35	Prokka:Prodigal	trpG	Anthranilate synthase component 2	0
36	Prokka:Prodigal	menF	Isochorismate synthase MenF	0
37	Prokka:Prodigal	gluQ	Glutamyl-Q tRNA(Asp) synthetase	0
38	Prokka:Prodigal	thrB	Homoserine kinase	0
39	Prokka:Prodigal	rpoD	RNA polymerase sigma factor RpoD	0
40	Prokka:Prodigal	dnaE	DNA polymerase III subunit alpha	0
41	Prokka:Prodigal	rpsO	30S ribosomal protein S15	0
42	Prokka:Prodigal			0
43	Prokka:Prodigal	asd	Aspartate-semialdehyde dehydrogenase	0
44	Prokka:Prodigal			0
45	Prokka:Prodigal			0
46	Prokka:Aragorn		tRNA-Asn(gtt)	0
47	Prokka:Aragorn		tRNA-Cys(gca)	0
48	Prokka:Aragorn		tRNA-Gly(gcc)	0
49	Prokka:Prodigal	rlmE	Ribosomal RNA large subunit methyltransferase E	0
50	Prokka:Prodigal	clpP	ATP-dependent Clp protease proteolytic subunit	0
51	Prokka:Aragorn		tRNA-Val(tac)	0
52	Prokka:Prodigal			0
53	Prokka:Prodigal	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	0
54	Prokka:Aragorn		tRNA-Ser(tga)	0
55	Prokka:Prodigal	hisG	ATP phosphoribosyltransferase	0
56	Prokka:Prodigal	hisD	Histidinol dehydrogenase	0
57	Prokka:Prodigal	hisC	Histidinol-phosphate aminotransferase	0
58	Prokka:Prodigal	hisB	Histidine biosynthesis bifunctional protein HisB	0
59	Prokka:Prodigal	hisH	Imidazole glycerol phosphate synthase subunit HisH	0
60	Prokka:Prodigal	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	0
61	Prokka:Prodigal	hisF	Imidazole glycerol phosphate synthase subunit HisF	0
62	Prokka:Prodigal	hisI_1	Phosphoribosyl-AMP cyclohydrolase	0
63	Prokka:Prodigal	hisI_2	Histidine biosynthesis bifunctional protein HisIE	0
64	Prokka:Aragorn		tRNA-His(gtg)	0
65	Prokka:Aragorn		tRNA-Lys(ttt)	0
66	Prokka:Prodigal			0
67	Prokka:Prodigal	infC	Translation initiation factor IF-3	0
68	Prokka:Aragorn		tRNA-Val(aac)	0
69	Prokka:Aragorn		tRNA-Arg(tct)	0
70	Prokka:Aragorn		tRNA-Met(cat)	0
71	Prokka:Aragorn		tRNA-Pro(tgg)	0
72	Prokka:Prodigal			0
73	Prokka:Prodigal			0
74	Prokka:Prodigal	aspC	Aspartate aminotransferase	0
75	Prokka:Prodigal	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0
76	Prokka:Prodigal	dapE	Succinyl-diaminopimelate desuccinylase	0
77	Prokka:Prodigal	thrC	Threonine synthase	0
78	Prokka:Prodigal			0
