# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFAKOQUE	tRNA	1195	1265	+	LJGPAC_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFAKOQUE	cds	1690	2277	+	LJGPAC_00010		hypothetical protein	
VFAKOQUE	cds	2274	2714	+	LJGPAC_00015		hypothetical protein	
VFAKOQUE	cds	2798	3157	+	LJGPAC_00020		hypothetical protein	PFAM:PF00542.22
VFAKOQUE	cds	3157	6993	+	LJGPAC_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFAKOQUE	cds	6990	10925	+	LJGPAC_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04997.15, PFAM:PF04998.20
VFAKOQUE	cds	10913	11308	+	LJGPAC_00035		hypothetical protein	
VFAKOQUE	cds	11289	11762	+	LJGPAC_00040		hypothetical protein	PFAM:PF00177.24
VFAKOQUE	cds	11766	13844	+	LJGPAC_00045		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFAKOQUE	cds	13876	14178	+	LJGPAC_00050		hypothetical protein	PFAM:PF00338.25
VFAKOQUE	cds	14172	14597	+	LJGPAC_00055		hypothetical protein	PFAM:PF01327.24
VFAKOQUE	tRNA	14601	14672	+	LJGPAC_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFAKOQUE	cds	14766	15209	+	LJGPAC_00065		hypothetical protein	
VFAKOQUE	cds	15324	16448	+	LJGPAC_00070		hypothetical protein	
VFAKOQUE	cds	16482	16859	+	LJGPAC_00075		hypothetical protein	
VFAKOQUE	cds	16893	17282	+	LJGPAC_00080		hypothetical protein	
VFAKOQUE	cds	17272	18093	-	LJGPAC_00085		hypothetical protein	PFAM:PF01678.22
VFAKOQUE	cds	18086	18748	-	LJGPAC_00090		hypothetical protein	
VFAKOQUE	cds	18741	20129	-	LJGPAC_00095		hypothetical protein	PFAM:PF00009.30, PFAM:PF00071.25, PFAM:PF08477.16
VFAKOQUE	tRNA	20189	20260	+	LJGPAC_00100	trnQ	tRNA-Gln(ttg)	SO:0000261
VFAKOQUE	cds	20281	21177	+	LJGPAC_00105		hypothetical protein	PFAM:PF00156.30, PFAM:PF13793.9, PFAM:PF14572.9
VFAKOQUE	cds	21174	21716	+	LJGPAC_00110		hypothetical protein	
VFAKOQUE	cds	21718	22281	-	LJGPAC_00115		hypothetical protein	PFAM:PF01564.20, PFAM:PF05175.17
VFAKOQUE	cds	22550	23623	+	LJGPAC_00120		hypothetical protein	PFAM:PF00266.22
VFAKOQUE	cds	23616	24932	-	LJGPAC_00125		hypothetical protein	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFAKOQUE	cds	24913	25632	-	LJGPAC_00130		hypothetical protein	PFAM:PF03462.21
VFAKOQUE	cds	25586	26497	-	LJGPAC_00135		hypothetical protein	PFAM:PF00701.25
VFAKOQUE	cds	26509	27450	+	LJGPAC_00140		hypothetical protein	
VFAKOQUE	tRNA	28617	28699	+	LJGPAC_00145	trnS	tRNA-Ser(gct)	SO:0000269
VFAKOQUE	cds	31200	33689	+	LJGPAC_00150		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFAKOQUE	cds	33957	34667	+	LJGPAC_00155		hypothetical protein	
VFAKOQUE	cds	34664	35452	+	LJGPAC_00160		hypothetical protein	PFAM:PF01053.23
VFAKOQUE	cds	35628	35726	-	LJGPAC_00165		hypothetical protein	
VFAKOQUE	cds	35774	37135	-	LJGPAC_00170		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFAKOQUE	cds	37429	38814	-	LJGPAC_00175		hypothetical protein	PFAM:PF00749.24
VFAKOQUE	cds	38811	39779	-	LJGPAC_00180		hypothetical protein	
VFAKOQUE	cds	39783	41249	+	LJGPAC_00185		hypothetical protein	PFAM:PF01807.23
VFAKOQUE	tRNA	42627	42871	+	LJGPAC_00190		tRNA-Xxx	
VFAKOQUE	cds	42900	45920	+	LJGPAC_00195		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFAKOQUE	tRNA	46081	46153	+	LJGPAC_00200	trnL	tRNA-Leu(aag)	SO:0000264
VFAKOQUE	tRNA	46155	46227	+	LJGPAC_00205	trnL	tRNA-Leu(tag)	SO:0000264
VFAKOQUE	tRNA	46229	46311	+	LJGPAC_00210	trnS	tRNA-Ser(aga)	SO:0000269
VFAKOQUE	cds	46327	47124	+	LJGPAC_00215		hypothetical protein	PFAM:PF02219.20
VFAKOQUE	cds	47114	48181	+	LJGPAC_00220		hypothetical protein	PFAM:PF02774.21
VFAKOQUE	cds	48216	48488	+	LJGPAC_00225		hypothetical protein	
VFAKOQUE	cds	48469	48690	+	LJGPAC_00230		hypothetical protein	
