locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFKELVIT_00001	CDS	126				hypothetical protein
VFKELVIT_00002	CDS	828	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFKELVIT_00003	CDS	1134		2.7.2.4	COG0527	Aspartate kinase
VFKELVIT_00004	CDS	2259	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFKELVIT_00005	CDS	717				hypothetical protein
VFKELVIT_00006	CDS	1128	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
VFKELVIT_00007	CDS	705	prfA		COG0216	Peptide chain release factor 1
VFKELVIT_00008	CDS	261				hypothetical protein
VFKELVIT_00009	CDS	129				hypothetical protein
VFKELVIT_00010	CDS	90				hypothetical protein
VFKELVIT_00011	CDS	177				hypothetical protein
VFKELVIT_00012	CDS	1476	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFKELVIT_00013	CDS	270				hypothetical protein
VFKELVIT_00014	CDS	1164	rpoD			RNA polymerase sigma factor RpoD
VFKELVIT_00015	CDS	2787	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFKELVIT_00016	CDS	144				hypothetical protein
VFKELVIT_00017	CDS	720				hypothetical protein
VFKELVIT_00018	CDS	969	asd1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 1
VFKELVIT_00019	CDS	294				hypothetical protein
VFKELVIT_00020	CDS	345				hypothetical protein
VFKELVIT_00021	CDS	117				hypothetical protein
VFKELVIT_00022	CDS	240				hypothetical protein
VFKELVIT_00023	CDS	183				hypothetical protein
VFKELVIT_00024	CDS	663				hypothetical protein
VFKELVIT_00025	CDS	513	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
VFKELVIT_00026	CDS	1041	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VFKELVIT_00027	CDS	3108	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
