gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFRR05105	1057	1130	f	1	2	Aragorn	001002
2	VFRR05105	1130	1218	f	1	2	Aragorn	001002
3	VFRR05105	1215	1288	f	1	2	Aragorn	001002
4	VFRR05105	2482	2555	f	1	2	Aragorn	001002
5	VFRR05105	2561	2969	f	0	1	Prodigal	002006
6	VFRR05105	2970	3576	f	0	1	Prodigal	002006
7	VFRR05105	3572	4031	f	0	1	Prodigal	002006
8	VFRR05105	4005	4356	f	0	1	Prodigal	002006
9	VFRR05105	4348	8125	f	0	1	Prodigal	002006
10	VFRR05105	8117	12029	f	0	1	Prodigal	002006
11	VFRR05105	11979	12372	f	0	1	Prodigal	002006
12	VFRR05105	12346	12820	f	0	1	Prodigal	002006
13	VFRR05105	12819	14910	f	0	1	Prodigal	002006
14	VFRR05105	14899	15202	f	0	1	Prodigal	002006
15	VFRR05105	15625	15698	f	1	2	Aragorn	001002
16	VFRR05105	15706	16057	f	0	1	Prodigal	002006
17	VFRR05105	16037	16742	r	0	1	Prodigal	002006
18	VFRR05105	16734	17808	r	0	1	Prodigal	002006
19	VFRR05105	17807	18197	r	0	1	Prodigal	002006
20	VFRR05105	18196	18493	r	0	1	Prodigal	002006
21	VFRR05105	18476	19265	r	0	1	Prodigal	002006
22	VFRR05105	19287	19821	r	0	1	Prodigal	002006
23	VFRR05105	19912	19987	f	0	2	Aragorn	001002
24	VFRR05105	19993	20875	f	0	1	Prodigal	002006
25	VFRR05105	20849	21359	f	0	1	Prodigal	002006
26	VFRR05105	21348	21897	r	0	1	Prodigal	002006
27	VFRR05105	21893	22061	r	0	1	Prodigal	002006
28	VFRR05105	22219	23347	f	0	1	Prodigal	002006
29	VFRR05105	23343	24603	r	0	1	Prodigal	002006
30	VFRR05105	24599	25289	r	0	1	Prodigal	002006
31	VFRR05105	25275	26145	r	0	1	Prodigal	002006
32	VFRR05105	26156	27110	f	0	1	Prodigal	002006
33	VFRR05105	27106	28285	f	0	1	Prodigal	002006
34	VFRR05105	28285	28370	f	1	2	Aragorn	001002
35	VFRR05105	28583	30794	r	0	1	Prodigal	002006
36	VFRR05105	30790	30943	r	0	1	Prodigal	002006
37	VFRR05105	31006	33334	f	0	1	Prodigal	002006
38	VFRR05105	33540	34248	f	0	1	Prodigal	002006
39	VFRR05105	34244	35414	f	0	1	Prodigal	002006
40	VFRR05105	35406	36267	r	0	1	Prodigal	002006
41	VFRR05105	36263	37004	r	0	1	Prodigal	002006
42	VFRR05105	36975	38010	r	0	1	Prodigal	002006
43	VFRR05105	37987	38554	r	0	1	Prodigal	002006
44	VFRR05105	38550	39777	r	0	1	Prodigal	002006
45	VFRR05105	39773	41159	r	0	1	Prodigal	002006
46	VFRR05105	41673	43071	r	0	1	Prodigal	002006
47	VFRR05105	43042	44023	r	0	1	Prodigal	002006
48	VFRR05105	44448	45861	f	0	1	Prodigal	002006
49	VFRR05105	46095	49071	f	0	1	Prodigal	002006
50	VFRR05105	49217	49302	f	1	2	Aragorn	001002
51	VFRR05105	49302	49375	f	1	2	Aragorn	001002
52	VFRR05105	49374	49460	f	1	2	Aragorn	001002
53	VFRR05105	50243	51299	f	0	1	Prodigal	002006
54	VFRR05105	51261	51894	f	0	1	Prodigal	002006
55	VFRR05105	51874	53020	f	0	1	Prodigal	002006
56	VFRR05105	53035	53764	f	0	1	Prodigal	002006
57	VFRR05105	53711	53975	f	0	1	Prodigal	002006
58	VFRR05105	53955	54186	f	0	1	Prodigal	002006
59	VFRR05105	54186	54261	r	0	2	Aragorn	001002
60	VFRR05105	54884	54956	r	0	2	Aragorn	001002
61	VFRR05105	54960	55033	r	1	2	Aragorn	001002
62	VFRR05105	55544	56627	f	0	1	Prodigal	002006
63	VFRR05105	56608	59728	f	0	1	Prodigal	002006
64	VFRR05105	59666	60266	f	0	1	Prodigal	002006
65	VFRR05105	60267	60828	f	0	1	Prodigal	002006
66	VFRR05105	62014	62087	f	1	2	Aragorn	001002
67	VFRR05105	62136	62871	f	0	1	Prodigal	002006
68	VFRR05105	63898	63979	r	0	2	Aragorn	001002
69	VFRR05105	63979	64065	r	1	2	Aragorn	001002
70	VFRR05105	64134	64731	f	0	1	Prodigal	002006
71	VFRR05105	64727	65999	f	0	1	Prodigal	002006
72	VFRR05105	65985	66990	f	0	1	Prodigal	002006
73	VFRR05105	66955	67534	f	0	1	Prodigal	002006
74	VFRR05105	67533	68118	f	0	1	Prodigal	002006
75	VFRR05105	68111	68819	f	0	1	Prodigal	002006
76	VFRR05105	68805	69570	f	0	1	Prodigal	002006
77	VFRR05105	69566	69851	f	0	1	Prodigal	002006
78	VFRR05105	70116	70187	f	1	2	Aragorn	001002
79	VFRR05105	70189	70263	f	1	2	Aragorn	001002
80	VFRR05105	71108	71181	r	1	2	Aragorn	001002
81	VFRR05105	71190	71532	r	0	1	Prodigal	002006
82	VFRR05105	71524	71689	r	0	1	Prodigal	002006
83	VFRR05105	71669	71984	r	0	1	Prodigal	002006
84	VFRR05105	72065	72139	r	1	2	Aragorn	001002
85	VFRR05105	73197	73270	r	1	2	Aragorn	001002
86	VFRR05105	73382	73457	r	0	2	Aragorn	001002
87	VFRR05105	73598	73670	f	0	2	Aragorn	001002
88	VFRR05105	74008	74512	r	0	1	Prodigal	002006
89	VFRR05105	74508	75537	r	0	1	Prodigal	002006
90	VFRR05105	75547	76606	f	0	1	Prodigal	002006
91	VFRR05105	76583	77369	f	0	1	Prodigal	002006
92	VFRR05105	77368	78451	f	0	1	Prodigal	002006
93	VFRR05105	78511	79894	r	0	1	Prodigal	002006
94	VFRR05105	79890	81135	r	0	1	Prodigal	002006
95	VFRR05105	81210	81333	r	0	1	Prodigal	002006
96	VFRR05105	81325	82612	r	0	1	Prodigal	002006
97	VFRR05105	82604	82787	r	0	1	Prodigal	002006
98	VFRR05105	82779	83085	r	0	1	Prodigal	002006
99	VFRR05105	83348	83422	r	1	2	Aragorn	001002
100	VFRR05105	83421	83494	r	1	2	Aragorn	001002
101	VFRR05105	84928	86041	f	0	1	Prodigal	002006
102	VFRR05105	86041	87850	f	0	1	Prodigal	002006
103	VFRR05105	87906	88191	f	0	1	Prodigal	002006
104	VFRR05105	88187	89777	f	0	1	Prodigal	002006
105	VFRR05105	89788	91132	f	0	1	Prodigal	002006
106	VFRR05105	91106	92162	f	0	1	Prodigal	002006
107	VFRR05105	92150	93242	r	0	1	Prodigal	002006
108	VFRR05105	93260	93956	f	0	1	Prodigal	002006
109	VFRR05105	93941	94970	r	0	1	Prodigal	002006
110	VFRR05105	94972	96784	r	0	1	Prodigal	002006
111	VFRR05105	96783	97212	r	0	1	Prodigal	002006
112	VFRR05105	97271	98240	f	0	1	Prodigal	002006
113	VFRR05105	98232	99252	r	0	1	Prodigal	002006
114	VFRR05105	99248	99728	r	0	1	Prodigal	002006
115	VFRR05105	99714	101886	r	0	1	Prodigal	002006
116	VFRR05105	101896	102550	r	0	1	Prodigal	002006
117	VFRR05105	102539	103760	r	0	1	Prodigal	002006
118	VFRR05105	103749	104496	r	0	1	Prodigal	002006
119	VFRR05105	104506	104902	f	0	1	Prodigal	002006
120	VFRR05105	104898	105132	r	0	1	Prodigal	002006
121	VFRR05105	105106	105427	r	0	1	Prodigal	002006
122	VFRR05105	106197	106269	r	0	2	Aragorn	001002
123	VFRR05105	106270	107512	f	0	1	Prodigal	002006
124	VFRR05105	107649	110420	r	1	2	barrnap	0.9
125	VFRR05105	110435	110507	r	0	2	Aragorn	001002
126	VFRR05105	110520	112007	r	1	2	barrnap	0.9
127	VFRR05105	112119	112578	f	0	1	Prodigal	002006
128	VFRR05105	112574	113180	f	0	1	Prodigal	002006
129	VFRR05105	113157	113373	f	0	1	Prodigal	002006
130	VFRR05105	113359	114166	f	0	1	Prodigal	002006
131	VFRR05105	114165	114417	f	0	1	Prodigal	002006
132	VFRR05105	114413	114734	f	0	1	Prodigal	002006
133	VFRR05105	114735	115350	f	0	1	Prodigal	002006
134	VFRR05105	115333	115732	f	0	1	Prodigal	002006
135	VFRR05105	115728	115959	f	0	1	Prodigal	002006
136	VFRR05105	115931	116321	f	0	1	Prodigal	002006
137	VFRR05105	116317	116848	f	0	1	Prodigal	002006
138	VFRR05105	116847	117123	f	0	1	Prodigal	002006
139	VFRR05105	117122	117506	f	0	1	Prodigal	002006
140	VFRR05105	117498	118029	f	0	1	Prodigal	002006
141	VFRR05105	118025	118322	f	0	1	Prodigal	002006
142	VFRR05105	118453	118735	f	0	1	Prodigal	002006
143	VFRR05105	118750	119095	f	0	1	Prodigal	002006
144	VFRR05105	119084	119303	f	0	1	Prodigal	002006
145	VFRR05105	119299	119413	f	0	1	Prodigal	002006
146	VFRR05105	119409	119748	f	0	1	Prodigal	002006
147	VFRR05105	119744	120089	f	0	1	Prodigal	002006
148	VFRR05105	120088	120622	f	0	1	Prodigal	002006
149	VFRR05105	120618	121479	f	0	1	Prodigal	002006
150	VFRR05105	121478	121811	f	0	1	Prodigal	002006
151	VFRR05105	121807	121951	f	0	1	Prodigal	002006
152	VFRR05105	121931	123032	r	0	1	Prodigal	002006
