#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1707	2327	+	VFRANEDI_00015	24.0	9.7		
contig_1	2311	2763	+	VFRANEDI_00020	17.2	9.9		
contig_1	14785	15135	-	VFRANEDI_00065	14.1	10.1		
contig_1	15495	16583	-	VFRANEDI_00070	42.9	10.2		
contig_1	18056	18604	-	VFRANEDI_00090	21.4	10.2		
contig_1	19831	20331	+	VFRANEDI_00100	19.9	9.8		
contig_1	22333	23604	-	VFRANEDI_00120	50.0	9.9	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	26107	27279	+	VFRANEDI_00140	44.1	9.5		
contig_1	29867	30019	-	VFRANEDI_00155	6.1	11.1		
contig_1	30022	30189	-	VFRANEDI_00160	6.6	11.8		
contig_1	30199	32391	+	VFRANEDI_00165	84.4	9.4	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	32353	32454	-	VFRANEDI_00170	3.8	11.8		
contig_1	32562	33356	+	VFRANEDI_00175	31.6	10.0		
contig_1	35368	36114	-	VFRANEDI_00190	29.5	10.3	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	36102	37127	-	VFRANEDI_00195	40.1	10.4		
contig_1	40757	40882	+	VFRANEDI_00215	4.8	9.4		
contig_1	41558	42928	-	VFRANEDI_00220	54.6	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	55246	55512	+	VFRANEDI_00275	10.5	10.5		
contig_1	55490	55723	+	VFRANEDI_00280	9.0	10.1		
contig_1	56306	56470	+	VFRANEDI_00295	6.4	10.5		
contig_1	56596	56949	+	VFRANEDI_00305	13.3	9.2		
contig_1	62397	63569	+	VFRANEDI_00330	43.6	9.5	PF00004.32|AAA, PF06689.16|zf-C4_ClpX, PF07724.17|AAA_2, PF10431.12|ClpB_D2-small	PFAM:PF00004.32, PFAM:PF06689.16, PFAM:PF07724.17, PFAM:PF10431.12
contig_1	69704	70396	+	VFRANEDI_00375	25.8	9.8		
contig_1	73216	73362	-	VFRANEDI_00405	6.1	11.9		
contig_1	73359	73631	-	VFRANEDI_00410	10.6	10.6	PF00707.25|IF3_C	PFAM:PF00707.25
contig_1	75118	75462	+	VFRANEDI_00435	13.2	10.2		
contig_1	75442	75939	-	VFRANEDI_00440	19.7	10.1		
contig_1	75936	76958	-	VFRANEDI_00445	41.0	10.1		
contig_1	81371	82561	-	VFRANEDI_00470	45.7	10.4	PF00742.22|Homoserine_dh	PFAM:PF00742.22
contig_1	82554	83825	-	VFRANEDI_00475	48.6	9.7	PF00772.24|DnaB, PF03796.18|DnaB_C	PFAM:PF00772.24, PFAM:PF03796.18
contig_1	89059	89316	+	VFRANEDI_00510	9.9	9.9	PF00166.24|Cpn10	PFAM:PF00166.24
contig_1	90965	92248	+	VFRANEDI_00520	50.0	10.0		
contig_1	92229	93287	+	VFRANEDI_00525	41.4	10.2		
contig_1	93279	94367	-	VFRANEDI_00530	43.1	9.8		
contig_1	94406	95044	+	VFRANEDI_00535	24.5	9.6		
contig_1	99313	100317	-	VFRANEDI_00560	38.3	10.2	PF03054.19|tRNA_Me_trans, PF20258.1|tRNA_Me_trans_C	PFAM:PF03054.19, PFAM:PF20258.1
contig_1	100310	100816	-	VFRANEDI_00565	19.4	10.2		
contig_1	103007	103648	-	VFRANEDI_00575	24.6	10.8	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
contig_1	103641	104861	-	VFRANEDI_00580	46.0	9.5	PF00390.22|malic, PF03949.18|Malic_M	PFAM:PF00390.22, PFAM:PF03949.18
contig_1	104858	105577	-	VFRANEDI_00585	28.0	10.2	PF08501.14|Shikimate_dh_N	PFAM:PF08501.14
contig_1	113730	114320	+	VFRANEDI_00635	22.9	10.1		
contig_1	114320	114532	+	VFRANEDI_00640	8.5	10.5		
contig_1	115586	115915	+	VFRANEDI_00655	13.0	10.6		
contig_1	115916	116515	+	VFRANEDI_00660	23.0	9.6	PF00189.23|Ribosomal_S3_C	PFAM:PF00189.23
contig_1	118652	119212	+	VFRANEDI_00695	21.8	10.1		
contig_1	119172	119507	+	VFRANEDI_00700	13.6	10.3		
contig_1	119509	119946	+	VFRANEDI_00705	16.3	10.2	PF03719.18|Ribosomal_S5_C	PFAM:PF03719.18
contig_1	121274	121804	+	VFRANEDI_00735	20.9	10.4	PF01479.28|S4	PFAM:PF01479.28
contig_1	121807	122676	+	VFRANEDI_00740	33.7	9.5		
contig_1	122673	123023	+	VFRANEDI_00745	13.5	11.1		
contig_1	122992	123129	+	VFRANEDI_00750	5.3	10.0		
contig_1	124253	124654	+	VFRANEDI_00760	15.8	9.1	PF01202.25|SKI	PFAM:PF01202.25
