gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFTETMAC	1177	1251	f	1	2	Aragorn	001002
2	VFTETMAC	1257	1641	f	0	1	Prodigal	002006
3	VFTETMAC	1630	2272	f	0	1	Prodigal	002006
4	VFTETMAC	2264	2714	f	0	1	Prodigal	002006
5	VFTETMAC	2691	3048	f	0	1	Prodigal	002006
6	VFTETMAC	3044	6941	f	0	1	Prodigal	002006
7	VFTETMAC	6916	10840	f	0	1	Prodigal	002006
8	VFTETMAC	10836	11232	f	0	1	Prodigal	002006
9	VFTETMAC	11200	11674	f	0	1	Prodigal	002006
10	VFTETMAC	11673	13722	f	0	1	Prodigal	002006
11	VFTETMAC	13709	14006	f	0	1	Prodigal	002006
12	VFTETMAC	14414	14489	f	0	2	Aragorn	001002
13	VFTETMAC	14496	14832	f	0	1	Prodigal	002006
14	VFTETMAC	14824	15520	r	0	1	Prodigal	002006
15	VFTETMAC	15516	16620	r	0	1	Prodigal	002006
16	VFTETMAC	16616	17000	r	0	1	Prodigal	002006
17	VFTETMAC	17005	17341	r	0	1	Prodigal	002006
18	VFTETMAC	17327	18131	r	0	1	Prodigal	002006
19	VFTETMAC	18131	18770	r	0	1	Prodigal	002006
20	VFTETMAC	18759	20292	r	0	1	Prodigal	002006
21	VFTETMAC	20326	20400	f	1	2	Aragorn	001002
22	VFTETMAC	21277	21772	f	0	1	Prodigal	002006
23	VFTETMAC	21768	22329	r	0	1	Prodigal	002006
24	VFTETMAC	22424	23549	f	0	1	Prodigal	002006
25	VFTETMAC	23552	24854	r	0	1	Prodigal	002006
26	VFTETMAC	24857	25556	r	0	1	Prodigal	002006
27	VFTETMAC	25533	26442	r	0	1	Prodigal	002006
28	VFTETMAC	28555	28639	f	0	2	Aragorn	001002
29	VFTETMAC	28859	29000	r	0	1	Prodigal	002006
30	VFTETMAC	28981	29176	r	0	1	Prodigal	002006
31	VFTETMAC	29195	31412	f	0	1	Prodigal	002006
32	VFTETMAC	31624	32371	f	0	1	Prodigal	002006
