GENE000013_Prokka:VFUGYLON_00013|12953_13391_1|	GENE000012_Prokka:VFSTEMIN_00012|13502_13838_1|	0.439	105	58	0	39	143	5	109	3.289E-22	85
GENE000032_Prokka:VFUGYLON_00032|26846_27980_1|	GENE000035_Prokka:VFSTEMIN_00036|32840_34001_1|	0.485	378	190	0	4	373	5	382	4.422E-110	351
GENE000015_Prokka:VFUGYLON_00015|14139_14610_-1|	GENE000014_Prokka:VFSTEMIN_00014|13931_14387_-1|	0.396	154	90	0	1	154	1	150	1.129E-30	110
GENE000016_Prokka:VFUGYLON_00016|14609_14978_-1|	GENE000015_Prokka:VFSTEMIN_00015|14392_14689_-1|	0.505	83	40	0	41	122	16	98	1.781E-19	76
GENE000017_Prokka:VFUGYLON_00017|14971_15244_-1|	GENE000016_Prokka:VFSTEMIN_00016|14756_15074_-1|	0.411	89	51	0	1	87	12	100	4.423E-13	56
GENE000018_Prokka:VFUGYLON_00018|15233_16004_-1|	GENE000017_Prokka:VFSTEMIN_00017|15030_15861_-1|	0.336	240	154	0	3	235	16	255	1.140E-35	129
GENE000020_Prokka:VFUGYLON_00020|16646_17522_1|	GENE000020_Prokka:VFSTEMIN_00020|17803_18652_1|	0.336	286	182	0	6	291	2	276	2.745E-39	141
GENE000057_Prokka:VFUGYLON_00059|50455_50926_-1|	GENE000061_Prokka:VFSTEMIN_00062|55538_55988_-1|	0.456	149	81	0	1	149	1	149	7.199E-36	125
GENE000058_Prokka:VFUGYLON_00060|50925_51972_-1|	GENE000062_Prokka:VFSTEMIN_00063|55989_57030_-1|	0.550	344	154	0	3	346	2	344	7.028E-128	401
GENE000062_Prokka:VFUGYLON_00067|54788_55532_1|	GENE000067_Prokka:VFSTEMIN_00070|59179_59914_1|	0.491	237	117	0	16	246	7	243	6.285E-71	231
GENE000063_Prokka:VFUGYLON_00068|55528_56530_1|	GENE000068_Prokka:VFSTEMIN_00071|59907_60969_1|	0.413	338	193	0	4	333	4	341	3.633E-70	233
GENE000064_Prokka:VFUGYLON_00069|56521_57808_-1|	GENE000069_Prokka:VFSTEMIN_00072|60925_62200_-1|	0.413	426	247	0	1	426	1	422	1.308E-100	326
GENE000065_Prokka:VFUGYLON_00070|57804_58896_-1|	GENE000070_Prokka:VFSTEMIN_00073|62196_63315_-1|	0.317	358	240	0	3	354	4	361	1.443E-49	174
GENE000066_Prokka:VFUGYLON_00071|58892_60077_-1|	GENE000071_Prokka:VFSTEMIN_00074|63311_64451_-1|	0.369	390	237	0	5	394	3	379	2.881E-70	236
GENE000009_Prokka:VFUGYLON_00009|9956_10421_1|	GENE000009_Prokka:VFSTEMIN_00009|10370_10835_1|	0.474	139	73	0	15	153	13	151	2.261E-39	135
