#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFUGYLON	1	1191	+	DLCBFI_00005	44.4	9.4	PF00009.30|GTP_EFTU, PF03143.20|GTP_EFTU_D3, PF03144.28|GTP_EFTU_D2	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFUGYLON	1188	1565	+	DLCBFI_00010	14.2	9.9	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFUGYLON	1555	2112	+	DLCBFI_00015	21.9	9.7		
VFUGYLON	2105	2548	+	DLCBFI_00020	17.8	9.9		
VFUGYLON	2526	2852	+	DLCBFI_00025	12.5	8.9	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFUGYLON	2849	6118	+	DLCBFI_00030	126.4	9.8	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFUGYLON	6102	9644	+	DLCBFI_00035	136.4	9.8	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFUGYLON	9598	9975	+	DLCBFI_00040	14.2	10.4		
VFUGYLON	12463	12756	+	DLCBFI_00055	11.5	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFUGYLON	12746	12952	-	DLCBFI_00060	7.6	9.0	PF00313.25|CSD	PFAM:PF00313.25
VFUGYLON	12954	13391	+	DLCBFI_00065	17.2	9.6	PF01327.24|Pep_deformylase	PFAM:PF01327.24
VFUGYLON	13381	14061	+	DLCBFI_00070	27.1	10.0	PF00551.22|Formyl_trans_N	PFAM:PF00551.22
VFUGYLON	14140	14610	-	DLCBFI_00075	18.1	9.9	PF00398.23|RrnaAD	PFAM:PF00398.23
VFUGYLON	14610	14978	-	DLCBFI_00080	14.1	10.3		
