gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFTETHEX1	1177	1251	f	1	2	Aragorn	001002
2	VFTETHEX1	1257	1641	f	0	1	Prodigal	002006
3	VFTETHEX1	1633	2275	f	0	1	Prodigal	002006
4	VFTETHEX1	2267	2714	f	0	1	Prodigal	002006
5	VFTETHEX1	2691	3048	f	0	1	Prodigal	002006
6	VFTETHEX1	3044	6938	f	0	1	Prodigal	002006
7	VFTETHEX1	6934	10837	f	0	1	Prodigal	002006
8	VFTETHEX1	10833	11229	f	0	1	Prodigal	002006
9	VFTETHEX1	11197	11671	f	0	1	Prodigal	002006
10	VFTETHEX1	11670	13722	f	0	1	Prodigal	002006
11	VFTETHEX1	13709	14006	f	0	1	Prodigal	002006
12	VFTETHEX1	14420	14493	f	1	2	Aragorn	001002
13	VFTETHEX1	14504	14840	f	0	1	Prodigal	002006
14	VFTETHEX1	14832	15528	r	0	1	Prodigal	002006
15	VFTETHEX1	15524	16631	r	0	1	Prodigal	002006
16	VFTETHEX1	16627	17011	r	0	1	Prodigal	002006
17	VFTETHEX1	17016	17352	r	0	1	Prodigal	002006
18	VFTETHEX1	17338	18142	r	0	1	Prodigal	002006
19	VFTETHEX1	18142	18772	r	0	1	Prodigal	002006
20	VFTETHEX1	18761	20300	r	0	1	Prodigal	002006
21	VFTETHEX1	20333	20407	f	1	2	Aragorn	001002
22	VFTETHEX1	21284	21785	f	0	1	Prodigal	002006
23	VFTETHEX1	21781	22342	r	0	1	Prodigal	002006
24	VFTETHEX1	22464	23589	f	0	1	Prodigal	002006
25	VFTETHEX1	23590	24889	r	0	1	Prodigal	002006
26	VFTETHEX1	24892	25591	r	0	1	Prodigal	002006
27	VFTETHEX1	25568	26477	r	0	1	Prodigal	002006
28	VFTETHEX1	28578	28662	f	0	2	Aragorn	001002
29	VFTETHEX1	28873	29014	r	0	1	Prodigal	002006
30	VFTETHEX1	28995	29190	r	0	1	Prodigal	002006
31	VFTETHEX1	29209	31426	f	0	1	Prodigal	002006
32	VFTETHEX1	31635	32379	f	0	1	Prodigal	002006
33	VFTETHEX1	32375	33509	f	0	1	Prodigal	002006
34	VFTETHEX1	33497	34304	r	0	1	Prodigal	002006
35	VFTETHEX1	34355	34913	r	0	1	Prodigal	002006
36	VFTETHEX1	34906	36187	r	0	1	Prodigal	002006
37	VFTETHEX1	36407	37865	r	0	1	Prodigal	002006
38	VFTETHEX1	37875	38787	r	0	1	Prodigal	002006
39	VFTETHEX1	38810	40235	f	0	1	Prodigal	002006
40	VFTETHEX1	40236	40407	r	0	1	Prodigal	002006
41	VFTETHEX1	40430	43427	f	0	1	Prodigal	002006
42	VFTETHEX1	43419	43590	f	0	1	Prodigal	002006
43	VFTETHEX1	43670	44399	f	0	1	Prodigal	002006
44	VFTETHEX1	44395	45436	f	0	1	Prodigal	002006
45	VFTETHEX1	45672	45933	f	0	1	Prodigal	002006
46	VFTETHEX1	45913	46132	f	0	1	Prodigal	002006
47	VFTETHEX1	46132	46204	r	0	2	Aragorn	001002
48	VFTETHEX1	46306	46381	r	0	2	Aragorn	001002
49	VFTETHEX1	46380	46452	r	0	2	Aragorn	001002
50	VFTETHEX1	47029	47509	f	0	1	Prodigal	002006
51	VFTETHEX1	47498	48065	f	0	1	Prodigal	002006
52	VFTETHEX1	49203	49275	f	0	2	Aragorn	001002
53	VFTETHEX1	49278	50079	f	0	1	Prodigal	002006
54	VFTETHEX1	50050	51091	f	0	1	Prodigal	002006
55	VFTETHEX1	51154	51237	r	1	2	Aragorn	001002
56	VFTETHEX1	51246	51846	f	0	1	Prodigal	002006
57	VFTETHEX1	51842	53066	f	0	1	Prodigal	002006
58	VFTETHEX1	53052	54021	f	0	1	Prodigal	002006
59	VFTETHEX1	54017	54608	f	0	1	Prodigal	002006
60	VFTETHEX1	54604	55201	f	0	1	Prodigal	002006
61	VFTETHEX1	55197	55911	f	0	1	Prodigal	002006
62	VFTETHEX1	55900	56647	f	0	1	Prodigal	002006
