locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFBEB_00001	CDS	1188	tufA		COG0050	Elongation factor Tu
VFBEB_00001	gene	1188	tufA			
VFBEB_00002	tRNA	73				tRNA-Trp(cca)
VFBEB_00002	gene	73				
VFBEB_00003	CDS	393	rplK		COG0080	50S ribosomal protein L11
VFBEB_00003	gene	393	rplK			
VFBEB_00004	CDS	567				hypothetical protein
VFBEB_00004	gene	567				
VFBEB_00005	CDS	429				hypothetical protein
VFBEB_00005	gene	429				
VFBEB_00006	CDS	348	rplL			50S ribosomal protein L7/L12
VFBEB_00006	gene	348	rplL			
VFBEB_00007	CDS	3801	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFBEB_00007	gene	3801	rpoB			
VFBEB_00008	CDS	3762	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFBEB_00008	gene	3762	rpoC			
VFBEB_00009	CDS	378	rpsL		COG0048	30S ribosomal protein S12
VFBEB_00009	gene	378	rpsL			
VFBEB_00010	CDS	474	rpsG		COG0049	30S ribosomal protein S7
VFBEB_00010	gene	474	rpsG			
VFBEB_00011	CDS	2085	fusA		COG0480	Elongation factor G
VFBEB_00011	gene	2085	fusA			
VFBEB_00012	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
VFBEB_00012	gene	306	rpsJ			
VFBEB_00013	CDS	429	def	3.5.1.88	COG0242	Peptide deformylase
VFBEB_00013	gene	429	def			
VFBEB_00014	tRNA	72				tRNA-Phe(gaa)
VFBEB_00014	gene	72				
VFBEB_00015	CDS	549				hypothetical protein
VFBEB_00015	gene	549				
VFBEB_00016	CDS	615	ermC'	2.1.1.184		rRNA adenine N-6-methyltransferase
VFBEB_00016	gene	615	ermC'			
VFBEB_00017	CDS	1062	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
VFBEB_00017	gene	1062	tyrS			
VFBEB_00018	CDS	390	rpsI		COG0103	30S ribosomal protein S9
VFBEB_00018	gene	390	rpsI			
VFBEB_00019	CDS	306	rplM			50S ribosomal protein L13
VFBEB_00019	gene	306	rplM			
VFBEB_00020	CDS	771	dapF	5.1.1.7		Diaminopimelate epimerase
VFBEB_00020	gene	771	dapF			
VFBEB_00021	CDS	153				hypothetical protein
VFBEB_00021	gene	153				
VFBEB_00022	CDS	600				hypothetical protein
VFBEB_00022	gene	600				
VFBEB_00023	CDS	894	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFBEB_00023	gene	894	prs			
VFBEB_00024	CDS	486				hypothetical protein
VFBEB_00024	gene	486				
VFBEB_00025	CDS	537	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFBEB_00025	gene	537	rsmD			
VFBEB_00026	CDS	1125	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFBEB_00026	gene	1125	iscS			
VFBEB_00027	CDS	309	prfA_1			Peptide chain release factor 1
VFBEB_00027	gene	309	prfA_1			
VFBEB_00028	CDS	210	prfA_2			Peptide chain release factor 1
VFBEB_00028	gene	210	prfA_2			
VFBEB_00029	CDS	744	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
VFBEB_00029	gene	744	trpC			
VFBEB_00030	CDS	942	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
VFBEB_00030	gene	942	trpD			
VFBEB_00031	CDS	546	phnB	4.1.3.27	COG0512	Anthranilate synthase component 2, pyocyanine specific
VFBEB_00031	gene	546	phnB			
VFBEB_00032	CDS	1260	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
VFBEB_00032	gene	1260	trpE			
VFBEB_00033	CDS	1392	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFBEB_00033	gene	1392	argH			
VFBEB_00034	CDS	948	thrB	2.7.1.39	COG2334	Homoserine kinase
VFBEB_00034	gene	948	thrB			
VFBEB_00035	CDS	1365	sigA		COG0568	RNA polymerase sigma factor SigA
VFBEB_00035	gene	1365	sigA			
VFBEB_00036	CDS	2916	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFBEB_00036	gene	2916	dnaE			
VFBEB_00037	CDS	144				hypothetical protein
VFBEB_00037	gene	144				
