#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFDESRAP	1268	1675	+	ODBNOC_00010	14.7	10.2	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFDESRAP	1677	2282	+	ODBNOC_00015	23.4	9.8		
VFDESRAP	2279	2737	+	ODBNOC_00020	18.6	10.0		
VFDESRAP	2712	3062	+	ODBNOC_00025	13.5	9.0	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFDESRAP	3055	6831	+	ODBNOC_00030	145.2	9.7	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFDESRAP	6824	10735	+	ODBNOC_00035	149.7	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFDESRAP	10686	11078	+	ODBNOC_00040	14.9	10.7		
VFDESRAP	11053	11526	+	ODBNOC_00045	18.5	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFDESRAP	13606	13908	+	ODBNOC_00055	12.0	10.2	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFDESRAP	14413	14763	+	ODBNOC_00065	13.9	10.2		
VFDESRAP	14744	15448	-	ODBNOC_00070	27.4	10.1	PF00398.23|RrnaAD	PFAM:PF00398.23
VFDESRAP	15441	16514	-	ODBNOC_00075	41.9	10.1		
VFDESRAP	16514	16903	-	ODBNOC_00080	14.6	10.3		
VFDESRAP	16903	17199	-	ODBNOC_00085	11.5	10.7		
VFDESRAP	17183	17971	-	ODBNOC_00090	30.4	10.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFDESRAP	17994	18527	-	ODBNOC_00095	20.5	10.2		
VFDESRAP	18700	19581	+	ODBNOC_00105	34.3	9.9	PF13793.9|Pribosyltran_N, PF14572.9|Pribosyl_synth	PFAM:PF13793.9, PFAM:PF14572.9
VFDESRAP	19556	20065	+	ODBNOC_00110	20.3	10.1		
VFDESRAP	20055	20603	-	ODBNOC_00115	21.1	10.1	PF01564.20|Spermine_synth, PF05175.17|MTS, PF08241.15|Methyltransf_11, PF13649.9|Methyltransf_25, PF13847.9|Methyltransf_31	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFDESRAP	20925	22052	+	ODBNOC_00120	42.5	9.7	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFDESRAP	22049	23308	-	ODBNOC_00125	49.4	9.8	PF00152.23|tRNA-synt_2, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01409.23
VFDESRAP	23305	23994	-	ODBNOC_00130	26.3	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFDESRAP	23981	24850	-	ODBNOC_00135	33.6	10.0	PF00701.25|DHDPS	PFAM:PF00701.25
VFDESRAP	24862	25815	+	ODBNOC_00140	37.3	9.9		
VFDESRAP	25812	26990	+	ODBNOC_00145	45.0	10.0		
VFDESRAP	27289	29499	-	ODBNOC_00155	87.6	10.1	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFDESRAP	29496	29648	-	ODBNOC_00160	6.1	10.4		
