# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFSTEMIN	cds	1	1188	+	ACFOEF_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFSTEMIN	cds	1196	1585	+	ACFOEF_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFSTEMIN	cds	1582	2139	+	ACFOEF_00015		hypothetical protein	
VFSTEMIN	cds	2132	2572	+	ACFOEF_00020		hypothetical protein	
VFSTEMIN	cds	2550	2909	+	ACFOEF_00025		hypothetical protein	PFAM:PF00542.22
VFSTEMIN	cds	2909	6265	+	ACFOEF_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFSTEMIN	cds	6258	10031	+	ACFOEF_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFSTEMIN	cds	10009	10374	+	ACFOEF_00040		hypothetical protein	
VFSTEMIN	cds	10371	10835	+	ACFOEF_00045		hypothetical protein	PFAM:PF00177.24
VFSTEMIN	cds	10842	12908	+	ACFOEF_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFSTEMIN	cds	12905	13204	+	ACFOEF_00055		hypothetical protein	PFAM:PF00338.25
VFSTEMIN	cds	13395	13838	+	ACFOEF_00060		hypothetical protein	PFAM:PF01327.24
VFSTEMIN	cds	13828	13989	+	ACFOEF_00065		hypothetical protein	
VFSTEMIN	cds	13932	14387	-	ACFOEF_00070		hypothetical protein	PFAM:PF00398.23
VFSTEMIN	cds	14393	14770	-	ACFOEF_00075		hypothetical protein	
VFSTEMIN	cds	14757	15074	-	ACFOEF_00080		hypothetical protein	
VFSTEMIN	cds	15031	15813	-	ACFOEF_00085		hypothetical protein	
VFSTEMIN	cds	15813	16427	-	ACFOEF_00090		hypothetical protein	
VFSTEMIN	cds	16431	17774	-	ACFOEF_00095		hypothetical protein	PFAM:PF00009.30
VFSTEMIN	cds	17804	18652	+	ACFOEF_00100		hypothetical protein	PFAM:PF13793.9
VFSTEMIN	cds	18636	19082	+	ACFOEF_00105		hypothetical protein	
VFSTEMIN	cds	19066	19575	-	ACFOEF_00110		hypothetical protein	
VFSTEMIN	cds	19572	20303	-	ACFOEF_00115		hypothetical protein	PFAM:PF03462.21
VFSTEMIN	cds	20279	21106	-	ACFOEF_00120		hypothetical protein	PFAM:PF00701.25
VFSTEMIN	cds	21144	22064	+	ACFOEF_00125		hypothetical protein	
VFSTEMIN	cds	22051	23169	+	ACFOEF_00130		hypothetical protein	
VFSTEMIN	cds	23209	25227	-	ACFOEF_00135		hypothetical protein	PFAM:PF08264.16
VFSTEMIN	cds	25224	25421	-	ACFOEF_00140		hypothetical protein	
VFSTEMIN	tmRNA	27478	27961	-	ACFOEF_00145	ssrA	transfer-messenger RNA, SsrA	SO:0000584
VFSTEMIN	cds	28657	29754	+	ACFOEF_00150		hypothetical protein	PFAM:PF01053.23
VFSTEMIN	cds	29728	30426	-	ACFOEF_00155		hypothetical protein	PFAM:PF03462.21
VFSTEMIN	cds	30485	31864	-	ACFOEF_00160		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFSTEMIN	cds	31943	32782	-	ACFOEF_00165		hypothetical protein	
VFSTEMIN	tRNA	34001	34205	+	ACFOEF_00170		tRNA-Xxx	
VFSTEMIN	cds	36942	37085	+	ACFOEF_00175		hypothetical protein	PFAM:PF00312.25
VFSTEMIN	cds	37092	37805	+	ACFOEF_00180		hypothetical protein	PFAM:PF02219.20
VFSTEMIN	cds	37802	38797	+	ACFOEF_00185		hypothetical protein	PFAM:PF02774.21
VFSTEMIN	cds	38799	39149	+	ACFOEF_00190		hypothetical protein	
VFSTEMIN	cds	39136	39309	+	ACFOEF_00195		hypothetical protein	
VFSTEMIN	cds	39322	39987	+	ACFOEF_00200		hypothetical protein	
VFSTEMIN	cds	39995	40507	-	ACFOEF_00205		hypothetical protein	PFAM:PF13482.9
VFSTEMIN	cds	40557	41585	+	ACFOEF_00210		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25
VFSTEMIN	cds	41575	44688	+	ACFOEF_00215		hypothetical protein	PFAM:PF02786.20, PFAM:PF15632.9
VFSTEMIN	cds	44645	45163	+	ACFOEF_00220		hypothetical protein	
VFSTEMIN	cds	45135	45653	+	ACFOEF_00225		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q5WLZ7
VFSTEMIN	cds	45650	46786	+	ACFOEF_00230	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_A0A346E0H3
VFSTEMIN	cds	46798	47298	+	ACFOEF_00235		hypothetical protein	
VFSTEMIN	cds	47456	48226	+	ACFOEF_00240		hypothetical protein	PFAM:PF13177.9
VFSTEMIN	cds	48261	48881	+	ACFOEF_00245		hypothetical protein	
VFSTEMIN	cds	48854	50059	+	ACFOEF_00250		hypothetical protein	
VFSTEMIN	cds	50032	51015	+	ACFOEF_00255		hypothetical protein	PFAM:PF00155.24
VFSTEMIN	cds	50996	51547	+	ACFOEF_00260		hypothetical protein	
VFSTEMIN	cds	51547	52131	+	ACFOEF_00265		hypothetical protein	PFAM:PF00117.31
VFSTEMIN	cds	52119	52817	+	ACFOEF_00270		hypothetical protein	
VFSTEMIN	cds	52799	53542	+	ACFOEF_00275		Imidazole glycerol phosphate synthase cyclase subunit	SO:0001217, UniRef:UniRef50_A0A346E0I2
VFSTEMIN	cds	53542	53835	+	ACFOEF_00280		hypothetical protein	
VFSTEMIN	cds	53814	54113	+	ACFOEF_00285		hypothetical protein	PFAM:PF03819.20
VFSTEMIN	cds	54219	55043	+	ACFOEF_00290		hypothetical protein	PFAM:PF00185.27, PFAM:PF02729.24
VFSTEMIN	cds	55047	55406	-	ACFOEF_00295		hypothetical protein	
VFSTEMIN	cds	55375	55542	-	ACFOEF_00300		hypothetical protein	
VFSTEMIN	cds	55539	55988	-	ACFOEF_00305		hypothetical protein	PFAM:PF00707.25, PFAM:PF05198.19
VFSTEMIN	cds	55990	57030	-	ACFOEF_00310		Chorismate synthase	SO:0001217, UniRef:UniRef50_A0A346E0J1
VFSTEMIN	tRNA	57230	57301	-	ACFOEF_00315	trnfM	tRNA-fMet(cat)	SO:0000266
VFSTEMIN	cds	57362	57694	+	ACFOEF_00320		hypothetical protein	
VFSTEMIN	cds	57662	58132	-	ACFOEF_00325		hypothetical protein	
VFSTEMIN	cds	58132	58599	-	ACFOEF_00330		hypothetical protein	
VFSTEMIN	cds	58572	59147	-	ACFOEF_00335		hypothetical protein	
VFSTEMIN	cds	59180	59914	+	ACFOEF_00340		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_Q73H59
VFSTEMIN	cds	59908	60969	+	ACFOEF_00345		hypothetical protein	PFAM:PF07687.17
VFSTEMIN	cds	60926	62200	-	ACFOEF_00350		hypothetical protein	
VFSTEMIN	cds	62197	63315	-	ACFOEF_00355		hypothetical protein	PFAM:PF00742.22
VFSTEMIN	cds	63312	64451	-	ACFOEF_00360		hypothetical protein	PFAM:PF03796.18
VFSTEMIN	cds	64457	64789	-	ACFOEF_00365		hypothetical protein	
VFSTEMIN	cds	64905	65951	+	ACFOEF_00370		Transcription termination factor Rho	SO:0001217, UniRef:UniRef50_A0A448QN24
VFSTEMIN	cds	65952	66200	+	ACFOEF_00375		hypothetical protein	
VFSTEMIN	cds	66214	67371	+	ACFOEF_00380		hypothetical protein	
VFSTEMIN	cds	67457	67690	+	ACFOEF_00385		hypothetical protein	PFAM:PF00166.24
VFSTEMIN	cds	67687	69246	+	ACFOEF_00390		hypothetical protein	
VFSTEMIN	cds	69248	70513	+	ACFOEF_00395		hypothetical protein	
VFSTEMIN	cds	70500	71579	-	ACFOEF_00400		hypothetical protein	PFAM:PF02768.18
VFSTEMIN	cds	71684	72316	+	ACFOEF_00405		hypothetical protein	
VFSTEMIN	cds	72305	73282	-	ACFOEF_00410		hypothetical protein	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFSTEMIN	cds	73279	75078	-	ACFOEF_00415	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A0A346E0L5
VFSTEMIN	cds	75157	76128	+	ACFOEF_00420		hypothetical protein	PFAM:PF00793.23
VFSTEMIN	cds	76143	76712	-	ACFOEF_00425		hypothetical protein	
VFSTEMIN	cds	76721	77299	-	ACFOEF_00430		hypothetical protein	PFAM:PF05173.17
VFSTEMIN	cds	77292	77936	-	ACFOEF_00435		hypothetical protein	PFAM:PF08501.14
VFSTEMIN	cds	77944	78372	+	ACFOEF_00440		3-dehydroquinate dehydratase	SO:0001217, UniRef:UniRef50_A0A346E0M3
VFSTEMIN	cds	78399	78641	-	ACFOEF_00445		50S ribosomal protein L27	SO:0001217, UniRef:UniRef50_A0A7C7JM29
VFSTEMIN	cds	78611	78922	-	ACFOEF_00450		hypothetical protein	
VFSTEMIN	cds	79245	80462	+	ACFOEF_00455		hypothetical protein	
VFSTEMIN	cds	80409	80555	-	ACFOEF_00460		hypothetical protein	
VFSTEMIN	rRNA	80589	83456	-	ACFOEF_00465	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
VFSTEMIN	tRNA	83544	83615	-	ACFOEF_00470	trnA	tRNA-Ala(tgc)	SO:0000254
VFSTEMIN	rRNA	83637	85110	-	ACFOEF_00475	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
VFSTEMIN	cds	85226	85627	+	ACFOEF_00480		hypothetical protein	
VFSTEMIN	cds	85636	86100	+	ACFOEF_00485		hypothetical protein	
VFSTEMIN	cds	86060	86278	+	ACFOEF_00490		hypothetical protein	
VFSTEMIN	cds	86271	87074	+	ACFOEF_00495		50S ribosomal protein L2	SO:0001217, UniRef:UniRef50_Q9RXJ9
VFSTEMIN	cds	87071	87325	+	ACFOEF_00500		30S ribosomal protein S19	SO:0001217, UniRef:UniRef50_Q05FI8
VFSTEMIN	cds	87309	87626	+	ACFOEF_00505		hypothetical protein	PFAM:PF00237.22
VFSTEMIN	cds	87619	88224	+	ACFOEF_00510		hypothetical protein	PFAM:PF00189.23, PFAM:PF07650.20
VFSTEMIN	cds	88244	88657	+	ACFOEF_00515		50S ribosomal protein L16	SO:0001217, UniRef:UniRef50_P46173
VFSTEMIN	cds	88659	88790	+	ACFOEF_00520		hypothetical protein	
VFSTEMIN	cds	88738	88959	+	ACFOEF_00525		hypothetical protein	PFAM:PF00366.23
VFSTEMIN	cds	88899	89336	+	ACFOEF_00530		hypothetical protein	PFAM:PF00238.22
VFSTEMIN	cds	89333	89491	+	ACFOEF_00535		hypothetical protein	
VFSTEMIN	cds	89466	90026	+	ACFOEF_00540		hypothetical protein	PFAM:PF00281.22, PFAM:PF00673.24
VFSTEMIN	cds	90019	90267	+	ACFOEF_00545		hypothetical protein	
VFSTEMIN	cds	90275	90661	+	ACFOEF_00550		hypothetical protein	PFAM:PF00410.22
VFSTEMIN	cds	90654	91178	+	ACFOEF_00555		hypothetical protein	
VFSTEMIN	cds	91178	91462	+	ACFOEF_00560		hypothetical protein	
VFSTEMIN	cds	91431	91853	+	ACFOEF_00565		hypothetical protein	PFAM:PF03719.18
VFSTEMIN	cds	91840	92157	+	ACFOEF_00570		hypothetical protein	
VFSTEMIN	cds	92144	92371	+	ACFOEF_00575		Translation initiation factor IF-1	SO:0001217, UniRef:UniRef50_A0A3T1B4T4
VFSTEMIN	cds	92368	92484	+	ACFOEF_00580		hypothetical protein	PFAM:PF00444.21
VFSTEMIN	cds	92481	92831	+	ACFOEF_00585		30S ribosomal protein S13	SO:0001217, UniRef:UniRef50_P59753
VFSTEMIN	cds	92828	93166	+	ACFOEF_00590		hypothetical protein	
VFSTEMIN	cds	93163	93552	+	ACFOEF_00595		hypothetical protein	PFAM:PF01479.28
VFSTEMIN	cds	93542	94183	+	ACFOEF_00600		hypothetical protein	
VFSTEMIN	cds	94263	94481	+	ACFOEF_00605		hypothetical protein	
VFSTEMIN	cds	94452	95576	-	ACFOEF_00610		hypothetical protein	PFAM:PF00278.25, PFAM:PF02784.19
VFSTEMIN	cds	95596	96030	+	ACFOEF_00615		hypothetical protein	PFAM:PF01202.25
VFSTEMIN	cds	96018	97001	+	ACFOEF_00620		hypothetical protein	PFAM:PF01761.23
VFSTEMIN	tRNA	97036	97102	+	ACFOEF_00625		(pseudo) tRNA-Xxx	
