#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFSTEMIN	1	1188	+	ACFOEF_00005	43.9	8.1	PF00009.30|GTP_EFTU, PF03143.20|GTP_EFTU_D3, PF03144.28|GTP_EFTU_D2	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFSTEMIN	1196	1585	+	ACFOEF_00010	14.3	9.8	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFSTEMIN	1582	2139	+	ACFOEF_00015	21.9	9.7		
VFSTEMIN	2132	2572	+	ACFOEF_00020	16.6	9.6		
VFSTEMIN	2550	2909	+	ACFOEF_00025	13.7	5.2	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFSTEMIN	2909	6265	+	ACFOEF_00030	128.6	9.6	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFSTEMIN	6258	10031	+	ACFOEF_00035	143.6	9.6	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFSTEMIN	10009	10374	+	ACFOEF_00040	13.5	10.7		
VFSTEMIN	10371	10835	+	ACFOEF_00045	18.2	9.8	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFSTEMIN	12905	13204	+	ACFOEF_00055	12.1	9.8	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFSTEMIN	13395	13838	+	ACFOEF_00060	17.3	9.9	PF01327.24|Pep_deformylase	PFAM:PF01327.24
VFSTEMIN	13828	13989	+	ACFOEF_00065	6.4	10.4		
VFSTEMIN	13932	14387	-	ACFOEF_00070	17.7	9.4	PF00398.23|RrnaAD	PFAM:PF00398.23
VFSTEMIN	14393	14770	-	ACFOEF_00075	14.2	10.2		
VFSTEMIN	14757	15074	-	ACFOEF_00080	12.7	10.1		
VFSTEMIN	15031	15813	-	ACFOEF_00085	30.3	9.2		
VFSTEMIN	15813	16427	-	ACFOEF_00090	23.8	9.6		
VFSTEMIN	16431	17774	-	ACFOEF_00095	50.7	9.1	PF00009.30|GTP_EFTU	PFAM:PF00009.30
VFSTEMIN	17804	18652	+	ACFOEF_00100	33.4	10.0	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
VFSTEMIN	18636	19082	+	ACFOEF_00105	17.6	9.6		
VFSTEMIN	19066	19575	-	ACFOEF_00110	19.7	9.6		
VFSTEMIN	19572	20303	-	ACFOEF_00115	27.8	9.6	PF03462.21|PCRF	PFAM:PF03462.21
VFSTEMIN	20279	21106	-	ACFOEF_00120	31.5	9.9	PF00701.25|DHDPS	PFAM:PF00701.25
VFSTEMIN	21144	22064	+	ACFOEF_00125	36.9	10.5		
VFSTEMIN	22051	23169	+	ACFOEF_00130	42.4	9.5		
VFSTEMIN	23209	25227	-	ACFOEF_00135	80.5	9.6	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFSTEMIN	25224	25421	-	ACFOEF_00140	8.0	10.2		
VFSTEMIN	28657	29754	+	ACFOEF_00150	42.7	9.5	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFSTEMIN	29728	30426	-	ACFOEF_00155	26.9	9.9	PF03462.21|PCRF	PFAM:PF03462.21
VFSTEMIN	30485	31864	-	ACFOEF_00160	53.1	7.8	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
VFSTEMIN	31943	32782	-	ACFOEF_00165	34.0	9.9		
VFSTEMIN	36942	37085	+	ACFOEF_00175	5.8	11.7	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
VFSTEMIN	37092	37805	+	ACFOEF_00180	27.7	9.2	PF02219.20|MTHFR	PFAM:PF02219.20
VFSTEMIN	37802	38797	+	ACFOEF_00185	38.3	9.6	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
VFSTEMIN	38799	39149	+	ACFOEF_00190	13.5	9.9		
VFSTEMIN	39136	39309	+	ACFOEF_00195	6.7	10.3		
VFSTEMIN	39322	39987	+	ACFOEF_00200	26.1	10.3		
VFSTEMIN	39995	40507	-	ACFOEF_00205	20.0	9.8	PF13482.9|RNase_H_2	PFAM:PF13482.9
VFSTEMIN	40557	41585	+	ACFOEF_00210	39.5	9.5	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
VFSTEMIN	41575	44688	+	ACFOEF_00215	119.3	9.2	PF02786.20|CPSase_L_D2, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF15632.9
VFSTEMIN	44645	45163	+	ACFOEF_00220	20.7	9.6		
VFSTEMIN	46798	47298	+	ACFOEF_00235	20.3	9.5		
VFSTEMIN	47456	48226	+	ACFOEF_00240	30.0	9.3	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
VFSTEMIN	48261	48881	+	ACFOEF_00245	24.4	9.4		
VFSTEMIN	48854	50059	+	ACFOEF_00250	45.9	9.8		
VFSTEMIN	50032	51015	+	ACFOEF_00255	39.0	9.7	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFSTEMIN	50996	51547	+	ACFOEF_00260	20.9	9.4		
VFSTEMIN	51547	52131	+	ACFOEF_00265	22.7	9.8	PF00117.31|GATase	PFAM:PF00117.31
VFSTEMIN	52119	52817	+	ACFOEF_00270	27.5	9.9		
VFSTEMIN	53542	53835	+	ACFOEF_00280	11.6	10.1		
VFSTEMIN	53814	54113	+	ACFOEF_00285	11.8	8.6	PF03819.20|MazG	PFAM:PF03819.20
VFSTEMIN	54219	55043	+	ACFOEF_00290	32.8	9.6	PF00185.27|OTCace, PF02729.24|OTCace_N	PFAM:PF00185.27, PFAM:PF02729.24
VFSTEMIN	55047	55406	-	ACFOEF_00295	14.5	10.9		
VFSTEMIN	55375	55542	-	ACFOEF_00300	6.9	10.8		
VFSTEMIN	55539	55988	-	ACFOEF_00305	17.6	10.3	PF00707.25|IF3_C, PF05198.19|IF3_N	PFAM:PF00707.25, PFAM:PF05198.19
VFSTEMIN	57362	57694	+	ACFOEF_00320	13.0	10.7		
VFSTEMIN	57662	58132	-	ACFOEF_00325	18.6	9.8		
VFSTEMIN	58132	58599	-	ACFOEF_00330	19.3	9.4		
VFSTEMIN	58572	59147	-	ACFOEF_00335	23.3	10.0		
VFSTEMIN	59908	60969	+	ACFOEF_00345	40.9	9.8	PF07687.17|M20_dimer	PFAM:PF07687.17
VFSTEMIN	60926	62200	-	ACFOEF_00350	49.8	9.7		
