#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1229	1621	+	VFKELRIB_00010	14.3	10.3	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
contig_1	1618	2175	+	VFKELRIB_00015	22.0	9.8		
contig_1	2168	2608	+	VFKELRIB_00020	17.2	9.5		
contig_1	2586	2945	+	VFKELRIB_00025	13.7	5.9	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2942	6313	+	VFKELRIB_00030	129.6	9.5	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6310	10080	+	VFKELRIB_00035	144.0	9.8	PF00623.23|RNA_pol_Rpb1_2, PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	10058	10420	+	VFKELRIB_00040	13.6	10.6		
contig_1	10417	10881	+	VFKELRIB_00045	18.1	10.1	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	12954	13253	+	VFKELRIB_00055	12.0	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	13286	13726	+	VFKELRIB_00060	17.1	10.2	PF01327.24|Pep_deformylase	PFAM:PF01327.24
contig_1	13848	14303	-	VFKELRIB_00065	17.8	9.7		
contig_1	14307	14684	-	VFKELRIB_00070	14.1	10.6		
contig_1	14671	14958	-	VFKELRIB_00075	11.2	11.1		
contig_1	14955	15740	-	VFKELRIB_00080	30.4	9.5		
contig_1	15737	16354	-	VFKELRIB_00085	23.9	9.6		
contig_1	16360	17694	-	VFKELRIB_00090	50.7	9.0		
contig_1	17840	17941	+	VFKELRIB_00095	4.0	11.8		
contig_1	17916	18743	+	VFKELRIB_00100	32.7	10.0	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
contig_1	18692	19210	+	VFKELRIB_00105	20.9	9.9		
contig_1	19207	19713	-	VFKELRIB_00110	19.8	9.8		
contig_1	19826	20557	-	VFKELRIB_00115	27.7	9.8	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	20533	21399	-	VFKELRIB_00120	32.7	9.7	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	21751	21906	+	VFKELRIB_00125	5.8	8.7		
contig_1	22095	23267	+	VFKELRIB_00130	44.2	9.5		
contig_1	23410	23640	-	VFKELRIB_00135	9.3	10.3		
contig_1	24210	24404	-	VFKELRIB_00140	7.8	10.5		
contig_1	24501	26702	+	VFKELRIB_00145	86.1	9.7	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	26915	27661	+	VFKELRIB_00150	29.9	9.9		
contig_1	27630	28757	+	VFKELRIB_00155	44.2	10.0	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
contig_1	28695	29399	-	VFKELRIB_00160	27.2	9.9	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	29383	30078	-	VFKELRIB_00165	27.2	9.4	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	30050	30910	-	VFKELRIB_00170	33.0	9.8		
contig_1	30894	31460	-	VFKELRIB_00175	21.8	9.2	PF00117.31|GATase	PFAM:PF00117.31
contig_1	31457	32668	-	VFKELRIB_00180	47.0	9.8		
contig_1	32653	34032	-	VFKELRIB_00185	53.1	8.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	34199	35062	-	VFKELRIB_00190	34.2	9.9		
contig_1	35117	36280	+	VFKELRIB_00195	46.4	10.0	PF04542.17|Sigma70_r2, PF04545.19|Sigma70_r4	PFAM:PF04542.17, PFAM:PF04545.19
contig_1	36547	39306	+	VFKELRIB_00200	108.7	9.7	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	39508	40227	+	VFKELRIB_00205	28.4	9.7		
contig_1	40235	41203	+	VFKELRIB_00210	37.1	9.6	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_1	41200	41814	+	VFKELRIB_00215	23.4	10.1	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	43018	43608	+	VFKELRIB_00225	22.9	9.8		
contig_1	43589	43810	+	VFKELRIB_00230	8.7	11.6		
contig_1	43807	43989	+	VFKELRIB_00235	7.3	11.6		
contig_1	44072	44758	+	VFKELRIB_00240	27.0	10.8		
contig_1	44755	45267	-	VFKELRIB_00245	19.5	10.0	PF16473.8|Rv2179c-like	PFAM:PF16473.8
contig_1	45296	46336	+	VFKELRIB_00250	39.6	9.5	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	46333	49437	+	VFKELRIB_00255	117.3	9.3	PF02786.20|CPSase_L_D2, PF02786.20|CPSase_L_D2	PFAM:PF02786.20, PFAM:PF02786.20
contig_1	49397	49900	+	VFKELRIB_00260	20.1	9.6		
contig_1	51549	52061	+	VFKELRIB_00275	20.5	9.7		
contig_1	52045	53004	+	VFKELRIB_00280	37.9	9.6	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
contig_1	53026	53640	+	VFKELRIB_00285	24.2	9.9		
contig_1	53675	54898	+	VFKELRIB_00290	46.7	9.7		
contig_1	54862	55845	+	VFKELRIB_00295	39.0	9.7	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	55826	56377	+	VFKELRIB_00300	21.3	10.1		
contig_1	56379	56963	+	VFKELRIB_00305	22.6	9.2	PF00117.31|GATase	PFAM:PF00117.31
contig_1	56921	57649	+	VFKELRIB_00310	28.1	9.9		
contig_1	57631	58374	+	VFKELRIB_00315	27.5	9.0		
contig_1	58374	58667	+	VFKELRIB_00320	11.6	10.1		
contig_1	58664	58954	+	VFKELRIB_00325	11.7	10.4		
