locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFPINALT_00001	CDS	1185	tufA		COG0050	Elongation factor Tu
VFPINALT_00001	gene	1185	tufA			
VFPINALT_00002	tRNA	72				tRNA-Trp(cca)
VFPINALT_00002	gene	72				
VFPINALT_00003	CDS	405	rplK		COG0080	50S ribosomal protein L11
VFPINALT_00003	gene	405	rplK			
VFPINALT_00004	CDS	537				hypothetical protein
VFPINALT_00004	gene	537				
VFPINALT_00005	CDS	462				hypothetical protein
VFPINALT_00005	gene	462				
VFPINALT_00006	CDS	339	rplL			50S ribosomal protein L7/L12
VFPINALT_00006	gene	339	rplL			
VFPINALT_00007	CDS	3267	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFPINALT_00007	gene	3267	rpoB			
VFPINALT_00008	CDS	3822	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFPINALT_00008	gene	3822	rpoC			
VFPINALT_00009	CDS	366	rpsL		COG0048	30S ribosomal protein S12
VFPINALT_00009	gene	366	rpsL			
VFPINALT_00010	CDS	432	rpsG		COG0049	30S ribosomal protein S7
VFPINALT_00010	gene	432	rpsG			
VFPINALT_00011	CDS	2064	fusA		COG0480	Elongation factor G
VFPINALT_00011	gene	2064	fusA			
VFPINALT_00012	CDS	303	rpsJ			30S ribosomal protein S10
VFPINALT_00012	gene	303	rpsJ			
VFPINALT_00013	CDS	207	cspG		COG1278	Cold shock-like protein CspG
VFPINALT_00013	gene	207	cspG			
VFPINALT_00014	CDS	450	def1	3.5.1.88		Peptide deformylase 1
VFPINALT_00014	gene	450	def1			
VFPINALT_00015	tRNA	74				tRNA-Phe(gaa)
VFPINALT_00015	gene	74				
VFPINALT_00016	CDS	483	ermA1	2.1.1.184		rRNA adenine N-6-methyltransferase
VFPINALT_00016	gene	483	ermA1			
VFPINALT_00017	CDS	1044	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
VFPINALT_00017	gene	1044	tyrS			
VFPINALT_00018	CDS	384	rpsI		COG0103	30S ribosomal protein S9
VFPINALT_00018	gene	384	rpsI			
VFPINALT_00019	CDS	306	rplM		COG0102	50S ribosomal protein L13
VFPINALT_00019	gene	306	rplM			
VFPINALT_00020	CDS	789	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFPINALT_00020	gene	789	dapF			
VFPINALT_00021	CDS	591				hypothetical protein
VFPINALT_00021	gene	591				
VFPINALT_00022	CDS	927				hypothetical protein
VFPINALT_00022	gene	927				
VFPINALT_00023	CDS	1110	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFPINALT_00023	gene	1110	prs			
VFPINALT_00024	CDS	486				hypothetical protein
VFPINALT_00024	gene	486				
VFPINALT_00025	CDS	1164	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFPINALT_00025	gene	1164	iscS			
VFPINALT_00026	CDS	1248	lysS	6.1.1.6		Lysine--tRNA ligase
