# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFBRUOCU	tRNA	1182	1253	+	GOAOOA_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFBRUOCU	cds	1255	1647	+	GOAOOA_00010		hypothetical protein	PFAM:PF03946.17
VFBRUOCU	cds	1634	2215	+	GOAOOA_00015		hypothetical protein	
VFBRUOCU	cds	2193	2642	+	GOAOOA_00020		hypothetical protein	
VFBRUOCU	cds	2617	2958	+	GOAOOA_00025		hypothetical protein	PFAM:PF00542.22
VFBRUOCU	cds	2955	6515	+	GOAOOA_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFBRUOCU	cds	6488	10237	+	GOAOOA_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFBRUOCU	cds	10203	10604	+	GOAOOA_00040		hypothetical protein	
VFBRUOCU	cds	10562	11044	+	GOAOOA_00045		hypothetical protein	PFAM:PF00177.24
VFBRUOCU	cds	11044	13059	+	GOAOOA_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFBRUOCU	cds	13056	13346	+	GOAOOA_00055		hypothetical protein	PFAM:PF00338.25
VFBRUOCU	tRNA	13726	13798	+	GOAOOA_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFBRUOCU	cds	13810	14214	+	GOAOOA_00065		hypothetical protein	
VFBRUOCU	cds	14174	14899	-	GOAOOA_00070		hypothetical protein	
VFBRUOCU	cds	14875	15984	-	GOAOOA_00075		hypothetical protein	
VFBRUOCU	cds	15981	16370	-	GOAOOA_00080		hypothetical protein	
VFBRUOCU	cds	16367	16675	-	GOAOOA_00085		hypothetical protein	
VFBRUOCU	cds	16672	17463	-	GOAOOA_00090		hypothetical protein	
VFBRUOCU	cds	17460	18071	-	GOAOOA_00095		hypothetical protein	
VFBRUOCU	tRNA	18081	18152	+	GOAOOA_00100	trnQ	tRNA-Gln(ttg)	SO:0000261
VFBRUOCU	cds	18162	18959	+	GOAOOA_00105		hypothetical protein	PFAM:PF00156.30
VFBRUOCU	cds	18956	19423	+	GOAOOA_00110		hypothetical protein	
VFBRUOCU	cds	19403	19921	-	GOAOOA_00115		hypothetical protein	
VFBRUOCU	cds	20199	21272	+	GOAOOA_00120		hypothetical protein	PFAM:PF00266.22
VFBRUOCU	cds	21253	22476	-	GOAOOA_00125		hypothetical protein	PFAM:PF00152.23, PFAM:PF01409.23
VFBRUOCU	cds	22473	23132	-	GOAOOA_00130		hypothetical protein	PFAM:PF03462.21
VFBRUOCU	cds	23122	23955	-	GOAOOA_00135		hypothetical protein	PFAM:PF00701.25
VFBRUOCU	cds	23993	25942	+	GOAOOA_00140		hypothetical protein	
VFBRUOCU	tRNA	25943	26025	+	GOAOOA_00145	trnS	tRNA-Ser(gct)	SO:0000269
VFBRUOCU	cds	26174	28342	-	GOAOOA_00150		hypothetical protein	
VFBRUOCU	cds	28468	28677	-	GOAOOA_00155		hypothetical protein	
VFBRUOCU	cds	28678	30861	+	GOAOOA_00160		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFBRUOCU	cds	31066	31686	+	GOAOOA_00165		hypothetical protein	
VFBRUOCU	cds	31702	32853	+	GOAOOA_00170		hypothetical protein	PFAM:PF01053.23
VFBRUOCU	cds	32815	33567	-	GOAOOA_00175		hypothetical protein	PFAM:PF03462.21
VFBRUOCU	cds	33542	34231	-	GOAOOA_00180		hypothetical protein	PFAM:PF00218.24
VFBRUOCU	cds	34206	35141	-	GOAOOA_00185		hypothetical protein	
VFBRUOCU	cds	35131	35679	-	GOAOOA_00190		hypothetical protein	PFAM:PF00117.31
VFBRUOCU	cds	35676	36818	-	GOAOOA_00195		hypothetical protein	
VFBRUOCU	cds	36815	38182	-	GOAOOA_00200		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFBRUOCU	cds	38402	39730	-	GOAOOA_00205		hypothetical protein	PFAM:PF00749.24
VFBRUOCU	cds	39678	40541	-	GOAOOA_00210		hypothetical protein	
VFBRUOCU	cds	40520	41392	-	GOAOOA_00215		hypothetical protein	
VFBRUOCU	tRNA	42725	42960	+	GOAOOA_00220		tRNA-Xxx	
VFBRUOCU	cds	42972	45806	+	GOAOOA_00225		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFBRUOCU	cds	45790	45951	+	GOAOOA_00230		hypothetical protein	
VFBRUOCU	tRNA	45971	46043	+	GOAOOA_00235	trnL	tRNA-Leu(tag)	SO:0000264
VFBRUOCU	tRNA	46047	46129	+	GOAOOA_00240	trnS	tRNA-Ser(aga)	SO:0000269
VFBRUOCU	cds	46857	47843	+	GOAOOA_00245		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFBRUOCU	cds	47806	48297	+	GOAOOA_00250		hypothetical protein	PFAM:PF00697.25
VFBRUOCU	cds	48290	49417	+	GOAOOA_00255		hypothetical protein	
VFBRUOCU	cds	49414	50016	+	GOAOOA_00260		hypothetical protein	PFAM:PF00290.23
VFBRUOCU	cds	50004	50261	+	GOAOOA_00265		hypothetical protein	
VFBRUOCU	cds	50242	50466	+	GOAOOA_00270		hypothetical protein	
VFBRUOCU	tRNA	50467	50538	-	GOAOOA_00275	trnN	tRNA-Asn(gtt)	SO:0000257
VFBRUOCU	cds	50540	50662	+	GOAOOA_00280		hypothetical protein	
VFBRUOCU	tRNA	50707	50778	-	GOAOOA_00285	trnG	tRNA-Gly(gcc)	SO:0000260
VFBRUOCU	cds	51277	52290	+	GOAOOA_00290		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
VFBRUOCU	cds	52287	55277	+	GOAOOA_00295		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF13535.9, PFAM:PF15632.9
VFBRUOCU	cds	55274	55783	+	GOAOOA_00300		hypothetical protein	
VFBRUOCU	cds	55780	56346	+	GOAOOA_00305		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q9I2U1
VFBRUOCU	tRNA	57473	57545	+	GOAOOA_00310	trnV	tRNA-Val(tac)	SO:0000273
VFBRUOCU	tRNA	57629	57711	-	GOAOOA_00315	trnS	tRNA-Ser(tga)	SO:0000269
VFBRUOCU	cds	57720	58283	+	GOAOOA_00320		hypothetical protein	
VFBRUOCU	cds	58280	59482	+	GOAOOA_00325		hypothetical protein	
VFBRUOCU	cds	59475	60392	+	GOAOOA_00330		hypothetical protein	PFAM:PF00155.24
VFBRUOCU	cds	60389	60946	+	GOAOOA_00335		hypothetical protein	
VFBRUOCU	cds	60943	61533	+	GOAOOA_00340		hypothetical protein	PFAM:PF00117.31
VFBRUOCU	cds	61530	62228	+	GOAOOA_00345		hypothetical protein	
VFBRUOCU	cds	62225	62968	+	GOAOOA_00350		hypothetical protein	
VFBRUOCU	cds	62965	63249	+	GOAOOA_00355		hypothetical protein	
VFBRUOCU	tRNA	63498	63570	+	GOAOOA_00360	trnH	tRNA-His(gtg)	SO:0000262
VFBRUOCU	tRNA	64380	64451	-	GOAOOA_00365	trnK	tRNA-Lys(ttt)	SO:0000265
VFBRUOCU	cds	64749	64919	-	GOAOOA_00370		hypothetical protein	
VFBRUOCU	cds	64897	65349	-	GOAOOA_00375		hypothetical protein	PFAM:PF05198.19
VFBRUOCU	tRNA	65357	65429	-	GOAOOA_00380	trnV	tRNA-Val(gac)	SO:0000273
VFBRUOCU	tRNA	66470	66541	-	GOAOOA_00385	trnR	tRNA-Arg(tct)	SO:0001036
VFBRUOCU	tRNA	66662	66734	-	GOAOOA_00390	trnfM	tRNA-fMet(cat)	SO:0000266
VFBRUOCU	tRNA	66771	66842	+	GOAOOA_00395	trnP	tRNA-Pro(tgg)	SO:0000268
VFBRUOCU	cds	66852	67157	+	GOAOOA_00400		hypothetical protein	
VFBRUOCU	cds	67141	67659	-	GOAOOA_00405		hypothetical protein	
VFBRUOCU	cds	67656	68498	-	GOAOOA_00410		hypothetical protein	
VFBRUOCU	cds	68545	69642	+	GOAOOA_00415		hypothetical protein	PFAM:PF00155.24
VFBRUOCU	cds	69623	70438	+	GOAOOA_00420		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	SO:0001217, UniRef:UniRef50_A6SZR2
VFBRUOCU	cds	70401	71477	+	GOAOOA_00425		hypothetical protein	PFAM:PF07687.17
VFBRUOCU	cds	71663	73006	-	GOAOOA_00430		hypothetical protein	PFAM:PF14821.9
VFBRUOCU	cds	73008	74147	-	GOAOOA_00435		hypothetical protein	PFAM:PF00742.22
VFBRUOCU	cds	74147	75322	-	GOAOOA_00440		hypothetical protein	PFAM:PF03796.18
VFBRUOCU	cds	75324	75479	-	GOAOOA_00445		hypothetical protein	
VFBRUOCU	cds	75476	75709	-	GOAOOA_00450		hypothetical protein	
VFBRUOCU	cds	75759	76052	+	GOAOOA_00455		hypothetical protein	PFAM:PF00085.23
VFBRUOCU	tRNA	76237	76308	-	GOAOOA_00460	trnD	tRNA-Asp(gtc)	SO:0000256
VFBRUOCU	tRNA	76309	76380	-	GOAOOA_00465	trnE	tRNA-Glu(ttc)	SO:0000259
VFBRUOCU	cds	76409	77689	+	GOAOOA_00470		hypothetical protein	PFAM:PF00071.25, PFAM:PF02421.21, PFAM:PF08477.16
VFBRUOCU	cds	77686	79458	+	GOAOOA_00475		hypothetical protein	PFAM:PF13932.9
VFBRUOCU	cds	79433	79666	+	GOAOOA_00480		hypothetical protein	
VFBRUOCU	cds	79648	81249	+	GOAOOA_00485		60 kDa chaperonin	SO:0001217, UniRef:UniRef50_A0A346E0K9
VFBRUOCU	cds	81253	82500	+	GOAOOA_00490		hypothetical protein	
VFBRUOCU	cds	82508	83503	+	GOAOOA_00495		hypothetical protein	
VFBRUOCU	cds	83495	84415	-	GOAOOA_00500		hypothetical protein	
VFBRUOCU	cds	84486	84620	+	GOAOOA_00505		50S ribosomal protein L34	SO:0001217, UniRef:UniRef50_P80340
VFBRUOCU	cds	84617	85225	+	GOAOOA_00510		hypothetical protein	
VFBRUOCU	cds	85181	86191	-	GOAOOA_00515		hypothetical protein	PFAM:PF00226.34, PFAM:PF01556.21
VFBRUOCU	cds	86204	87991	-	GOAOOA_00520	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_A6T226
VFBRUOCU	cds	87993	88433	-	GOAOOA_00525		hypothetical protein	
VFBRUOCU	cds	88440	89324	+	GOAOOA_00530		hypothetical protein	PFAM:PF00793.23
VFBRUOCU	cds	89319	90305	-	GOAOOA_00535		hypothetical protein	PFAM:PF03054.19
VFBRUOCU	cds	90271	92229	-	GOAOOA_00540		hypothetical protein	
VFBRUOCU	cds	92226	92864	-	GOAOOA_00545		hypothetical protein	PFAM:PF01113.23, PFAM:PF05173.17
VFBRUOCU	cds	92861	94069	-	GOAOOA_00550		Malic protein NAD-binding protein	SO:0001217, UniRef:UniRef50_A0A0S4XM03
VFBRUOCU	cds	94041	94760	-	GOAOOA_00555		hypothetical protein	
VFBRUOCU	cds	94795	95172	+	GOAOOA_00560		hypothetical protein	PFAM:PF01220.22
VFBRUOCU	cds	95159	95401	-	GOAOOA_00565		hypothetical protein	
VFBRUOCU	cds	95380	95697	-	GOAOOA_00570		hypothetical protein	
