# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFHYALUT	cds	1	1191	+	CAFBCE_00005		hypothetical protein	PFAM:PF00009.30, PFAM:PF03143.20, PFAM:PF03144.28
VFHYALUT	tRNA	1193	1264	+	CAFBCE_00010	trnW	tRNA-Trp(cca)	SO:0000271
VFHYALUT	cds	1283	1675	+	CAFBCE_00015		50S ribosomal protein L11	SO:0001217, UniRef:UniRef50_A0A346E0A6
VFHYALUT	cds	1662	2261	+	CAFBCE_00020		hypothetical protein	
VFHYALUT	cds	2242	2721	+	CAFBCE_00025		hypothetical protein	
VFHYALUT	cds	2705	3082	+	CAFBCE_00030		hypothetical protein	PFAM:PF00542.22
VFHYALUT	cds	3082	6486	+	CAFBCE_00035		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFHYALUT	cds	6483	10187	+	CAFBCE_00040		DNA-directed RNA polymerase subunit	SO:0001217, UniRef:UniRef50_A0A346E0B1
VFHYALUT	cds	10132	10518	+	CAFBCE_00045		hypothetical protein	
VFHYALUT	cds	10478	10957	+	CAFBCE_00050		hypothetical protein	PFAM:PF00177.24
VFHYALUT	cds	10959	13010	+	CAFBCE_00055		Elongation factor G	SO:0001217, UniRef:UniRef50_A0A346E0B4
VFHYALUT	cds	13007	13303	+	CAFBCE_00060		30S ribosomal protein S10	SO:0001217, UniRef:UniRef50_A0A346E0B5
VFHYALUT	cds	13293	13499	-	CAFBCE_00065		hypothetical protein	PFAM:PF00313.25
VFHYALUT	tRNA	13959	14031	+	CAFBCE_00070	trnF	tRNA-Phe(gaa)	SO:0000267
VFHYALUT	cds	14055	14183	+	CAFBCE_00075		hypothetical protein	
VFHYALUT	cds	14149	14601	-	CAFBCE_00080		hypothetical protein	PFAM:PF00398.23
VFHYALUT	cds	14591	15634	-	CAFBCE_00085		hypothetical protein	
VFHYALUT	cds	15631	15924	-	CAFBCE_00090		hypothetical protein	
VFHYALUT	cds	15921	16304	-	CAFBCE_00095		hypothetical protein	
VFHYALUT	cds	16301	16645	-	CAFBCE_00100		50S ribosomal protein L13	SO:0001217, UniRef:UniRef50_A0A346E0C2
VFHYALUT	cds	16608	17336	-	CAFBCE_00105		hypothetical protein	PFAM:PF01678.22
VFHYALUT	cds	17376	17582	+	CAFBCE_00110		hypothetical protein	
VFHYALUT	cds	17554	18171	-	CAFBCE_00115		hypothetical protein	
VFHYALUT	cds	18164	19492	-	CAFBCE_00120		hypothetical protein	PFAM:PF00009.30, PFAM:PF00071.25, PFAM:PF09439.13, PFAM:PF10662.12
VFHYALUT	tRNA	19523	19595	+	CAFBCE_00125	trnQ	tRNA-Gln(ttg)	SO:0000261
VFHYALUT	cds	19608	20480	+	CAFBCE_00130		hypothetical protein	PFAM:PF13793.9
VFHYALUT	cds	20468	20986	+	CAFBCE_00135		hypothetical protein	
VFHYALUT	cds	20983	21537	-	CAFBCE_00140		16S rRNA (Guanine(966)-N(2))-methyltransferase	SO:0001217, UniRef:UniRef50_A0A346E0D1
VFHYALUT	cds	21857	23059	+	CAFBCE_00145		cysteine desulfurase	SO:0001217, UniRef:UniRef50_A0A346E0D2
VFHYALUT	cds	23049	23429	+	CAFBCE_00150		hypothetical protein	
VFHYALUT	cds	23409	24647	-	CAFBCE_00155		Lysine--tRNA ligase	SO:0001217, UniRef:UniRef50_A0A346E0D4
VFHYALUT	cds	24628	25575	-	CAFBCE_00160		hypothetical protein	PFAM:PF03462.21
VFHYALUT	cds	25541	26419	-	CAFBCE_00165		4-hydroxy-tetrahydrodipicolinate synthase	SO:0001217, UniRef:UniRef50_A0A346E0D6
VFHYALUT	cds	26430	27362	+	CAFBCE_00170		tRNA(Ile)-lysidine synthase	SO:0001217, UniRef:UniRef50_A0A346E0D7
VFHYALUT	tRNA	28468	28551	+	CAFBCE_00175	trnS	tRNA-Ser(gct)	SO:0000269
VFHYALUT	cds	28552	30831	-	CAFBCE_00180		hypothetical protein	PFAM:PF08264.16
VFHYALUT	cds	30828	30986	-	CAFBCE_00185		hypothetical protein	
VFHYALUT	cds	30970	31119	-	CAFBCE_00190		hypothetical protein	
VFHYALUT	cds	31206	33446	+	CAFBCE_00195		5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	SO:0001217, UniRef:UniRef50_A0A346E0E2
VFHYALUT	cds	33652	34395	+	CAFBCE_00200		hypothetical protein	
VFHYALUT	cds	34367	35449	+	CAFBCE_00205		Cystathionine beta-lyase	SO:0001217, UniRef:UniRef50_A0A346E0E4
