#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFMEEALB	1222	1605	+	CKLBGG_00010	14.6	10.3		
VFMEEALB	1598	2029	+	CKLBGG_00015	17.6	10.2		
VFMEEALB	2010	2354	+	CKLBGG_00020	13.5	10.1	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFMEEALB	2347	6132	+	CKLBGG_00025	149.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMEEALB	6129	9728	+	CKLBGG_00030	139.8	10.1	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFMEEALB	9716	10096	+	CKLBGG_00035	14.0	10.4		
VFMEEALB	10077	10547	+	CKLBGG_00040	18.5	10.3	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFMEEALB	12583	12870	+	CKLBGG_00050	11.7	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFMEEALB	12867	12971	+	CKLBGG_00055	4.2	10.0		
VFMEEALB	13661	14149	-	CKLBGG_00065	19.3	10.3	PF00398.23|RrnaAD, PF08123.16|DOT1	PFAM:PF00398.23, PFAM:PF08123.16
VFMEEALB	14139	15119	-	CKLBGG_00070	39.1	10.3		
VFMEEALB	15505	15768	-	CKLBGG_00080	10.5	10.6		
VFMEEALB	15765	16475	-	CKLBGG_00085	28.0	10.0	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFMEEALB	16487	17032	-	CKLBGG_00090	21.5	10.2		
VFMEEALB	17032	17364	-	CKLBGG_00095	13.4	10.2	PF00436.28|SSB	PFAM:PF00436.28
VFMEEALB	18289	18735	+	CKLBGG_00105	18.4	10.1		
VFMEEALB	18712	19290	-	CKLBGG_00110	22.4	10.2	PF05175.17|MTS	PFAM:PF05175.17
VFMEEALB	19485	20456	+	CKLBGG_00115	38.2	10.1	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFMEEALB	20453	21775	-	CKLBGG_00120	52.9	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFMEEALB	21772	22410	-	CKLBGG_00125	25.0	10.3	PF03462.21|PCRF	PFAM:PF03462.21
VFMEEALB	22398	23126	-	CKLBGG_00130	28.8	10.1	PF00218.24|IGPS	PFAM:PF00218.24
VFMEEALB	23101	24048	-	CKLBGG_00135	37.7	10.3		
VFMEEALB	24033	24611	-	CKLBGG_00140	22.6	10.0	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
VFMEEALB	24592	25833	-	CKLBGG_00145	49.9	10.1		
VFMEEALB	25815	27185	-	CKLBGG_00150	53.5	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
VFMEEALB	27337	28587	-	CKLBGG_00155	50.9	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFMEEALB	28584	29489	-	CKLBGG_00160	36.9	10.1		
VFMEEALB	29489	30286	-	CKLBGG_00165	31.5	10.1		
VFMEEALB	30408	31340	+	CKLBGG_00170	37.8	10.0	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
VFMEEALB	36625	37626	+	CKLBGG_00190	39.2	10.0	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
VFMEEALB	37619	38185	+	CKLBGG_00195	22.8	9.9	PF00697.25|PRAI	PFAM:PF00697.25
VFMEEALB	38172	39278	+	CKLBGG_00200	41.8	9.8		
VFMEEALB	39275	39922	+	CKLBGG_00205	26.0	10.0		
VFMEEALB	39909	40142	+	CKLBGG_00210	9.4	10.6		
VFMEEALB	41446	42303	+	CKLBGG_00225	33.5	10.1	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
VFMEEALB	42300	45395	+	CKLBGG_00230	119.5	9.7	PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFMEEALB	47540	48625	+	CKLBGG_00245	43.7	9.8	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
VFMEEALB	50626	51642	+	CKLBGG_00265	40.5	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFMEEALB	52722	53444	+	CKLBGG_00280	27.8	10.4		
VFMEEALB	54183	54473	+	CKLBGG_00290	11.4	9.3		
VFMEEALB	56090	56518	-	CKLBGG_00305	17.3	10.5		
VFMEEALB	57840	58133	+	CKLBGG_00325	11.9	10.1		
VFMEEALB	58101	58556	-	CKLBGG_00330	18.5	10.2		
VFMEEALB	58556	58999	-	CKLBGG_00335	17.7	10.1		
VFMEEALB	58996	59490	-	CKLBGG_00340	19.9	10.2		
VFMEEALB	59510	60562	+	CKLBGG_00345	42.0	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFMEEALB	61334	62380	+	CKLBGG_00355	41.7	10.2		
VFMEEALB	62366	62548	-	CKLBGG_00360	7.3	9.7		
VFMEEALB	62529	63812	-	CKLBGG_00365	51.0	10.0		
VFMEEALB	63812	65068	-	CKLBGG_00370	49.2	9.9	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16
VFMEEALB	65068	65496	-	CKLBGG_00375	17.2	10.3		
VFMEEALB	65772	66677	-	CKLBGG_00385	37.5	10.0	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFMEEALB	66762	68030	+	CKLBGG_00390	49.7	10.1	PF02421.21|FeoB_N	PFAM:PF02421.21
VFMEEALB	68027	69700	+	CKLBGG_00395	64.1	9.9	PF07992.17|Pyr_redox_2, PF13932.9|GIDA_C	PFAM:PF07992.17, PFAM:PF13932.9
VFMEEALB	69718	69996	+	CKLBGG_00400	11.2	10.2	PF00166.24|Cpn10	PFAM:PF00166.24
VFMEEALB	71546	72820	+	CKLBGG_00410	50.4	10.1		
VFMEEALB	72796	73920	+	CKLBGG_00415	43.9	10.3	PF00575.26|S1	PFAM:PF00575.26
VFMEEALB	73917	74948	-	CKLBGG_00420	42.2	9.9		
VFMEEALB	75045	75599	+	CKLBGG_00425	22.4	10.1		
VFMEEALB	75592	76560	-	CKLBGG_00430	37.2	9.4	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFMEEALB	78357	78851	-	CKLBGG_00440	19.6	10.3		
VFMEEALB	78852	79835	+	CKLBGG_00445	38.0	10.1	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
VFMEEALB	79818	80783	-	CKLBGG_00450	38.4	9.9	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
VFMEEALB	80762	81373	-	CKLBGG_00455	25.1	10.0		
VFMEEALB	81351	83354	-	CKLBGG_00460	81.0	10.0		
VFMEEALB	83351	83971	-	CKLBGG_00465	25.0	10.2	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
VFMEEALB	83949	84557	-	CKLBGG_00470	23.7	10.2		
VFMEEALB	85073	85327	-	CKLBGG_00480	9.2	10.9		
VFMEEALB	85297	85614	-	CKLBGG_00485	12.9	10.4		
VFMEEALB	85598	86275	-	CKLBGG_00490	27.8	10.2		
VFMEEALB	92620	93177	+	CKLBGG_00520	22.1	10.7		
VFMEEALB	93174	93386	+	CKLBGG_00525	8.6	10.4		
VFMEEALB	94395	94733	+	CKLBGG_00540	13.3	10.4	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
VFMEEALB	94711	95322	+	CKLBGG_00545	24.1	10.1	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
VFMEEALB	95704	95943	+	CKLBGG_00555	9.8	10.5	PF00366.23|Ribosomal_S17	PFAM:PF00366.23
VFMEEALB	96274	96825	+	CKLBGG_00565	21.8	10.0	PF00281.22|Ribosomal_L5, PF00673.24|Ribosomal_L5_C	PFAM:PF00281.22, PFAM:PF00673.24
VFMEEALB	96818	97099	+	CKLBGG_00570	11.1	11.8		
VFMEEALB	97099	97449	+	CKLBGG_00575	13.7	10.2	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
VFMEEALB	97439	97966	+	CKLBGG_00580	20.7	10.1		
VFMEEALB	97953	98246	+	CKLBGG_00585	11.6	10.1		
VFMEEALB	98239	98643	+	CKLBGG_00590	15.7	10.8	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
VFMEEALB	98630	98905	+	CKLBGG_00595	10.8	11.0		
VFMEEALB	99086	99199	+	CKLBGG_00605	4.4	10.3	PF00444.21|Ribosomal_L36	PFAM:PF00444.21
VFMEEALB	99876	100391	+	CKLBGG_00620	20.9	10.4	PF01479.28|S4	PFAM:PF01479.28
VFMEEALB	100388	100939	+	CKLBGG_00625	22.1	10.2		
VFMEEALB	100936	101184	+	CKLBGG_00630	10.0	10.8		
VFMEEALB	101173	102099	-	CKLBGG_00635	35.9	10.1	PF00278.25|Orn_DAP_Arg_deC, PF02784.19|Orn_Arg_deC_N	PFAM:PF00278.25, PFAM:PF02784.19
VFMEEALB	102278	102745	+	CKLBGG_00640	18.8	10.0		
