# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFMYCCUN	tRNA	1176	1246	+	BBKEKH_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFMYCCUN	cds	1249	1665	+	BBKEKH_00010		hypothetical protein	PFAM:PF00298.22, PFAM:PF03946.17
VFMYCCUN	cds	1646	2230	+	BBKEKH_00015		hypothetical protein	
VFMYCCUN	cds	2227	2643	+	BBKEKH_00020		hypothetical protein	
VFMYCCUN	cds	2621	2953	+	BBKEKH_00025		hypothetical protein	PFAM:PF00542.22
VFMYCCUN	cds	2950	6576	+	BBKEKH_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFMYCCUN	cds	6552	10409	+	BBKEKH_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFMYCCUN	cds	10387	10776	+	BBKEKH_00040		hypothetical protein	
VFMYCCUN	cds	10745	11221	+	BBKEKH_00045		hypothetical protein	PFAM:PF00177.24
VFMYCCUN	cds	11221	13251	+	BBKEKH_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFMYCCUN	cds	13244	13537	+	BBKEKH_00055		hypothetical protein	PFAM:PF00338.25
VFMYCCUN	tRNA	13927	13999	+	BBKEKH_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFMYCCUN	cds	14010	14420	+	BBKEKH_00065		hypothetical protein	
VFMYCCUN	cds	14369	15073	-	BBKEKH_00070		hypothetical protein	PFAM:PF00398.23
VFMYCCUN	cds	15054	16412	-	BBKEKH_00075		hypothetical protein	
VFMYCCUN	cds	16409	16798	-	BBKEKH_00080		hypothetical protein	
VFMYCCUN	cds	16795	17094	-	BBKEKH_00085		hypothetical protein	
VFMYCCUN	cds	17091	17855	-	BBKEKH_00090		hypothetical protein	PFAM:PF01678.22
VFMYCCUN	cds	17852	18493	-	BBKEKH_00095		hypothetical protein	
VFMYCCUN	tRNA	18508	18579	+	BBKEKH_00100	trnQ	tRNA-Gln(ttg)	SO:0000261
VFMYCCUN	cds	19415	19882	+	BBKEKH_00105		hypothetical protein	
VFMYCCUN	cds	19879	20433	-	BBKEKH_00110		hypothetical protein	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF13847.9
VFMYCCUN	cds	20697	21815	+	BBKEKH_00115		hypothetical protein	PFAM:PF00266.22, PFAM:PF01212.24
VFMYCCUN	cds	21785	22483	-	BBKEKH_00120		hypothetical protein	PFAM:PF03462.21
VFMYCCUN	cds	22470	23339	-	BBKEKH_00125		hypothetical protein	PFAM:PF00701.25
VFMYCCUN	tRNA	25382	25464	+	BBKEKH_00130	trnS	tRNA-Ser(gct)	SO:0000269
VFMYCCUN	cds	25606	27801	-	BBKEKH_00135		hypothetical protein	PFAM:PF08264.16
VFMYCCUN	cds	27937	30147	+	BBKEKH_00140		hypothetical protein	PFAM:PF01717.21, PFAM:PF08267.15
VFMYCCUN	cds	30197	31090	+	BBKEKH_00145		hypothetical protein	
VFMYCCUN	cds	31062	32219	+	BBKEKH_00150		hypothetical protein	PFAM:PF01053.23
VFMYCCUN	cds	32214	33062	-	BBKEKH_00155		hypothetical protein	PFAM:PF03462.21
VFMYCCUN	cds	33032	33790	-	BBKEKH_00160		hypothetical protein	PFAM:PF00218.24
VFMYCCUN	cds	33765	34676	-	BBKEKH_00165		hypothetical protein	
VFMYCCUN	cds	34660	35235	-	BBKEKH_00170		hypothetical protein	PFAM:PF00117.31
VFMYCCUN	cds	35232	36470	-	BBKEKH_00175		hypothetical protein	
VFMYCCUN	cds	36452	37846	-	BBKEKH_00180		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFMYCCUN	cds	38050	39312	-	BBKEKH_00185		hypothetical protein	PFAM:PF00749.24
VFMYCCUN	cds	39290	40237	-	BBKEKH_00190		hypothetical protein	
VFMYCCUN	cds	40245	41408	+	BBKEKH_00195		hypothetical protein	
VFMYCCUN	tRNA	42795	42866	+	BBKEKH_00200	trnI	tRNA-Ile2(cat)	SO:0000263
VFMYCCUN	cds	42868	45759	+	BBKEKH_00205		hypothetical protein	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFMYCCUN	tRNA	45915	45987	+	BBKEKH_00210	trnL	tRNA-Leu(tag)	SO:0000264
VFMYCCUN	tRNA	45989	46071	+	BBKEKH_00215	trnS	tRNA-Ser(aga)	SO:0000269
VFMYCCUN	cds	46079	46891	+	BBKEKH_00220		hypothetical protein	
VFMYCCUN	cds	46860	47855	+	BBKEKH_00225		hypothetical protein	PFAM:PF01118.27, PFAM:PF02774.21
VFMYCCUN	cds	47845	48426	+	BBKEKH_00230		hypothetical protein	PFAM:PF00697.25
VFMYCCUN	cds	48423	49571	+	BBKEKH_00235		Tryptophan synthase beta chain	SO:0001217, UniRef:UniRef50_A0A346E0G4
VFMYCCUN	cds	49568	50254	+	BBKEKH_00240		hypothetical protein	PFAM:PF00290.23
VFMYCCUN	cds	50236	50475	+	BBKEKH_00245		hypothetical protein	
VFMYCCUN	cds	50456	50683	+	BBKEKH_00250		hypothetical protein	
VFMYCCUN	tRNA	50684	50755	-	BBKEKH_00255	trnN	tRNA-Asn(gtt)	SO:0000257
VFMYCCUN	tRNA	50862	50932	-	BBKEKH_00260	trnC	tRNA-Cys(gca)	SO:0000258
VFMYCCUN	tRNA	50933	51004	-	BBKEKH_00265	trnG	tRNA-Gly(gcc)	SO:0000260
VFMYCCUN	cds	51511	52569	+	BBKEKH_00270		hypothetical protein	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
VFMYCCUN	cds	52548	55511	+	BBKEKH_00275		hypothetical protein	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFMYCCUN	cds	55489	56013	+	BBKEKH_00280		hypothetical protein	
VFMYCCUN	cds	56003	56569	+	BBKEKH_00285		ATP-dependent Clp protease proteolytic subunit 1	SO:0001217, UniRef:UniRef50_Q5WLZ7
VFMYCCUN	tRNA	57694	57764	+	BBKEKH_00290	trnV	tRNA-Val(tac)	SO:0000273
VFMYCCUN	cds	57766	58446	+	BBKEKH_00295		hypothetical protein	
VFMYCCUN	cds	58448	59521	+	BBKEKH_00300		hypothetical protein	PFAM:PF00004.32, PFAM:PF13177.9
VFMYCCUN	tRNA	59601	59683	-	BBKEKH_00305	trnS	tRNA-Ser(tga)	SO:0000269
VFMYCCUN	tRNA	59687	59759	+	BBKEKH_00310	trnR	tRNA-Arg(acg)	SO:0001036
VFMYCCUN	cds	59762	60364	+	BBKEKH_00315		hypothetical protein	
VFMYCCUN	cds	60364	61578	+	BBKEKH_00320		Histidinol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A346E0H7
VFMYCCUN	cds	61575	62510	+	BBKEKH_00325		hypothetical protein	PFAM:PF00155.24
VFMYCCUN	cds	62507	63076	+	BBKEKH_00330		hypothetical protein	
VFMYCCUN	cds	63073	63666	+	BBKEKH_00335		hypothetical protein	PFAM:PF00117.31
VFMYCCUN	cds	63657	64343	+	BBKEKH_00340		hypothetical protein	PFAM:PF01884.20
