# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFLYNSP	tRNA	1187	1257	+	HJPDGP_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFLYNSP	cds	1672	2271	+	HJPDGP_00010		hypothetical protein	
VFLYNSP	cds	2261	2728	+	HJPDGP_00015		hypothetical protein	
VFLYNSP	cds	2703	3044	+	HJPDGP_00020		hypothetical protein	PFAM:PF00542.22
VFLYNSP	cds	3044	6697	+	HJPDGP_00025		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFLYNSP	cds	6690	10508	+	HJPDGP_00030		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFLYNSP	cds	10484	10876	+	HJPDGP_00035		hypothetical protein	
VFLYNSP	cds	10851	11324	+	HJPDGP_00040		hypothetical protein	PFAM:PF00177.24
VFLYNSP	cds	11324	13384	+	HJPDGP_00045		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFLYNSP	cds	13381	13686	+	HJPDGP_00050		hypothetical protein	PFAM:PF00338.25
VFLYNSP	tRNA	14098	14170	+	HJPDGP_00055	trnF	tRNA-Phe(gaa)	SO:0000267
VFLYNSP	cds	14179	14613	+	HJPDGP_00060		hypothetical protein	
VFLYNSP	cds	14594	15043	+	HJPDGP_00065		hypothetical protein	
VFLYNSP	cds	15040	16026	+	HJPDGP_00070		hypothetical protein	
VFLYNSP	cds	16043	16729	-	HJPDGP_00075		hypothetical protein	PFAM:PF00398.23
VFLYNSP	cds	16716	17837	-	HJPDGP_00080		hypothetical protein	
VFLYNSP	cds	17837	18226	-	HJPDGP_00085		hypothetical protein	
VFLYNSP	cds	18216	18524	-	HJPDGP_00090		hypothetical protein	
VFLYNSP	cds	18521	19309	-	HJPDGP_00095		hypothetical protein	PFAM:PF01678.22
VFLYNSP	cds	19312	19866	-	HJPDGP_00100		hypothetical protein	
VFLYNSP	cds	19859	21172	-	HJPDGP_00105		hypothetical protein	PFAM:PF00009.30
VFLYNSP	tRNA	21189	21261	+	HJPDGP_00110	trnQ	tRNA-Gln(ttg)	SO:0000261
VFLYNSP	cds	22114	22617	+	HJPDGP_00115		hypothetical protein	
VFLYNSP	cds	22603	23220	-	HJPDGP_00120		hypothetical protein	PFAM:PF05175.17
VFLYNSP	cds	23471	24577	+	HJPDGP_00125		hypothetical protein	PFAM:PF00266.22, PFAM:PF01212.24
VFLYNSP	cds	24582	25850	-	HJPDGP_00130		hypothetical protein	PFAM:PF00152.23, PFAM:PF01409.23
VFLYNSP	cds	25847	26551	-	HJPDGP_00135		hypothetical protein	PFAM:PF03462.21
VFLYNSP	cds	26532	27386	-	HJPDGP_00140		hypothetical protein	PFAM:PF00701.25
VFLYNSP	cds	27421	28335	+	HJPDGP_00145		hypothetical protein	
VFLYNSP	tRNA	29504	29586	+	HJPDGP_00150	trnS	tRNA-Ser(gct)	SO:0000269
VFLYNSP	cds	29800	32088	-	HJPDGP_00155		hypothetical protein	PFAM:PF08264.16
VFLYNSP	cds	32051	32200	-	HJPDGP_00160		hypothetical protein	
VFLYNSP	cds	32184	32360	-	HJPDGP_00165		hypothetical protein	
VFLYNSP	tmRNA	34495	34783	-	HJPDGP_00170	ssrA	transfer-messenger RNA, SsrA	SO:0000584
VFLYNSP	cds	34788	35495	+	HJPDGP_00175		hypothetical protein	
VFLYNSP	cds	35492	36649	+	HJPDGP_00180		hypothetical protein	PFAM:PF01053.23
VFLYNSP	cds	36646	37509	-	HJPDGP_00185		hypothetical protein	PFAM:PF03462.21
VFLYNSP	cds	37499	38227	-	HJPDGP_00190		hypothetical protein	PFAM:PF00218.24
VFLYNSP	cds	38224	39216	-	HJPDGP_00195		hypothetical protein	
VFLYNSP	cds	39200	39766	-	HJPDGP_00200		hypothetical protein	PFAM:PF00117.31, PFAM:PF07722.16
VFLYNSP	cds	39763	40974	-	HJPDGP_00205		hypothetical protein	
VFLYNSP	cds	40971	42350	-	HJPDGP_00210		hypothetical protein	PFAM:PF00206.23, PFAM:PF14698.9
VFLYNSP	cds	42350	43405	-	HJPDGP_00215		hypothetical protein	
