#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFOECSP1	1248	1622	+	IHBEBF_00010	14.5	10.2	PF03946.17|Ribosomal_L11_N	PFAM:PF03946.17
VFOECSP1	1619	2047	+	IHBEBF_00015	17.5	10.4		
VFOECSP1	2025	2366	+	IHBEBF_00020	13.1	9.8	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFOECSP1	2350	6135	+	IHBEBF_00025	150.7	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFOECSP1	6128	9745	+	IHBEBF_00030	140.2	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFOECSP1	9696	10079	+	IHBEBF_00035	14.1	10.2		
VFOECSP1	10058	10528	+	IHBEBF_00040	18.6	10.4	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFOECSP1	12581	12874	+	IHBEBF_00050	11.8	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFOECSP1	13369	13536	+	IHBEBF_00060	6.6	10.3		
VFOECSP1	13525	14046	-	IHBEBF_00065	20.5	10.0	PF00398.23|RrnaAD	PFAM:PF00398.23
VFOECSP1	14033	15040	-	IHBEBF_00070	39.9	10.1		
VFOECSP1	15037	15417	-	IHBEBF_00075	14.6	10.8		
VFOECSP1	15411	15686	-	IHBEBF_00080	10.9	10.1		
VFOECSP1	15658	16440	-	IHBEBF_00085	30.6	9.9	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFOECSP1	16437	17057	-	IHBEBF_00090	24.2	9.9		
VFOECSP1	17057	17398	-	IHBEBF_00095	13.7	10.1	PF00436.28|SSB	PFAM:PF00436.28
VFOECSP1	17475	18368	+	IHBEBF_00105	35.2	10.1	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFOECSP1	18358	18798	+	IHBEBF_00110	17.4	10.1		
VFOECSP1	18781	19326	-	IHBEBF_00115	21.6	10.1	PF05175.17|MTS	PFAM:PF05175.17
VFOECSP1	19556	20533	+	IHBEBF_00125	37.2	10.1	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFOECSP1	20530	21852	-	IHBEBF_00130	52.4	9.9	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFOECSP1	21833	22474	-	IHBEBF_00135	25.1	10.0	PF03462.21|PCRF	PFAM:PF03462.21
VFOECSP1	22467	23315	-	IHBEBF_00140	32.9	10.1	PF00701.25|DHDPS, PF04218.16|CENP-B_N	PFAM:PF00701.25, PFAM:PF04218.16
VFOECSP1	23461	24240	+	IHBEBF_00145	32.0	10.3		
VFOECSP1	27801	27938	-	IHBEBF_00155	5.7	10.2		
VFOECSP1	27901	28092	-	IHBEBF_00160	7.5	12.0		
VFOECSP1	28097	30334	+	IHBEBF_00165	89.4	9.8	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFOECSP1	30441	31145	+	IHBEBF_00170	28.8	10.0		
VFOECSP1	31142	32275	+	IHBEBF_00175	44.6	9.9	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFOECSP1	32262	32951	-	IHBEBF_00180	26.7	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFOECSP1	32939	33700	-	IHBEBF_00185	30.3	9.7	PF00218.24|IGPS	PFAM:PF00218.24
VFOECSP1	33666	34586	-	IHBEBF_00190	36.1	10.1		
VFOECSP1	34579	35151	-	IHBEBF_00195	21.7	9.7	PF00117.31|GATase, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF07722.16
VFOECSP1	35148	36392	-	IHBEBF_00200	49.3	10.0		
VFOECSP1	36389	37771	-	IHBEBF_00205	53.8	9.9	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
VFOECSP1	37973	39139	-	IHBEBF_00210	47.4	10.1	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFOECSP1	39126	40064	-	IHBEBF_00215	38.4	9.9		
VFOECSP1	40064	41011	-	IHBEBF_00220	37.2	9.8		
VFOECSP1	41073	42245	+	IHBEBF_00225	47.4	10.0	PF08275.14|Toprim_N, PF13662.9|Toprim_4	PFAM:PF08275.14, PFAM:PF13662.9
VFOECSP1	46848	47654	+	IHBEBF_00250	32.5	9.8	PF02219.20|MTHFR	PFAM:PF02219.20
VFOECSP1	47657	48706	+	IHBEBF_00255	40.6	9.9	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
VFOECSP1	48696	49310	+	IHBEBF_00260	24.6	9.9	PF00697.25|PRAI	PFAM:PF00697.25
VFOECSP1	49288	50436	+	IHBEBF_00265	43.1	9.6		
VFOECSP1	50436	51140	+	IHBEBF_00270	28.3	10.1	PF00290.23|Trp_syntA	PFAM:PF00290.23
VFOECSP1	51133	51369	+	IHBEBF_00275	9.2	10.3		
VFOECSP1	51605	51757	+	IHBEBF_00285	6.1	10.5		
VFOECSP1	51871	52413	-	IHBEBF_00290	21.6	10.3		
VFOECSP1	52489	53544	+	IHBEBF_00295	41.2	10.0	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
VFOECSP1	53534	56662	+	IHBEBF_00300	120.3	9.7	PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
VFOECSP1	58468	58866	+	IHBEBF_00315	16.5	9.9		
VFOECSP1	60178	60762	+	IHBEBF_00330	23.0	9.8		
VFOECSP1	61963	63003	+	IHBEBF_00340	41.3	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFOECSP1	62942	63505	+	IHBEBF_00345	21.9	9.5		
VFOECSP1	63502	64101	+	IHBEBF_00350	23.3	9.6	PF00117.31|GATase	PFAM:PF00117.31
VFOECSP1	64098	64817	+	IHBEBF_00355	27.7	10.1		
VFOECSP1	64810	65544	+	IHBEBF_00360	27.6	9.8		
VFOECSP1	67455	67544	-	IHBEBF_00385	3.7	11.0		
VFOECSP1	67489	67809	-	IHBEBF_00390	13.1	10.4		
VFOECSP1	69154	69426	+	IHBEBF_00415	10.6	10.0		
VFOECSP1	69407	69874	-	IHBEBF_00420	18.6	10.1		
VFOECSP1	69861	70340	-	IHBEBF_00425	19.5	10.0		
VFOECSP1	70337	70834	-	IHBEBF_00430	19.8	9.8		
VFOECSP1	70854	71942	+	IHBEBF_00435	43.3	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFOECSP1	72690	73691	+	IHBEBF_00445	39.8	10.0		
VFOECSP1	73669	73848	-	IHBEBF_00450	7.1	10.3		
VFOECSP1	73832	74746	-	IHBEBF_00455	35.9	10.1		
VFOECSP1	74743	75153	-	IHBEBF_00460	16.6	10.1		
VFOECSP1	75150	76412	-	IHBEBF_00465	49.0	9.8	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase, PF13481.9|AAA_25	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16, PFAM:PF13481.9
VFOECSP1	76405	76848	-	IHBEBF_00470	17.7	10.2	PF01250.20|Ribosomal_S6	PFAM:PF01250.20
VFOECSP1	77139	78248	-	IHBEBF_00480	45.0	10.1	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFOECSP1	78313	79605	+	IHBEBF_00485	51.0	10.0	PF02421.21|FeoB_N	PFAM:PF02421.21
VFOECSP1	79797	81386	+	IHBEBF_00490	62.1	9.8	PF13932.9|GIDA_C	PFAM:PF13932.9
VFOECSP1	81452	82705	+	IHBEBF_00495	49.6	10.2		
VFOECSP1	82702	83889	+	IHBEBF_00500	46.5	10.5	PF00575.26|S1	PFAM:PF00575.26
VFOECSP1	83890	84960	-	IHBEBF_00505	42.7	9.9		
VFOECSP1	85037	85609	+	IHBEBF_00510	23.0	10.0		
VFOECSP1	85599	86582	-	IHBEBF_00515	37.7	8.5	PF00226.34|DnaJ, PF00684.22|DnaJ_CXXCXGXG, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF00684.22, PFAM:PF01556.21
VFOECSP1	88389	88856	-	IHBEBF_00525	18.9	10.0		
VFOECSP1	88862	89800	+	IHBEBF_00530	36.3	10.0	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
VFOECSP1	89774	90742	-	IHBEBF_00535	38.4	10.1	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
VFOECSP1	90721	91404	-	IHBEBF_00540	28.2	9.9		
VFOECSP1	91395	93425	-	IHBEBF_00545	81.9	9.7		
VFOECSP1	93406	94053	-	IHBEBF_00550	25.7	9.7	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
