gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFPARIOC	1177	1250	f	1	2	Aragorn	001002
2	VFPARIOC	1256	1646	f	0	1	Prodigal	002006
3	VFPARIOC	1635	2283	f	0	1	Prodigal	002006
4	VFPARIOC	2251	2701	f	0	1	Prodigal	002006
5	VFPARIOC	2687	3032	f	0	1	Prodigal	002006
6	VFPARIOC	3028	6802	f	0	1	Prodigal	002006
7	VFPARIOC	6798	10665	f	0	1	Prodigal	002006
8	VFPARIOC	10661	11048	f	0	1	Prodigal	002006
9	VFPARIOC	11010	11499	f	0	1	Prodigal	002006
10	VFPARIOC	11498	13535	f	0	1	Prodigal	002006
11	VFPARIOC	13531	13879	f	0	1	Prodigal	002006
12	VFPARIOC	14242	14315	f	1	2	Aragorn	001002
13	VFPARIOC	14687	15449	f	0	1	Prodigal	002006
14	VFPARIOC	15445	17044	f	0	1	Prodigal	002006
15	VFPARIOC	16987	17704	r	0	1	Prodigal	002006
16	VFPARIOC	17696	18815	r	0	1	Prodigal	002006
17	VFPARIOC	18811	19198	r	0	1	Prodigal	002006
18	VFPARIOC	19197	19527	r	0	1	Prodigal	002006
19	VFPARIOC	19523	20288	r	0	1	Prodigal	002006
20	VFPARIOC	20299	20938	r	0	1	Prodigal	002006
21	VFPARIOC	22465	22537	f	0	2	Aragorn	001002
22	VFPARIOC	22544	23387	f	0	1	Prodigal	002006
23	VFPARIOC	23358	23814	f	0	1	Prodigal	002006
24	VFPARIOC	23799	24363	r	0	1	Prodigal	002006
25	VFPARIOC	24644	25736	f	0	1	Prodigal	002006
26	VFPARIOC	25725	27015	r	0	1	Prodigal	002006
27	VFPARIOC	27019	27673	r	0	1	Prodigal	002006
28	VFPARIOC	27641	28229	r	0	1	Prodigal	002006
29	VFPARIOC	30617	30703	f	1	2	Aragorn	001002
30	VFPARIOC	30883	33190	r	0	1	Prodigal	002006
31	VFPARIOC	33186	33324	r	0	1	Prodigal	002006
32	VFPARIOC	33395	35639	f	0	1	Prodigal	002006
33	VFPARIOC	35860	36622	f	0	1	Prodigal	002006
34	VFPARIOC	36618	37740	f	0	1	Prodigal	002006
35	VFPARIOC	37710	38601	r	0	1	Prodigal	002006
36	VFPARIOC	38551	39334	r	0	1	Prodigal	002006
37	VFPARIOC	39315	40272	r	0	1	Prodigal	002006
38	VFPARIOC	40246	40831	r	0	1	Prodigal	002006
39	VFPARIOC	40827	42084	r	0	1	Prodigal	002006
40	VFPARIOC	42080	43421	r	0	1	Prodigal	002006
41	VFPARIOC	43696	45106	r	0	1	Prodigal	002006
42	VFPARIOC	45086	46052	r	0	1	Prodigal	002006
43	VFPARIOC	46035	46947	r	0	1	Prodigal	002006
44	VFPARIOC	46947	47997	f	0	1	Prodigal	002006
45	VFPARIOC	49232	49304	f	0	2	Aragorn	001002
46	VFPARIOC	49310	52247	f	0	1	Prodigal	002006
47	VFPARIOC	52243	52396	f	0	1	Prodigal	002006
48	VFPARIOC	52410	52483	f	1	2	Aragorn	001002
49	VFPARIOC	52485	52573	f	1	2	Aragorn	001002
50	VFPARIOC	53319	54327	f	0	1	Prodigal	002006
51	VFPARIOC	54304	54937	f	0	1	Prodigal	002006
52	VFPARIOC	54914	56060	f	0	1	Prodigal	002006
53	VFPARIOC	56059	56713	f	0	1	Prodigal	002006
54	VFPARIOC	56706	56958	f	0	1	Prodigal	002006
55	VFPARIOC	56929	57157	f	0	1	Prodigal	002006
56	VFPARIOC	57164	57236	r	0	2	Aragorn	001002
57	VFPARIOC	57334	57408	r	1	2	Aragorn	001002
58	VFPARIOC	57407	57481	r	1	2	Aragorn	001002
59	VFPARIOC	57984	58995	f	0	1	Prodigal	002006
60	VFPARIOC	58991	62063	f	0	1	Prodigal	002006
61	VFPARIOC	62049	62571	f	0	1	Prodigal	002006
62	VFPARIOC	62567	63134	f	0	1	Prodigal	002006
63	VFPARIOC	64287	64360	f	1	2	Aragorn	001002
64	VFPARIOC	64361	65087	f	0	1	Prodigal	002006
65	VFPARIOC	66139	66220	r	0	2	Aragorn	001002
66	VFPARIOC	66219	66302	r	1	2	Aragorn	001002
67	VFPARIOC	66302	66374	f	0	2	Aragorn	001002
68	VFPARIOC	66384	66957	f	0	1	Prodigal	002006
69	VFPARIOC	66960	68178	f	0	1	Prodigal	002006
70	VFPARIOC	68174	69146	f	0	1	Prodigal	002006
71	VFPARIOC	69135	69711	f	0	1	Prodigal	002006
72	VFPARIOC	69707	70295	f	0	1	Prodigal	002006
73	VFPARIOC	70263	70965	f	0	1	Prodigal	002006
74	VFPARIOC	70961	71699	f	0	1	Prodigal	002006
