locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFUGYLON_00001	CDS	1191	tufA		COG0050	Elongation factor Tu
VFUGYLON_00001	gene	1191	tufA			
VFUGYLON_00002	CDS	378	rplK		COG0080	50S ribosomal protein L11
VFUGYLON_00002	gene	378	rplK			
VFUGYLON_00003	CDS	558	rplA		COG0081	50S ribosomal protein L1
VFUGYLON_00003	gene	558	rplA			
VFUGYLON_00004	CDS	444				hypothetical protein
VFUGYLON_00004	gene	444				
VFUGYLON_00005	CDS	327	rplL		COG0222	50S ribosomal protein L7/L12
VFUGYLON_00005	gene	327	rplL			
VFUGYLON_00006	CDS	3270	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFUGYLON_00006	gene	3270	rpoB			
VFUGYLON_00007	CDS	3543	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFUGYLON_00007	gene	3543	rpoC			
VFUGYLON_00008	CDS	378	rpsL		COG0048	30S ribosomal protein S12
VFUGYLON_00008	gene	378	rpsL			
VFUGYLON_00009	CDS	465	rpsG		COG0049	30S ribosomal protein S7
VFUGYLON_00009	gene	465	rpsG			
VFUGYLON_00010	CDS	2046	fusA		COG0480	Elongation factor G
VFUGYLON_00010	gene	2046	fusA			
VFUGYLON_00011	CDS	294	rpsJ		COG0051	30S ribosomal protein S10
VFUGYLON_00011	gene	294	rpsJ			
VFUGYLON_00012	CDS	207	cspA		COG1278	Cold shock-like protein CspA
VFUGYLON_00012	gene	207	cspA			
VFUGYLON_00013	CDS	438	def1	3.5.1.88		Peptide deformylase 1
VFUGYLON_00013	gene	438	def1			
VFUGYLON_00014	CDS	681	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
VFUGYLON_00014	gene	681	fmt			
VFUGYLON_00015	CDS	471	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
VFUGYLON_00015	gene	471	rsmA			
VFUGYLON_00016	CDS	369	rpsI		COG0103	30S ribosomal protein S9
VFUGYLON_00016	gene	369	rpsI			
VFUGYLON_00017	CDS	273	rplM			50S ribosomal protein L13
VFUGYLON_00017	gene	273	rplM			
VFUGYLON_00018	CDS	771	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFUGYLON_00018	gene	771	dapF			
VFUGYLON_00019	CDS	579				hypothetical protein
VFUGYLON_00019	gene	579				
VFUGYLON_00020	CDS	876	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFUGYLON_00020	gene	876	prs			
VFUGYLON_00021	CDS	450				hypothetical protein
VFUGYLON_00021	gene	450				
VFUGYLON_00022	CDS	525	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFUGYLON_00022	gene	525	rsmD			
VFUGYLON_00023	CDS	1104	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFUGYLON_00023	gene	1104	iscS			
VFUGYLON_00024	CDS	684	prfA		COG0216	Peptide chain release factor RF1
VFUGYLON_00024	gene	684	prfA			
VFUGYLON_00025	CDS	732	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
VFUGYLON_00025	gene	732	trpC			
VFUGYLON_00026	CDS	828	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
VFUGYLON_00026	gene	828	trpD2			
VFUGYLON_00027	CDS	555	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
VFUGYLON_00027	gene	555	trpG			
VFUGYLON_00028	CDS	1197	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
VFUGYLON_00028	gene	1197	trpE			
VFUGYLON_00029	CDS	1401	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFUGYLON_00029	gene	1401	argH			
VFUGYLON_00030	CDS	870	thrB	2.7.1.39	COG2334	Homoserine kinase
VFUGYLON_00030	gene	870	thrB			
VFUGYLON_00031	CDS	1053	dnaG	2.7.7.-	COG0358	DNA primase
VFUGYLON_00031	gene	1053	dnaG			
VFUGYLON_00032	CDS	1134	rpoD		COG0568	RNA polymerase sigma factor RpoD
VFUGYLON_00032	gene	1134	rpoD			
VFUGYLON_00033	CDS	2709	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
