gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFRANSCY	0	1188	f	0	1	Prodigal	002006
2	VFRANSCY	1265	1679	f	0	1	Prodigal	002006
3	VFRANSCY	1681	2290	f	0	1	Prodigal	002006
4	VFRANSCY	2286	2739	f	0	1	Prodigal	002006
5	VFRANSCY	2716	3064	f	0	1	Prodigal	002006
6	VFRANSCY	3072	6834	f	0	1	Prodigal	002006
7	VFRANSCY	6830	10718	f	0	1	Prodigal	002006
8	VFRANSCY	10714	11107	f	0	1	Prodigal	002006
9	VFRANSCY	11081	11555	f	0	1	Prodigal	002006
10	VFRANSCY	11554	13621	f	0	1	Prodigal	002006
11	VFRANSCY	13617	13926	f	0	1	Prodigal	002006
12	VFRANSCY	14341	14414	f	1	2	Aragorn	001002
13	VFRANSCY	14421	14799	f	0	1	Prodigal	002006
14	VFRANSCY	14772	15243	r	0	1	Prodigal	002006
15	VFRANSCY	15464	16556	r	0	1	Prodigal	002006
16	VFRANSCY	16552	16942	r	0	1	Prodigal	002006
17	VFRANSCY	16941	17238	r	0	1	Prodigal	002006
18	VFRANSCY	17234	18032	r	0	1	Prodigal	002006
19	VFRANSCY	18033	18579	r	0	1	Prodigal	002006
20	VFRANSCY	18820	18893	f	1	2	Aragorn	001002
21	VFRANSCY	19755	20265	f	0	1	Prodigal	002006
22	VFRANSCY	20265	20811	r	0	1	Prodigal	002006
23	VFRANSCY	21128	22256	f	0	1	Prodigal	002006
24	VFRANSCY	22252	23524	r	0	1	Prodigal	002006
25	VFRANSCY	23520	24219	r	0	1	Prodigal	002006
26	VFRANSCY	24220	25063	r	0	1	Prodigal	002006
27	VFRANSCY	25106	26033	f	0	1	Prodigal	002006
28	VFRANSCY	26029	27202	f	0	1	Prodigal	002006
29	VFRANSCY	27242	27328	f	1	2	Aragorn	001002
30	VFRANSCY	27541	29752	r	0	1	Prodigal	002006
31	VFRANSCY	29753	29900	r	0	1	Prodigal	002006
32	VFRANSCY	29905	30070	r	0	1	Prodigal	002006
33	VFRANSCY	30079	32272	f	0	1	Prodigal	002006
34	VFRANSCY	32190	32515	r	1	2	Aragorn	001002
35	VFRANSCY	32520	33222	f	0	1	Prodigal	002006
