#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFLIBAN	1265	1642	+	DOALII_00010	14.5	10.3	PF00298.22|Ribosomal_L11, PF03946.17|Ribosomal_L11_N	PFAM:PF00298.22, PFAM:PF03946.17
VFLIBAN	1635	2231	+	DOALII_00015	23.8	10.0		
VFLIBAN	2228	2641	+	DOALII_00020	16.8	10.0		
VFLIBAN	2619	2963	+	DOALII_00025	13.2	9.7	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFLIBAN	2960	6811	+	DOALII_00030	151.6	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFLIBAN	6808	10692	+	DOALII_00035	151.5	10.0	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFLIBAN	10670	11059	+	DOALII_00040	14.3	10.8		
VFLIBAN	11031	11504	+	DOALII_00045	18.6	10.2	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFLIBAN	13540	13836	+	DOALII_00055	11.6	10.1	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFLIBAN	14299	14703	+	DOALII_00065	16.3	10.0		
VFLIBAN	14681	15364	-	DOALII_00070	28.0	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
VFLIBAN	15340	16437	-	DOALII_00075	43.8	10.1		
VFLIBAN	16434	16823	-	DOALII_00080	15.3	10.2		
VFLIBAN	16820	17113	-	DOALII_00085	11.5	10.3		
VFLIBAN	17110	17907	-	DOALII_00090	31.8	10.0	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFLIBAN	17894	18553	-	DOALII_00095	26.3	10.0		
VFLIBAN	18550	20022	-	DOALII_00100	57.7	10.0	PF00009.30|GTP_EFTU, PF00071.25|Ras, PF10662.12|PduV-EutP	PFAM:PF00009.30, PFAM:PF00071.25, PFAM:PF10662.12
VFLIBAN	20111	20956	+	DOALII_00110	34.1	10.3	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
VFLIBAN	20949	21425	+	DOALII_00115	19.2	10.2		
VFLIBAN	21420	21965	-	DOALII_00120	21.1	10.2	PF01564.20|Spermine_synth, PF05175.17|MTS	PFAM:PF01564.20, PFAM:PF05175.17
VFLIBAN	22244	23347	+	DOALII_00125	42.8	10.1	PF00155.24|Aminotran_1_2, PF00266.22|Aminotran_5, PF01041.20|DegT_DnrJ_EryC1	PFAM:PF00155.24, PFAM:PF00266.22, PFAM:PF01041.20
VFLIBAN	23333	24655	-	DOALII_00130	52.8	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFLIBAN	24652	25326	-	DOALII_00135	26.8	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFLIBAN	25316	26188	-	DOALII_00140	33.4	10.3	PF00701.25|DHDPS	PFAM:PF00701.25
VFLIBAN	28462	30753	-	DOALII_00150	93.2	10.2	PF08264.16|Anticodon_1	PFAM:PF08264.16
VFLIBAN	30750	30887	-	DOALII_00155	5.5	10.4		
VFLIBAN	30880	31062	-	DOALII_00160	7.4	11.0		
VFLIBAN	31078	33279	+	DOALII_00165	88.2	10.1	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFLIBAN	33498	34250	+	DOALII_00170	31.2	10.3		
VFLIBAN	34247	35413	+	DOALII_00175	45.4	10.1	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFLIBAN	35402	36262	-	DOALII_00180	34.4	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFLIBAN	36252	36974	-	DOALII_00185	29.2	10.2	PF00218.24|IGPS	PFAM:PF00218.24
VFLIBAN	36946	37854	-	DOALII_00190	35.2	10.2		
VFLIBAN	37847	38419	-	DOALII_00195	22.7	10.2	PF00117.31|GATase	PFAM:PF00117.31
VFLIBAN	38416	39651	-	DOALII_00200	49.6	10.1		
VFLIBAN	41266	42213	-	DOALII_00210	38.0	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFLIBAN	42176	43138	-	DOALII_00215	38.9	10.1		
VFLIBAN	43191	44387	+	DOALII_00220	48.9	10.2		
VFLIBAN	45852	48716	+	DOALII_00230	113.6	10.2	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
VFLIBAN	49043	49807	+	DOALII_00245	31.1	10.3		
VFLIBAN	49776	50795	+	DOALII_00250	39.5	10.1	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
VFLIBAN	50788	51351	+	DOALII_00255	21.9	10.1	PF00697.25|PRAI	PFAM:PF00697.25
VFLIBAN	52492	53211	+	DOALII_00265	28.9	10.4	PF00290.23|Trp_syntA	PFAM:PF00290.23
VFLIBAN	53177	53422	+	DOALII_00270	9.6	10.6		
VFLIBAN	53403	53633	+	DOALII_00275	9.2	10.1		
VFLIBAN	54494	55501	+	DOALII_00290	39.1	10.1	PF00117.31|GATase, PF00988.25|CPSase_sm_chain, PF07722.16|Peptidase_C26	PFAM:PF00117.31, PFAM:PF00988.25, PFAM:PF07722.16
VFLIBAN	58559	59086	+	DOALII_00300	21.4	9.8		
VFLIBAN	60851	61528	+	DOALII_00315	27.9	10.2		
VFLIBAN	61529	62587	+	DOALII_00320	41.8	9.8	PF00004.32|AAA, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF13177.9
VFLIBAN	62841	63437	+	DOALII_00335	23.6	10.1		
VFLIBAN	63434	64684	+	DOALII_00340	47.4	10.1		
VFLIBAN	64662	65588	+	DOALII_00345	37.4	10.3	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFLIBAN	65585	66157	+	DOALII_00350	22.6	9.3		
VFLIBAN	66154	66756	+	DOALII_00355	23.3	9.9	PF00117.31|GATase, PF01174.22|SNO	PFAM:PF00117.31, PFAM:PF01174.22
VFLIBAN	66757	67446	+	DOALII_00360	27.0	10.5		
VFLIBAN	70159	70614	-	DOALII_00385	18.0	10.2	PF05198.19|IF3_N	PFAM:PF05198.19
VFLIBAN	72128	72466	+	DOALII_00405	13.4	10.4		
VFLIBAN	72441	72935	-	DOALII_00410	19.8	10.0		
VFLIBAN	72932	73876	-	DOALII_00415	38.5	10.1		
VFLIBAN	73983	74957	+	DOALII_00420	38.6	10.1	PF00155.24|Aminotran_1_2, PF04864.16|Alliinase_C	PFAM:PF00155.24, PFAM:PF04864.16
VFLIBAN	75734	76813	+	DOALII_00430	41.3	10.0	PF07687.17|M20_dimer	PFAM:PF07687.17
VFLIBAN	76805	78127	-	DOALII_00435	52.3	10.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
VFLIBAN	78124	79242	-	DOALII_00440	44.3	10.1	PF00742.22|Homoserine_dh	PFAM:PF00742.22
VFLIBAN	79235	80494	-	DOALII_00445	49.9	10.2	PF00772.24|DnaB, PF03796.18|DnaB_C, PF06745.16|ATPase, PF13481.9|AAA_25	PFAM:PF00772.24, PFAM:PF03796.18, PFAM:PF06745.16, PFAM:PF13481.9
VFLIBAN	80501	80659	-	DOALII_00450	6.2	10.6		
VFLIBAN	80656	80958	-	DOALII_00455	12.2	10.1	PF01250.20|Ribosomal_S6	PFAM:PF01250.20
VFLIBAN	80959	81255	+	DOALII_00460	11.8	9.6	PF00085.23|Thioredoxin	PFAM:PF00085.23
VFLIBAN	81635	82906	+	DOALII_00475	49.1	10.2	PF02421.21|FeoB_N	PFAM:PF02421.21
VFLIBAN	84699	84938	+	DOALII_00485	9.5	10.3		
VFLIBAN	84923	86488	+	DOALII_00490	58.2	9.9		
VFLIBAN	86492	87724	+	DOALII_00495	48.8	10.0		
VFLIBAN	87721	88653	+	DOALII_00500	37.9	10.3		
VFLIBAN	88640	89755	-	DOALII_00505	45.2	10.2	PF02768.18|DNA_pol3_beta_3	PFAM:PF02768.18
VFLIBAN	89839	90426	+	DOALII_00510	23.7	10.1		
VFLIBAN	90401	91390	-	DOALII_00515	38.3	9.3	PF00226.34|DnaJ, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF01556.21
VFLIBAN	93193	93645	-	DOALII_00525	17.8	10.0		
VFLIBAN	93694	94632	+	DOALII_00530	36.1	9.9	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
VFLIBAN	94629	95615	-	DOALII_00535	38.7	10.2	PF03054.19|tRNA_Me_trans, PF06508.16|QueC, PF20258.1|tRNA_Me_trans_C	PFAM:PF03054.19, PFAM:PF06508.16, PFAM:PF20258.1
VFLIBAN	95612	96106	-	DOALII_00540	20.2	10.4		
VFLIBAN	96103	98067	-	DOALII_00545	79.0	10.1		
VFLIBAN	98064	98693	-	DOALII_00550	24.8	10.1	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
VFLIBAN	101003	101248	-	DOALII_00565	9.0	10.7		
VFLIBAN	101227	101547	-	DOALII_00570	12.9	10.5		
VFLIBAN	101525	102337	-	DOALII_00575	32.9	10.2		
VFLIBAN	102458	103657	+	DOALII_00585	46.9	10.1		
VFLIBAN	108279	108695	+	DOALII_00605	15.9	10.4		
VFLIBAN	108679	109260	+	DOALII_00610	23.3	10.3		
VFLIBAN	109238	109423	+	DOALII_00615	7.4	10.4		
VFLIBAN	110447	110791	+	DOALII_00630	13.5	10.0	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
VFLIBAN	110742	111386	+	DOALII_00635	25.7	10.0	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
VFLIBAN	111781	112005	+	DOALII_00645	8.9	10.9	PF00366.23|Ribosomal_S17	PFAM:PF00366.23
VFLIBAN	112904	113206	+	DOALII_00660	12.1	11.1		
VFLIBAN	113206	113571	+	DOALII_00665	14.5	9.9	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
VFLIBAN	113571	114089	+	DOALII_00670	20.5	10.1		
VFLIBAN	114052	114381	+	DOALII_00675	13.5	10.2		
VFLIBAN	114378	114812	+	DOALII_00680	16.6	10.5	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
VFLIBAN	114794	115126	+	DOALII_00685	12.7	10.6		
VFLIBAN	115332	115445	+	DOALII_00695	4.4	10.6	PF00444.21|Ribosomal_L36	PFAM:PF00444.21
VFLIBAN	116127	116639	+	DOALII_00710	20.6	10.3	PF01479.28|S4	PFAM:PF01479.28
VFLIBAN	116617	117261	+	DOALII_00715	25.2	10.1	PF01000.29|RNA_pol_A_bac, PF01193.27|RNA_pol_L	PFAM:PF01000.29, PFAM:PF01193.27
