gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFDICMUL	1188	1264	f	1	2	Aragorn	001002
2	VFDICMUL	1267	1663	f	0	1	Prodigal	002006
3	VFDICMUL	1629	2217	f	0	1	Prodigal	002006
4	VFDICMUL	2213	2681	f	0	1	Prodigal	002006
5	VFDICMUL	2658	3006	f	0	1	Prodigal	002006
6	VFDICMUL	3005	6710	f	0	1	Prodigal	002006
7	VFDICMUL	6706	10474	f	0	1	Prodigal	002006
8	VFDICMUL	10470	10857	f	0	1	Prodigal	002006
9	VFDICMUL	10831	11305	f	0	1	Prodigal	002006
10	VFDICMUL	11313	13359	f	0	1	Prodigal	002006
11	VFDICMUL	13327	13633	f	0	1	Prodigal	002006
12	VFDICMUL	14042	14114	f	0	2	Aragorn	001002
13	VFDICMUL	14126	14450	f	0	1	Prodigal	002006
14	VFDICMUL	14433	15144	r	0	1	Prodigal	002006
15	VFDICMUL	15134	16268	r	0	1	Prodigal	002006
16	VFDICMUL	16221	16614	r	0	1	Prodigal	002006
17	VFDICMUL	16600	16909	r	0	1	Prodigal	002006
18	VFDICMUL	16886	17711	r	0	1	Prodigal	002006
19	VFDICMUL	17710	18262	r	0	1	Prodigal	002006
20	VFDICMUL	18810	19671	f	0	1	Prodigal	002006
21	VFDICMUL	19651	20152	f	0	1	Prodigal	002006
22	VFDICMUL	20137	20683	r	0	1	Prodigal	002006
23	VFDICMUL	21013	22150	f	0	1	Prodigal	002006
24	VFDICMUL	22121	23396	r	0	1	Prodigal	002006
25	VFDICMUL	23395	24082	r	0	1	Prodigal	002006
26	VFDICMUL	24068	24974	r	0	1	Prodigal	002006
27	VFDICMUL	24977	25913	f	0	1	Prodigal	002006
28	VFDICMUL	27037	27123	f	1	2	Aragorn	001002
29	VFDICMUL	27346	29542	r	0	1	Prodigal	002006
30	VFDICMUL	29538	29688	r	0	1	Prodigal	002006
31	VFDICMUL	29859	32034	f	0	1	Prodigal	002006
32	VFDICMUL	32251	32770	f	0	1	Prodigal	002006
33	VFDICMUL	32778	33873	f	0	1	Prodigal	002006
34	VFDICMUL	33865	34726	r	0	1	Prodigal	002006
35	VFDICMUL	34722	35463	r	0	1	Prodigal	002006
36	VFDICMUL	35462	36470	r	0	1	Prodigal	002006
37	VFDICMUL	36456	37017	r	0	1	Prodigal	002006
38	VFDICMUL	37013	38243	r	0	1	Prodigal	002006
39	VFDICMUL	38239	39589	r	0	1	Prodigal	002006
40	VFDICMUL	39623	40586	r	0	1	Prodigal	002006
41	VFDICMUL	40829	42131	r	0	1	Prodigal	002006
42	VFDICMUL	42096	43128	r	0	1	Prodigal	002006
43	VFDICMUL	43563	44955	f	0	1	Prodigal	002006
44	VFDICMUL	45178	48064	f	0	1	Prodigal	002006
45	VFDICMUL	48209	48292	f	1	2	Aragorn	001002
46	VFDICMUL	48292	48378	f	1	2	Aragorn	001002
47	VFDICMUL	48378	48463	f	1	2	Aragorn	001002
48	VFDICMUL	49219	50230	f	0	1	Prodigal	002006
49	VFDICMUL	50195	50795	f	0	1	Prodigal	002006
50	VFDICMUL	50787	51915	f	0	1	Prodigal	002006
51	VFDICMUL	51914	52589	f	0	1	Prodigal	002006
52	VFDICMUL	52569	52833	f	0	1	Prodigal	002006
53	VFDICMUL	52813	53041	f	0	1	Prodigal	002006
54	VFDICMUL	53041	53113	r	0	2	Aragorn	001002
55	VFDICMUL	53132	53393	f	0	1	Prodigal	002006
56	VFDICMUL	53415	53622	f	0	1	Prodigal	002006
57	VFDICMUL	53757	53829	r	0	2	Aragorn	001002
58	VFDICMUL	53829	53901	r	0	2	Aragorn	001002
59	VFDICMUL	54412	55477	f	0	1	Prodigal	002006
60	VFDICMUL	55458	58539	f	0	1	Prodigal	002006
61	VFDICMUL	58525	59077	f	0	1	Prodigal	002006
62	VFDICMUL	59073	59637	f	0	1	Prodigal	002006
63	VFDICMUL	60797	60871	f	1	2	Aragorn	001002
64	VFDICMUL	60879	61473	f	0	1	Prodigal	002006
65	VFDICMUL	61450	62248	f	0	1	Prodigal	002006
66	VFDICMUL	62397	62479	r	1	2	Aragorn	001002
67	VFDICMUL	62479	62562	r	1	2	Aragorn	001002
68	VFDICMUL	62575	63151	f	0	1	Prodigal	002006
69	VFDICMUL	63138	64377	f	0	1	Prodigal	002006
70	VFDICMUL	64370	65375	f	0	1	Prodigal	002006
71	VFDICMUL	65331	65904	f	0	1	Prodigal	002006
72	VFDICMUL	65896	66493	f	0	1	Prodigal	002006
73	VFDICMUL	66483	67170	f	0	1	Prodigal	002006
74	VFDICMUL	67169	67916	f	0	1	Prodigal	002006
75	VFDICMUL	67908	68208	f	0	1	Prodigal	002006
76	VFDICMUL	68457	68529	f	0	2	Aragorn	001002
77	VFDICMUL	68530	68603	f	1	2	Aragorn	001002
78	VFDICMUL	69448	69522	r	1	2	Aragorn	001002
79	VFDICMUL	69522	69876	r	0	1	Prodigal	002006
80	VFDICMUL	69862	70027	r	0	1	Prodigal	002006
81	VFDICMUL	70028	70460	r	0	1	Prodigal	002006
82	VFDICMUL	70505	70577	r	0	2	Aragorn	001002
83	VFDICMUL	71643	71714	r	1	2	Aragorn	001002
84	VFDICMUL	71832	71905	r	1	2	Aragorn	001002
85	VFDICMUL	71983	72055	f	0	2	Aragorn	001002
86	VFDICMUL	72062	72455	f	0	1	Prodigal	002006
87	VFDICMUL	72389	72908	r	0	1	Prodigal	002006
88	VFDICMUL	72907	73768	r	0	1	Prodigal	002006
89	VFDICMUL	73910	74990	f	0	1	Prodigal	002006
90	VFDICMUL	74937	75666	f	0	1	Prodigal	002006
91	VFDICMUL	75667	76522	f	0	1	Prodigal	002006
92	VFDICMUL	76921	78307	r	0	1	Prodigal	002006
93	VFDICMUL	78303	79497	r	0	1	Prodigal	002006
94	VFDICMUL	79493	80750	r	0	1	Prodigal	002006
95	VFDICMUL	80860	81037	r	0	1	Prodigal	002006
96	VFDICMUL	81342	81549	f	0	1	Prodigal	002006
97	VFDICMUL	81549	81623	r	1	2	Aragorn	001002
98	VFDICMUL	81622	81695	r	1	2	Aragorn	001002
99	VFDICMUL	82896	84204	f	0	1	Prodigal	002006
100	VFDICMUL	84200	86006	f	0	1	Prodigal	002006
101	VFDICMUL	86080	86347	f	0	1	Prodigal	002006
102	VFDICMUL	86336	87926	f	0	1	Prodigal	002006
103	VFDICMUL	87967	89245	f	0	1	Prodigal	002006
104	VFDICMUL	89229	90273	f	0	1	Prodigal	002006
105	VFDICMUL	90264	91248	r	0	1	Prodigal	002006
106	VFDICMUL	91333	92044	f	0	1	Prodigal	002006
107	VFDICMUL	92035	93061	r	0	1	Prodigal	002006
108	VFDICMUL	93075	94881	r	0	1	Prodigal	002006
109	VFDICMUL	94882	95293	r	0	1	Prodigal	002006
110	VFDICMUL	95357	96326	f	0	1	Prodigal	002006
111	VFDICMUL	96318	97314	r	0	1	Prodigal	002006
112	VFDICMUL	97413	99462	r	0	1	Prodigal	002006
113	VFDICMUL	99461	100097	r	0	1	Prodigal	002006
114	VFDICMUL	100089	101304	r	0	1	Prodigal	002006
115	VFDICMUL	101275	101920	r	0	1	Prodigal	002006
116	VFDICMUL	102014	102431	f	0	1	Prodigal	002006
117	VFDICMUL	102419	102659	r	0	1	Prodigal	002006
118	VFDICMUL	102651	102960	r	0	1	Prodigal	002006
119	VFDICMUL	102950	103745	r	0	1	Prodigal	002006
120	VFDICMUL	103753	103827	r	1	2	Aragorn	001002
121	VFDICMUL	105180	107944	r	1	2	barrnap	0.9
122	VFDICMUL	107961	108034	r	1	2	Aragorn	001002
123	VFDICMUL	108046	109545	r	1	2	barrnap	0.9
124	VFDICMUL	109813	110284	f	0	1	Prodigal	002006
125	VFDICMUL	110228	110831	f	0	1	Prodigal	002006
126	VFDICMUL	110811	111060	f	0	1	Prodigal	002006
127	VFDICMUL	110998	111808	f	0	1	Prodigal	002006
128	VFDICMUL	111804	112071	f	0	1	Prodigal	002006
129	VFDICMUL	112067	112370	f	0	1	Prodigal	002006
130	VFDICMUL	112373	112964	f	0	1	Prodigal	002006
131	VFDICMUL	112960	113353	f	0	1	Prodigal	002006
132	VFDICMUL	113349	113616	f	0	1	Prodigal	002006
133	VFDICMUL	113578	113944	f	0	1	Prodigal	002006
134	VFDICMUL	113944	114457	f	0	1	Prodigal	002006
135	VFDICMUL	114456	114732	f	0	1	Prodigal	002006
136	VFDICMUL	114731	115100	f	0	1	Prodigal	002006
137	VFDICMUL	115101	115629	f	0	1	Prodigal	002006
