# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFCIXPIL	tRNA	1184	1254	+	EPOHBE_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFCIXPIL	cds	1266	1688	+	EPOHBE_00010		hypothetical protein	PFAM:PF03946.17
VFCIXPIL	cds	1678	2319	+	EPOHBE_00015		hypothetical protein	
VFCIXPIL	cds	2309	2797	+	EPOHBE_00020		hypothetical protein	
VFCIXPIL	cds	2763	3113	+	EPOHBE_00025		hypothetical protein	PFAM:PF00542.22
VFCIXPIL	cds	3056	6988	+	EPOHBE_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFCIXPIL	cds	6985	10938	+	EPOHBE_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFCIXPIL	cds	10926	11303	+	EPOHBE_00040		30S ribosomal protein S12	SO:0001217, UniRef:UniRef50_A1TYJ2
VFCIXPIL	cds	11322	11792	+	EPOHBE_00045		hypothetical protein	PFAM:PF00177.24
VFCIXPIL	cds	11794	13881	+	EPOHBE_00050		Elongation factor G	SO:0001217, UniRef:UniRef50_P80868
VFCIXPIL	cds	13878	14180	+	EPOHBE_00055		hypothetical protein	PFAM:PF00338.25
VFCIXPIL	tRNA	14626	14698	+	EPOHBE_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFCIXPIL	cds	14756	15130	+	EPOHBE_00065		hypothetical protein	
VFCIXPIL	cds	16025	17191	-	EPOHBE_00070		hypothetical protein	
VFCIXPIL	cds	17229	17621	-	EPOHBE_00075		hypothetical protein	
VFCIXPIL	cds	17618	17971	-	EPOHBE_00080		hypothetical protein	
VFCIXPIL	cds	18948	19727	-	EPOHBE_00085		hypothetical protein	PFAM:PF01678.22
VFCIXPIL	cds	21560	22234	-	EPOHBE_00090		hypothetical protein	
VFCIXPIL	tRNA	22842	22914	+	EPOHBE_00095	trnQ	tRNA-Gln(ttg)	SO:0000261
VFCIXPIL	cds	25056	25598	+	EPOHBE_00100		hypothetical protein	PFAM:PF01386.22
VFCIXPIL	cds	25622	26182	-	EPOHBE_00105		hypothetical protein	PFAM:PF05175.17, PFAM:PF13847.9
VFCIXPIL	cds	27438	28556	+	EPOHBE_00110		hypothetical protein	PFAM:PF00155.24, PFAM:PF00266.22
VFCIXPIL	cds	28582	29910	-	EPOHBE_00115		hypothetical protein	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFCIXPIL	cds	29959	30648	-	EPOHBE_00120		hypothetical protein	PFAM:PF03462.21
