# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
VFAGAHAV	tRNA	1179	1251	+	ANMGGJ_00005	trnW	tRNA-Trp(cca)	SO:0000271
VFAGAHAV	cds	1270	1647	+	ANMGGJ_00010		hypothetical protein	PFAM:PF03946.17
VFAGAHAV	cds	1640	2236	+	ANMGGJ_00015		hypothetical protein	
VFAGAHAV	cds	2233	2646	+	ANMGGJ_00020		hypothetical protein	
VFAGAHAV	cds	2624	2968	+	ANMGGJ_00025		hypothetical protein	PFAM:PF00542.22
VFAGAHAV	cds	2962	6813	+	ANMGGJ_00030		hypothetical protein	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFAGAHAV	cds	6810	10694	+	ANMGGJ_00035		hypothetical protein	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
VFAGAHAV	cds	10672	11061	+	ANMGGJ_00040		hypothetical protein	
VFAGAHAV	cds	11033	11506	+	ANMGGJ_00045		hypothetical protein	PFAM:PF00177.24
VFAGAHAV	cds	11506	13545	+	ANMGGJ_00050		Elongation factor G 1	SO:0001217, UniRef:UniRef50_Q9KUZ7
VFAGAHAV	cds	13542	13838	+	ANMGGJ_00055		hypothetical protein	PFAM:PF00338.25
VFAGAHAV	tRNA	14211	14283	+	ANMGGJ_00060	trnF	tRNA-Phe(gaa)	SO:0000267
VFAGAHAV	cds	14294	14707	+	ANMGGJ_00065		hypothetical protein	
VFAGAHAV	cds	14685	15371	-	ANMGGJ_00070		hypothetical protein	PFAM:PF00398.23
VFAGAHAV	cds	15347	16444	-	ANMGGJ_00075		hypothetical protein	
VFAGAHAV	cds	16441	16830	-	ANMGGJ_00080		hypothetical protein	
VFAGAHAV	cds	16827	17120	-	ANMGGJ_00085		hypothetical protein	
VFAGAHAV	cds	17117	17902	-	ANMGGJ_00090		hypothetical protein	PFAM:PF01678.22
VFAGAHAV	cds	17889	18551	-	ANMGGJ_00095		hypothetical protein	
