#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	2288	2830	+	VFOLIH_00025	20.9	8.3		SO:0001217, UniRef:UniRef50_A0A346E0A8, UniRef:UniRef90_A0A346E0A8
contig_1	14319	14453	+	VFOLIH_00075	5.6	10.4		
contig_1	17788	18420	-	VFOLIH_00110	25.5	10.0		SO:0001217, UniParc:UPI000E29E170, UniRef:UniRef100_A0A346E0C4, UniRef:UniRef50_A0A346E0C4, UniRef:UniRef90_A0A346E0C4
contig_1	35192	35350	-	VFOLIH_00200	6.4	10.8		
contig_1	46348	47409	+	VFOLIH_00260	42.9	10.1	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	63248	63493	+	VFOLIH_00350	NA	9.9		
contig_1	63849	63944	+	VFOLIH_00360	3.8	11.8		
contig_1	71184	71750	+	VFOLIH_00395	23.5	10.0		SO:0001217, UniParc:UPI000E2987CA, UniRef:UniRef100_A0A346E0H4, UniRef:UniRef50_A0A346E0H4, UniRef:UniRef90_A0A346E0H4
contig_1	82884	83048	-	VFOLIH_00485	6.8	11.3		SO:0001217, UniParc:UPI000E2952AD, UniRef:UniRef100_A0A346E0I9, UniRef:UniRef50_A0A346E0I9, UniRef:UniRef90_A0A346E0I9
contig_1	84964	85323	+	VFOLIH_00510	14.5	10.4		SO:0001217, UniParc:UPI000E2974FA, UniRef:UniRef100_A0A346E0J2, UniRef:UniRef50_A0A346E0J2, UniRef:UniRef90_A0A346E0J2
contig_1	85307	85804	-	VFOLIH_00515	20.3	10.0		SO:0001217, UniParc:UPI000E29D604, UniRef:UniRef100_A0A346E0J3, UniRef:UniRef50_A0A346E0J3, UniRef:UniRef90_A0A346E0J3
contig_1	85804	86418	-	VFOLIH_00520	25.0	10.1		SO:0001217, UniParc:UPI000E28EF98, UniRef:UniRef100_A0A346E0J4, UniRef:UniRef50_A0A346E0J4, UniRef:UniRef90_A0A346E0J4
contig_1	109860	110435	-	VFOLIH_00640	23.9	10.0		SO:0001217, UniParc:UPI000E296B15, UniRef:UniRef100_A0A346E0L9, UniRef:UniRef50_A0A346E0L9, UniRef:UniRef90_A0A346E0L9
contig_1	115418	115717	-	VFOLIH_00675	12.2	10.5		SO:0001217, UniParc:UPI000E29B2DD, UniRef:UniRef100_A0A346E0M6, UniRef:UniRef50_A0A346E0M6, UniRef:UniRef90_A0A346E0M6
contig_1	122961	123419	-	VFOLIH_00715	18.6	10.1		SO:0001217, UniParc:UPI000E28EA72, UniRef:UniRef100_A0A346E0N0, UniRef:UniRef50_A0A346E0N0, UniRef:UniRef90_A0A346E0N0
