gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	VFCIXIUS	0	1188	f	0	1	Prodigal	002006
2	VFCIXIUS	1190	1261	f	1	2	Aragorn	001002
3	VFCIXIUS	1269	1680	f	0	1	Prodigal	002006
4	VFCIXIUS	1669	2332	f	0	1	Prodigal	002006
5	VFCIXIUS	2291	2756	f	0	1	Prodigal	002006
6	VFCIXIUS	2742	3138	f	0	1	Prodigal	002006
7	VFCIXIUS	3137	6680	f	0	1	Prodigal	002006
8	VFCIXIUS	6696	10584	f	0	1	Prodigal	002006
9	VFCIXIUS	10546	10942	f	0	1	Prodigal	002006
10	VFCIXIUS	10901	11405	f	0	1	Prodigal	002006
11	VFCIXIUS	11404	13468	f	0	1	Prodigal	002006
12	VFCIXIUS	13454	13769	f	0	1	Prodigal	002006
13	VFCIXIUS	13758	13965	r	0	1	Prodigal	002006
14	VFCIXIUS	14015	14441	f	0	1	Prodigal	002006
15	VFCIXIUS	15298	15373	f	0	2	Aragorn	001002
16	VFCIXIUS	15528	16380	f	0	1	Prodigal	002006
17	VFCIXIUS	16388	17480	f	0	1	Prodigal	002006
18	VFCIXIUS	17445	17937	r	0	1	Prodigal	002006
19	VFCIXIUS	17926	19054	r	0	1	Prodigal	002006
20	VFCIXIUS	19245	19635	r	0	1	Prodigal	002006
21	VFCIXIUS	19631	19919	r	0	1	Prodigal	002006
22	VFCIXIUS	19939	20773	r	0	1	Prodigal	002006
23	VFCIXIUS	20808	21486	r	0	1	Prodigal	002006
24	VFCIXIUS	21689	23117	r	0	1	Prodigal	002006
25	VFCIXIUS	23159	23232	f	1	2	Aragorn	001002
26	VFCIXIUS	23239	24148	f	0	1	Prodigal	002006
27	VFCIXIUS	24144	24690	f	0	1	Prodigal	002006
28	VFCIXIUS	24690	25251	r	0	1	Prodigal	002006
29	VFCIXIUS	25324	25420	f	0	1	Prodigal	002006
30	VFCIXIUS	25560	26739	f	0	1	Prodigal	002006
31	VFCIXIUS	26770	28120	r	0	1	Prodigal	002006
32	VFCIXIUS	28109	29033	r	0	1	Prodigal	002006
33	VFCIXIUS	29004	29916	r	0	1	Prodigal	002006
34	VFCIXIUS	29942	30929	f	0	1	Prodigal	002006
35	VFCIXIUS	30867	32025	f	0	1	Prodigal	002006
36	VFCIXIUS	32054	32145	f	1	2	Aragorn	001002
37	VFCIXIUS	34544	34715	r	0	1	Prodigal	002006
38	VFCIXIUS	34768	37000	f	0	1	Prodigal	002006
39	VFCIXIUS	36927	37249	r	1	2	Aragorn	001002
40	VFCIXIUS	37241	37979	f	0	1	Prodigal	002006
41	VFCIXIUS	37975	39088	f	0	1	Prodigal	002006
42	VFCIXIUS	39065	39797	r	0	1	Prodigal	002006
43	VFCIXIUS	39789	40536	r	0	1	Prodigal	002006
44	VFCIXIUS	40528	41428	r	0	1	Prodigal	002006
45	VFCIXIUS	41424	41985	r	0	1	Prodigal	002006
46	VFCIXIUS	41965	43282	r	0	1	Prodigal	002006
47	VFCIXIUS	43289	44801	r	0	1	Prodigal	002006
48	VFCIXIUS	44797	46186	r	0	1	Prodigal	002006
49	VFCIXIUS	46213	47206	r	0	1	Prodigal	002006
50	VFCIXIUS	47398	48733	r	0	1	Prodigal	002006
51	VFCIXIUS	48716	49670	r	0	1	Prodigal	002006
52	VFCIXIUS	49730	51062	f	0	1	Prodigal	002006
53	VFCIXIUS	51296	54329	f	0	1	Prodigal	002006
54	VFCIXIUS	54303	54465	f	0	1	Prodigal	002006
55	VFCIXIUS	54478	54551	f	1	2	Aragorn	001002
56	VFCIXIUS	54571	54659	f	1	2	Aragorn	001002
57	VFCIXIUS	54668	55445	f	0	1	Prodigal	002006
58	VFCIXIUS	55431	55701	f	0	1	Prodigal	002006
59	VFCIXIUS	55899	56943	f	0	1	Prodigal	002006
60	VFCIXIUS	56926	57571	f	0	1	Prodigal	002006
61	VFCIXIUS	57557	58721	f	0	1	Prodigal	002006
62	VFCIXIUS	58710	59484	f	0	1	Prodigal	002006
63	VFCIXIUS	59440	59668	f	0	1	Prodigal	002006
64	VFCIXIUS	59882	59954	r	0	2	Aragorn	001002
65	VFCIXIUS	59978	60593	f	0	1	Prodigal	002006
66	VFCIXIUS	60709	60785	r	1	2	Aragorn	001002
67	VFCIXIUS	60789	60863	r	1	2	Aragorn	001002
68	VFCIXIUS	61481	62519	f	0	1	Prodigal	002006
69	VFCIXIUS	62505	65679	f	0	1	Prodigal	002006
70	VFCIXIUS	65653	66214	f	0	1	Prodigal	002006
71	VFCIXIUS	66213	66762	f	0	1	Prodigal	002006
72	VFCIXIUS	67916	67990	f	1	2	Aragorn	001002
73	VFCIXIUS	67999	68827	f	0	1	Prodigal	002006
74	VFCIXIUS	68823	69927	f	0	1	Prodigal	002006
75	VFCIXIUS	69917	71075	f	0	1	Prodigal	002006
76	VFCIXIUS	71238	71319	r	0	2	Aragorn	001002
77	VFCIXIUS	71323	71408	r	1	2	Aragorn	001002
78	VFCIXIUS	71419	72010	f	0	1	Prodigal	002006
79	VFCIXIUS	72006	73272	f	0	1	Prodigal	002006
