#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFTETMAC	1258	1641	+	NIGADD_00010	14.8	10.3	PF00298.22|Ribosomal_L11	PFAM:PF00298.22
VFTETMAC	1631	2272	+	NIGADD_00015	25.4	10.2		
VFTETMAC	2265	2714	+	NIGADD_00020	18.1	10.4		
VFTETMAC	2692	3048	+	NIGADD_00025	13.7	9.4	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFTETMAC	3045	6941	+	NIGADD_00030	152.1	9.9	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04561.17|RNA_pol_Rpb2_2, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04561.17, PFAM:PF04565.19
VFTETMAC	6917	10840	+	NIGADD_00035	152.7	9.9	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFTETMAC	10837	11232	+	NIGADD_00040	14.7	10.7		
VFTETMAC	11201	11674	+	NIGADD_00045	18.5	10.1	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFTETMAC	13710	14006	+	NIGADD_00055	11.8	10.6	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFTETMAC	14497	14832	+	NIGADD_00065	13.4	9.8		
VFTETMAC	14825	15520	-	NIGADD_00070	28.5	10.3	PF00398.23|RrnaAD	PFAM:PF00398.23
VFTETMAC	15517	16620	-	NIGADD_00075	44.0	10.2		
VFTETMAC	17006	17341	-	NIGADD_00085	13.3	10.5		
VFTETMAC	17328	18131	-	NIGADD_00090	32.1	10.3	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFTETMAC	18132	18770	-	NIGADD_00095	25.1	10.3		
VFTETMAC	18760	20292	-	NIGADD_00100	60.5	10.2	PF00009.30|GTP_EFTU	PFAM:PF00009.30
VFTETMAC	21278	21772	+	NIGADD_00110	19.7	9.8		
VFTETMAC	21769	22329	-	NIGADD_00115	21.7	10.2	PF01564.20|Spermine_synth, PF01861.19|BpsA_C, PF05175.17|MTS, PF08241.15|Methyltransf_11, PF13649.9|Methyltransf_25, PF13847.9|Methyltransf_31	PFAM:PF01564.20, PFAM:PF01861.19, PFAM:PF05175.17, PFAM:PF08241.15, PFAM:PF13649.9, PFAM:PF13847.9
VFTETMAC	22425	23549	+	NIGADD_00120	43.4	9.9	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFTETMAC	23553	24854	-	NIGADD_00125	52.0	10.2	PF00152.23|tRNA-synt_2, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01409.23
VFTETMAC	24858	25556	-	NIGADD_00130	27.4	10.2	PF03462.21|PCRF	PFAM:PF03462.21
VFTETMAC	25534	26442	-	NIGADD_00135	35.2	10.1	PF00701.25|DHDPS	PFAM:PF00701.25
VFTETMAC	28860	29000	-	NIGADD_00145	5.6	10.6		
VFTETMAC	28982	29176	-	NIGADD_00150	7.5	11.0		
VFTETMAC	29196	31412	+	NIGADD_00155	87.7	10.0	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
VFTETMAC	31625	32371	+	NIGADD_00160	30.6	10.2		
VFTETMAC	32368	33501	+	NIGADD_00165	43.8	9.8	PF01053.23|Cys_Met_Meta_PP	PFAM:PF01053.23
VFTETMAC	34311	34871	-	NIGADD_00175	21.7	10.3	PF00117.31|GATase	PFAM:PF00117.31
VFTETMAC	34865	36148	-	NIGADD_00180	51.2	10.4		
VFTETMAC	36369	37829	-	NIGADD_00185	58.8	10.2	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
VFTETMAC	37829	38737	-	NIGADD_00190	36.3	10.3		
VFTETMAC	43368	43538	+	NIGADD_00200	6.7	10.5	PF00312.25|Ribosomal_S15	PFAM:PF00312.25
VFTETMAC	43616	44347	+	NIGADD_00205	30.2	9.7		
VFTETMAC	44344	45381	+	NIGADD_00210	39.6	10.0	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
VFTETMAC	45617	45874	+	NIGADD_00215	10.1	10.2		
VFTETMAC	45855	46073	+	NIGADD_00220	8.9	10.3		
VFTETMAC	46997	47452	+	NIGADD_00240	17.9	9.8		
VFTETMAC	49221	50018	+	NIGADD_00255	31.8	9.9	PF13177.9|DNA_pol3_delta2	PFAM:PF13177.9
VFTETMAC	49990	51027	+	NIGADD_00260	41.2	9.8	PF00004.32|AAA, PF05496.15|RuvB_N, PF13177.9|DNA_pol3_delta2	PFAM:PF00004.32, PFAM:PF05496.15, PFAM:PF13177.9
VFTETMAC	51151	51750	+	NIGADD_00265	23.7	9.8		
VFTETMAC	51747	52970	+	NIGADD_00270	47.7	9.7		
VFTETMAC	52957	53922	+	NIGADD_00275	38.7	9.9	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFTETMAC	53919	54512	+	NIGADD_00280	23.4	9.3		
VFTETMAC	54509	55105	+	NIGADD_00285	22.9	9.6	PF00117.31|GATase	PFAM:PF00117.31
VFTETMAC	55102	55815	+	NIGADD_00290	28.1	10.2		
VFTETMAC	56545	56838	+	NIGADD_00300	11.6	9.5		
VFTETMAC	56819	57082	+	NIGADD_00305	10.5	9.8		
VFTETMAC	57563	57724	-	NIGADD_00320	6.6	11.5		
VFTETMAC	57705	58163	-	NIGADD_00325	18.1	10.3	PF05198.19|IF3_N	PFAM:PF05198.19
VFTETMAC	59765	59986	+	NIGADD_00350	8.8	10.4		
VFTETMAC	59970	60503	-	NIGADD_00355	21.6	10.0		
VFTETMAC	60500	61345	-	NIGADD_00360	34.4	10.3		
VFTETMAC	61449	62543	+	NIGADD_00365	42.8	10.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
VFTETMAC	63303	64385	+	NIGADD_00375	41.7	9.8	PF07687.17|M20_dimer	PFAM:PF07687.17
VFTETMAC	64382	65665	-	NIGADD_00380	51.0	10.3	PF14821.9|Thr_synth_N	PFAM:PF14821.9
