locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFMEEMAD_00001	CDS	1188	tufA		COG0050	Elongation factor Tu
VFMEEMAD_00001	gene	1188	tufA			
VFMEEMAD_00002	CDS	354	rplK		COG0080	50S ribosomal protein L11
VFMEEMAD_00002	gene	354	rplK			
VFMEEMAD_00003	CDS	414				hypothetical protein
VFMEEMAD_00003	gene	414				
VFMEEMAD_00004	CDS	345	rplL			50S ribosomal protein L7/L12
VFMEEMAD_00004	gene	345	rplL			
VFMEEMAD_00005	CDS	3771	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
VFMEEMAD_00005	gene	3771	rpoB			
VFMEEMAD_00006	CDS	3570	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
VFMEEMAD_00006	gene	3570	rpoC			
VFMEEMAD_00007	CDS	381	rpsL		COG0048	30S ribosomal protein S12
VFMEEMAD_00007	gene	381	rpsL			
VFMEEMAD_00008	CDS	468	rpsG		COG0049	30S ribosomal protein S7
VFMEEMAD_00008	gene	468	rpsG			
VFMEEMAD_00009	CDS	2034	fusA		COG0480	Elongation factor G
VFMEEMAD_00009	gene	2034	fusA			
VFMEEMAD_00010	CDS	291	rpsJ		COG0051	30S ribosomal protein S10
VFMEEMAD_00010	gene	291	rpsJ			
VFMEEMAD_00011	CDS	426	def	3.5.1.88	COG0242	Peptide deformylase
VFMEEMAD_00011	gene	426	def			
VFMEEMAD_00012	CDS	489	ermC	2.1.1.184		rRNA adenine N-6-methyltransferase
VFMEEMAD_00012	gene	489	ermC			
VFMEEMAD_00013	CDS	396	rpsI		COG0103	30S ribosomal protein S9
VFMEEMAD_00013	gene	396	rpsI			
VFMEEMAD_00014	CDS	258				hypothetical protein
VFMEEMAD_00014	gene	258				
VFMEEMAD_00015	CDS	738	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
VFMEEMAD_00015	gene	738	dapF			
VFMEEMAD_00016	CDS	534				hypothetical protein
VFMEEMAD_00016	gene	534				
VFMEEMAD_00017	CDS	333	ssb		COG0629	Single-stranded DNA-binding protein
VFMEEMAD_00017	gene	333	ssb			
VFMEEMAD_00018	CDS	471				hypothetical protein
VFMEEMAD_00018	gene	471				
VFMEEMAD_00019	CDS	531	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFMEEMAD_00019	gene	531	rsmD			
VFMEEMAD_00020	CDS	648	prfA		COG0216	Peptide chain release factor 1
VFMEEMAD_00020	gene	648	prfA			
VFMEEMAD_00021	CDS	1392	argH	4.3.2.1	COG0165	Argininosuccinate lyase
VFMEEMAD_00021	gene	1392	argH			
VFMEEMAD_00022	CDS	891	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
VFMEEMAD_00022	gene	891	tsaD			
VFMEEMAD_00023	CDS	1143	dnaG	2.7.7.-	COG0358	DNA primase
VFMEEMAD_00023	gene	1143	dnaG			
VFMEEMAD_00024	CDS	1230	rpoD		COG0568	RNA polymerase sigma factor RpoD
VFMEEMAD_00024	gene	1230	rpoD			
VFMEEMAD_00025	CDS	2832	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
VFMEEMAD_00025	gene	2832	dnaE			
VFMEEMAD_00026	CDS	1044	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
VFMEEMAD_00026	gene	1044	asd			
VFMEEMAD_00027	tRNA	74				tRNA-Asn(gtt)
VFMEEMAD_00027	gene	74				
VFMEEMAD_00028	tRNA	70				tRNA-Cys(gca)
