locus_tag	ftype	length_bp	gene	EC_number	COG	product
VFTRYOCC_00001	CDS	1182	tufA		COG0050	Elongation factor Tu
VFTRYOCC_00002	CDS	414	rplK		COG0080	50S ribosomal protein L11
VFTRYOCC_00003	CDS	618				hypothetical protein
VFTRYOCC_00004	CDS	453				hypothetical protein
VFTRYOCC_00005	CDS	351	rplL			50S ribosomal protein L7/L12
VFTRYOCC_00006	CDS	3912	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
VFTRYOCC_00007	CDS	4020	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
VFTRYOCC_00008	CDS	387	rpsL			30S ribosomal protein S12
VFTRYOCC_00009	CDS	477	rpsG		COG0049	30S ribosomal protein S7
VFTRYOCC_00010	CDS	2109	fusA		COG0480	Elongation factor G
VFTRYOCC_00011	CDS	294	rpsJ		COG0051	30S ribosomal protein S10
VFTRYOCC_00012	CDS	396	def	3.5.1.88		Peptide deformylase
VFTRYOCC_00013	CDS	441				hypothetical protein
VFTRYOCC_00014	CDS	390	rpsI		COG0103	30S ribosomal protein S9
VFTRYOCC_00015	CDS	309				hypothetical protein
VFTRYOCC_00016	CDS	843	dapF	5.1.1.7		Diaminopimelate epimerase
VFTRYOCC_00017	CDS	666	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
VFTRYOCC_00018	CDS	834	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
VFTRYOCC_00019	CDS	507				hypothetical protein
VFTRYOCC_00020	CDS	552	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
VFTRYOCC_00021	CDS	1101	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
VFTRYOCC_00022	CDS	1350	lysS	6.1.1.6		Lysine--tRNA ligase
VFTRYOCC_00023	CDS	684	prfB		COG1186	Peptide chain release factor RF2
VFTRYOCC_00024	CDS	894	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
VFTRYOCC_00025	CDS	915	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
VFTRYOCC_00026	CDS	1179	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
VFTRYOCC_00027	CDS	213				hypothetical protein
VFTRYOCC_00028	CDS	2277	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
VFTRYOCC_00029	CDS	663				hypothetical protein
VFTRYOCC_00030	CDS	1167	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
