#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
VFSCODIS	1635	2219	+	OFGCDB_00010	23.4	10.0	PF00687.24|Ribosomal_L1	PFAM:PF00687.24
VFSCODIS	2209	2637	+	OFGCDB_00015	17.7	10.3		
VFSCODIS	2594	2971	+	OFGCDB_00020	14.4	9.9	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
VFSCODIS	2949	6764	+	OFGCDB_00025	150.7	10.0	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
VFSCODIS	6740	10630	+	OFGCDB_00030	151.9	10.0	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5, PF05000.20|RNA_pol_Rpb1_4	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20, PFAM:PF05000.20
VFSCODIS	10627	11010	+	OFGCDB_00035	14.3	10.6		
VFSCODIS	10986	11462	+	OFGCDB_00040	18.8	10.3	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
VFSCODIS	13504	13797	+	OFGCDB_00050	11.8	10.2	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
VFSCODIS	14266	14682	+	OFGCDB_00060	17.1	10.2		
VFSCODIS	14679	15767	-	OFGCDB_00065	43.0	10.2		
VFSCODIS	15772	16161	-	OFGCDB_00070	15.2	10.3		
VFSCODIS	16158	16445	-	OFGCDB_00075	11.2	10.3		
VFSCODIS	16442	17230	-	OFGCDB_00080	31.4	9.9	PF01678.22|DAP_epimerase	PFAM:PF01678.22
VFSCODIS	17217	17885	-	OFGCDB_00085	26.5	10.1		
VFSCODIS	17886	19379	-	OFGCDB_00090	59.4	10.1	PF00009.30|GTP_EFTU, PF03193.19|RsgA_GTPase, PF08477.16|Roc, PF10662.12|PduV-EutP, PF11987.11|IF-2	PFAM:PF00009.30, PFAM:PF03193.19, PFAM:PF08477.16, PFAM:PF10662.12, PFAM:PF11987.11
VFSCODIS	19468	20316	+	OFGCDB_00100	34.1	10.4	PF00156.30|Pribosyltran, PF13793.9|Pribosyltran_N	PFAM:PF00156.30, PFAM:PF13793.9
VFSCODIS	20322	20798	+	OFGCDB_00105	19.3	10.1		
VFSCODIS	20799	21341	-	OFGCDB_00110	21.1	10.1	PF01564.20|Spermine_synth, PF05175.17|MTS, PF13847.9|Methyltransf_31	PFAM:PF01564.20, PFAM:PF05175.17, PFAM:PF13847.9
VFSCODIS	21626	22732	+	OFGCDB_00115	43.5	10.3	PF00266.22|Aminotran_5	PFAM:PF00266.22
VFSCODIS	22733	24067	-	OFGCDB_00120	53.4	10.1	PF00152.23|tRNA-synt_2, PF01336.28|tRNA_anti-codon, PF01409.23|tRNA-synt_2d	PFAM:PF00152.23, PFAM:PF01336.28, PFAM:PF01409.23
VFSCODIS	24064	24735	-	OFGCDB_00125	26.4	10.1	PF03462.21|PCRF	PFAM:PF03462.21
VFSCODIS	24722	25597	-	OFGCDB_00130	33.7	10.2	PF00701.25|DHDPS	PFAM:PF00701.25
