#Annotated with Bakta v1.5.0, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1618	2229	+	VFCALBON1_00010	24.4	9.9		
contig_1	2198	2644	+	VFCALBON1_00015	17.9	9.9		
contig_1	2619	2984	+	VFCALBON1_00020	14.4	9.5	PF00542.22|Ribosomal_L12	PFAM:PF00542.22
contig_1	2987	6565	+	VFCALBON1_00025	139.5	9.8	PF00562.31|RNA_pol_Rpb2_6, PF04560.23|RNA_pol_Rpb2_7, PF04565.19|RNA_pol_Rpb2_3	PFAM:PF00562.31, PFAM:PF04560.23, PFAM:PF04565.19
contig_1	6562	10392	+	VFCALBON1_00030	149.0	10.1	PF00623.23|RNA_pol_Rpb1_2, PF04983.21|RNA_pol_Rpb1_3, PF04997.15|RNA_pol_Rpb1_1, PF04998.20|RNA_pol_Rpb1_5	PFAM:PF00623.23, PFAM:PF04983.21, PFAM:PF04997.15, PFAM:PF04998.20
contig_1	10358	10756	+	VFCALBON1_00035	15.1	10.7		
contig_1	10722	11204	+	VFCALBON1_00040	18.7	9.9	PF00177.24|Ribosomal_S7	PFAM:PF00177.24
contig_1	13260	13571	+	VFCALBON1_00050	12.4	9.9	PF00338.25|Ribosomal_S10	PFAM:PF00338.25
contig_1	14420	15172	-	VFCALBON1_00060	30.2	9.0	PF00398.23|RrnaAD	PFAM:PF00398.23
contig_1	15165	16268	-	VFCALBON1_00065	42.4	9.4		
contig_1	16268	16657	-	VFCALBON1_00070	14.6	10.1		
contig_1	16654	16965	-	VFCALBON1_00075	11.8	9.8		
contig_1	16962	17738	-	VFCALBON1_00080	30.5	9.5		
contig_1	17735	18334	-	VFCALBON1_00085	22.4	9.1		
contig_1	18453	19328	+	VFCALBON1_00095	34.8	10.0	PF13793.9|Pribosyltran_N	PFAM:PF13793.9
contig_1	19297	19767	+	VFCALBON1_00100	18.5	10.2		
contig_1	19744	20268	-	VFCALBON1_00105	19.8	9.3		
contig_1	20549	21628	+	VFCALBON1_00115	41.6	10.2	PF00266.22|Aminotran_5	PFAM:PF00266.22
contig_1	21609	22832	-	VFCALBON1_00120	48.6	9.1	PF00152.23|tRNA-synt_2	PFAM:PF00152.23
contig_1	22829	23491	-	VFCALBON1_00125	25.6	9.9		
contig_1	23481	24314	-	VFCALBON1_00130	31.3	8.9	PF00701.25|DHDPS	PFAM:PF00701.25
contig_1	26592	28859	-	VFCALBON1_00140	90.1	8.7		
contig_1	28868	29029	-	VFCALBON1_00145	6.6	10.1		
contig_1	29022	29171	-	VFCALBON1_00150	5.7	12.0		
contig_1	29206	31410	+	VFCALBON1_00155	87.0	10.0	PF01717.21|Meth_synt_2, PF08267.15|Meth_synt_1	PFAM:PF01717.21, PFAM:PF08267.15
contig_1	31635	32294	+	VFCALBON1_00160	26.5	10.3		
contig_1	32291	33412	+	VFCALBON1_00165	43.3	10.1	PF00155.24|Aminotran_1_2, PF01053.23|Cys_Met_Meta_PP	PFAM:PF00155.24, PFAM:PF01053.23
contig_1	33398	34198	-	VFCALBON1_00170	31.2	9.9	PF03462.21|PCRF	PFAM:PF03462.21
contig_1	34191	34925	-	VFCALBON1_00175	28.9	9.4	PF00218.24|IGPS	PFAM:PF00218.24
contig_1	34903	35859	-	VFCALBON1_00180	37.2	9.0		
contig_1	35837	36415	-	VFCALBON1_00185	22.4	8.5	PF00117.31|GATase	PFAM:PF00117.31
contig_1	36412	37578	-	VFCALBON1_00190	45.4	9.0		
contig_1	37575	38936	-	VFCALBON1_00195	52.5	8.8	PF00206.23|Lyase_1, PF14698.9|ASL_C2	PFAM:PF00206.23, PFAM:PF14698.9
contig_1	39159	40454	-	VFCALBON1_00200	51.5	9.6	PF00749.24|tRNA-synt_1c	PFAM:PF00749.24
contig_1	40423	41325	-	VFCALBON1_00205	36.3	9.0		
contig_1	41304	42215	-	VFCALBON1_00210	35.3	8.7		
contig_1	43809	46724	+	VFCALBON1_00220	116.3	10.0	PF07733.15|DNA_pol3_alpha, PF14579.9|HHH_6, PF17657.4|DNA_pol3_finger	PFAM:PF07733.15, PFAM:PF14579.9, PFAM:PF17657.4
contig_1	47086	47823	+	VFCALBON1_00240	29.2	10.2		
contig_1	47820	48839	+	VFCALBON1_00245	40.0	10.2	PF01118.27|Semialdhyde_dh, PF02774.21|Semialdhyde_dhC	PFAM:PF01118.27, PFAM:PF02774.21
contig_1	48805	49395	+	VFCALBON1_00250	23.2	10.0	PF00697.25|PRAI	PFAM:PF00697.25
contig_1	50459	51076	+	VFCALBON1_00260	24.2	9.9		
contig_1	51079	51321	+	VFCALBON1_00265	9.3	10.7		
contig_1	51302	51514	+	VFCALBON1_00270	8.6	9.9		
contig_1	51605	52138	+	VFCALBON1_00280	20.8	10.4		
contig_1	52817	53863	+	VFCALBON1_00295	40.1	9.9	PF00117.31|GATase, PF00988.25|CPSase_sm_chain	PFAM:PF00117.31, PFAM:PF00988.25
contig_1	53860	56946	+	VFCALBON1_00300	119.1	9.8	PF02786.20|CPSase_L_D2, PF02786.20|CPSase_L_D2, PF02787.22|CPSase_L_D3, PF15632.9|ATPgrasp_Ter	PFAM:PF02786.20, PFAM:PF02786.20, PFAM:PF02787.22, PFAM:PF15632.9
contig_1	56954	57490	+	VFCALBON1_00305	21.0	9.7		
contig_1	59689	60093	+	VFCALBON1_00330	16.0	9.6		
contig_1	60075	61313	+	VFCALBON1_00335	47.9	9.9		
contig_1	61306	62229	+	VFCALBON1_00340	36.6	10.1	PF00155.24|Aminotran_1_2, PF04864.16|Alliinase_C	PFAM:PF00155.24, PFAM:PF04864.16
contig_1	62226	62786	+	VFCALBON1_00345	21.9	9.7		
contig_1	62783	63427	+	VFCALBON1_00350	25.3	9.7	PF00117.31|GATase	PFAM:PF00117.31
contig_1	63405	64106	+	VFCALBON1_00355	27.6	10.3		
contig_1	66700	66867	-	VFCALBON1_00380	6.8	11.4		
contig_1	66845	67300	-	VFCALBON1_00385	17.5	10.2	PF05198.19|IF3_N	PFAM:PF05198.19
contig_1	69021	69389	+	VFCALBON1_00410	14.7	10.1		
contig_1	69364	69882	-	VFCALBON1_00415	20.2	10.0		
contig_1	69879	70715	-	VFCALBON1_00420	32.7	9.1		
contig_1	70843	71895	+	VFCALBON1_00425	42.3	10.0	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_1	71877	72668	+	VFCALBON1_00430	30.0	10.0	PF00132.27|Hexapep, PF14602.9|Hexapep_2, PF14805.9|THDPS_N_2	PFAM:PF00132.27, PFAM:PF14602.9, PFAM:PF14805.9
contig_1	72773	73873	+	VFCALBON1_00435	43.1	10.0	PF07687.17|M20_dimer	PFAM:PF07687.17
contig_1	73863	74099	-	VFCALBON1_00440	9.4	9.9		
contig_1	74096	75454	-	VFCALBON1_00445	53.2	9.2	PF14821.9|Thr_synth_N	PFAM:PF14821.9
contig_1	75459	76607	-	VFCALBON1_00450	44.4	9.7	PF00742.22|Homoserine_dh	PFAM:PF00742.22
contig_1	76607	77800	-	VFCALBON1_00455	46.1	9.7	PF03796.18|DnaB_C, PF06745.16|ATPase	PFAM:PF03796.18, PFAM:PF06745.16
contig_1	77790	77951	-	VFCALBON1_00460	6.3	11.2		
contig_1	77948	78247	-	VFCALBON1_00465	11.7	8.5		
contig_1	78248	78541	+	VFCALBON1_00470	11.8	9.6	PF00085.23|Thioredoxin	PFAM:PF00085.23
contig_1	78907	80247	+	VFCALBON1_00485	53.1	10.1		
contig_1	80244	82016	+	VFCALBON1_00490	68.8	9.8	PF13932.9|GIDA_C	PFAM:PF13932.9
contig_1	81991	82263	+	VFCALBON1_00495	10.7	9.7		
contig_1	82256	83851	+	VFCALBON1_00500	59.6	9.6		
contig_1	83852	85153	+	VFCALBON1_00505	51.4	10.0		
contig_1	85134	86195	+	VFCALBON1_00510	42.4	10.3		
contig_1	86187	87248	-	VFCALBON1_00515	41.1	9.0		
contig_1	87372	87995	+	VFCALBON1_00520	25.2	9.7		
contig_1	87981	88979	-	VFCALBON1_00525	38.2	8.8	PF00226.34|DnaJ, PF01556.21|DnaJ_C	PFAM:PF00226.34, PFAM:PF01556.21
contig_1	90792	91235	-	VFCALBON1_00535	17.5	9.7		
contig_1	91242	92135	+	VFCALBON1_00540	34.5	9.9	PF00793.23|DAHP_synth_1	PFAM:PF00793.23
contig_1	92130	93134	-	VFCALBON1_00545	39.5	9.1	PF03054.19|tRNA_Me_trans	PFAM:PF03054.19
contig_1	93103	95118	-	VFCALBON1_00550	79.8	9.4		
contig_1	95109	95765	-	VFCALBON1_00555	25.0	9.0	PF01113.23|DapB_N, PF05173.17|DapB_C	PFAM:PF01113.23, PFAM:PF05173.17
contig_1	95762	96973	-	VFCALBON1_00560	44.1	8.3	PF00390.22|malic, PF03949.18|Malic_M	PFAM:PF00390.22, PFAM:PF03949.18
contig_1	96924	97700	-	VFCALBON1_00565	29.9	9.0		
contig_1	98326	98643	-	VFCALBON1_00580	12.8	10.4		
contig_1	99478	100689	+	VFCALBON1_00590	47.2	10.0		
contig_1	105773	106255	+	VFCALBON1_00615	18.8	10.8		
contig_1	106252	106437	+	VFCALBON1_00620	7.1	11.3		
contig_1	107516	107845	+	VFCALBON1_00635	13.0	10.7	PF00237.22|Ribosomal_L22	PFAM:PF00237.22
contig_1	107838	108464	+	VFCALBON1_00640	24.6	10.2	PF00189.23|Ribosomal_S3_C, PF07650.20|KH_2	PFAM:PF00189.23, PFAM:PF07650.20
contig_1	108436	108864	+	VFCALBON1_00645	16.8	10.3	PF00252.21|Ribosomal_L16	PFAM:PF00252.21
contig_1	108861	109088	+	VFCALBON1_00650	9.1	10.2		
contig_1	109995	110300	+	VFCALBON1_00665	12.2	10.5		
contig_1	110300	110674	+	VFCALBON1_00670	14.2	10.2	PF00410.22|Ribosomal_S8	PFAM:PF00410.22
contig_1	110667	111224	+	VFCALBON1_00675	22.0	10.0		
contig_1	111184	111489	+	VFCALBON1_00680	12.2	10.2		
contig_1	111455	111943	+	VFCALBON1_00685	19.0	10.3	PF00333.23|Ribosomal_S5, PF03719.18|Ribosomal_S5_C	PFAM:PF00333.23, PFAM:PF03719.18
contig_1	111891	112211	+	VFCALBON1_00690	12.0	11.2		
contig_1	112419	112532	+	VFCALBON1_00700	4.4	10.6	PF00444.21|Ribosomal_L36	PFAM:PF00444.21
contig_1	112529	112864	+	VFCALBON1_00705	13.4	10.8		
contig_1	113209	113745	+	VFCALBON1_00715	21.4	10.4	PF01479.28|S4	PFAM:PF01479.28
